"Name","Phone","Address"

"Daikin Airconditioning India P...","+ 91  522 2787291","B-191,1st Floor, Niralanagar, Lucknow - 226007, oppostie ram krishna math"
"SAI Assoc","+ 91  522 2638073","10-A,8, Station Rd, Lucknow - 226001"
"Welcome Travels Services","+ 91  522 2231318","Shop Number- 3, Forship Road, Lalbagh, Lucknow - 226001, opposite Daya Nidhan Park, Near Novelty Cinema"
"Voltas Limited","+ 91  522 2238543","Saran Chamber 1, 2nd Floor, 5 Park Road, Lucknow - 226001"
"Baig Air Conditioners Services","+ 91  522 2625899","Shop No 173-174, Lalbagh, Lucknow - 226001, Opp Avadh Diesel,Super Mkt"
"Quality Trading Corp","+ 91  522 2611315","267, Aishbagh Rd, Lucknow - 226001, Opp Bank Of India"
"Cool Climate Corp","+ 91  522 2613272","310, Lalbagh, Lucknow - 226001, Hari Om Mandir,Jaibharat Cinema"
"S S ENT","+ 91  522 2391926","126/14, B N Rd, Lalbagh, Lucknow - 226001"
"Sterling Ind","+ 91  522 2622354","15,34, Lalbagh, Lucknow - 226001, Naza Mkt"
"National Electronics","+ 91  522 3916643","B-3, Basment Below State Bank, Himanshu Sadan /, Park Rd, Hazratganj, Lucknow - 226001, Himanshu Sadan"
"Saad Aircool","+ 91  9005362498","SHOP NO 61 E , maharaja,, Kapoorthala, Lucknow - 226001"
"Beat Heat Corp","+ 91  522 2215585","8, Valmiki Mg, Lucknow - 226001, Nr Allahabad Bank"
"Lucknow Air Conditioning Corp","2623408","65, Kaisarbagh, Lucknow - 226001, New Mkt"
"Kirloskar Pneumatic Co Ltd","+ 91  522 2224367","16, Vidhan Sabha Mg, Lucknow - 226001"
"Fre On Amonia Corp","+ 91  522 2223523","71,Kha, Kaisarbagh, Lucknow - 226001, New Mkt"
"Sital Engineers India","+ 91  522 2287322","Newal Kishore Rd, Hazratganj, Lucknow - 226001, Opp Lucknow Club"
"J S Airconditioner","+ 91  522 2102427","12,Ramadheen Singh Cplx, Faizabad Rd, A P Sabha, Lucknow - 226001, Babu Ganj"
"New Mech Engineers","+ 91  522 2361912","B-128,Sahara Trade Centre, Faizabad Rd, Lucknow - 226001"
"Leela Airconditioning Corp","+ 91  522 2618447","67, Kaisarbagh, Lucknow - 226001, New Mkt"
"City Airconditioning Service","+ 91  522 2226117","5, Shahnajaf Rd, Hazratganj, Lucknow - 226001"
"Goyal Ind","+ 91  522 2363926","B-38/47k, Lucknow - 226001, Mahmoorganj"
"Hindustan Air Conditioning Corp","+ 91  522 2394186","B-98, Gomti Nagar, Lucknow - 226001, Vibhutikhand"
"Singh Trading Corp","+ 91  522 2625873","11, Kaisarbagh, Lucknow - 226001, New Mkt"
"Sky High Air Conditioning Serv...","+ 91  522 2285001","F-6,Dhan Cplx,15, Ashok Marg, Lucknow - 226001"
"Super Refrigeration Co","+ 91  522 2620798","shop 19, R K Tandon Rd, Kaisarbagh, Lucknow - 226001, Opp Kaiserbagh Kotwali"
"Metal Components Co","+ 91  522 2213065","21, Kaisarbagh, Lucknow - 226001, New Mkt, near bhool bhuliya"
"Arco Air Conditioning Pvt Ltd","+ 91  522 2328259","Shop No-3,Basant Cinema Bldg, Chandganj, Lucknow - 226007, Adj Indusind Bank,Lalbagh"
"Gulati & Assoc","+ 91  522 2329696","28, Niralanagar, Lucknow - 226007, IT Crossing,Nirala Mkt"
"City Refrigeration","","Gomti Nagar, Lucknow , Nr Railway Crossing,Vibhuti Khand"
"Shri Triputi Associates","","111, Visheshwar Nagarr, Lucknow - 226005, Yadav Market"
"Airserco Pvt Ltd","+ 91  522 2757650","2/73,MIG, Sitapur Rd, Lucknow - 226021, Sec-B,Priyadarshani Yojna"
"Gomti Airconditioners","+ 91  9335210579","Ugf-13,Harshita Cplx, Faizabad Rd, Misra, Lucknow - 226016, Indira Ngr"
"Madani Cool N Summer Care","+ 91  522 2720534","D-344,Vibhuti Khand, Gomti Nagar, Lucknow - 226010"
"Jain Distributors","+ 91  522 2341960","LG-1,Goel Plazasahara Shopping Centre, Faizabad Road, Lucknow - 226010"
"Modern Climate Control","+ 91  522 2351536","B-1459, Misra, Lucknow - 226016, Sec-3,Indira Ngr"
"VXL Airconditioning & Refriger...","+ 91  522 3919428","217,2nd Flr, Aliganj, Lucknow - 226024, Kapoorthala,Palika Bzr"
"Cool Makers Sales & Services","+ 91  522 2309203","18, Gomti Nagar, Lucknow - 226010, Vishwas Khand-3"
"All Weather Appliances","+ 91  522 2310321","106 , lekhraj khajana indra nagar, Faizabad Road, Lucknow - 226002, Above HDFC Bank, Lekhraj Khazana,"
"Hindustan Mktg","+ 91  522 2508845","531ga/16ja, Chandganj Garden Rd, Aliganj, Lucknow - 226006, Nr Raidas Railway Crossing"
"A K Tiwari","","C-1005, Mahanagar, Lucknow - 226006, Sec-B"
"Airmech Engg Pvt Ltd","+ 91  522 2371604","Hig-42, Aliganj, Lucknow - 226006, Sec-E"
"Dynamic Engineers Pvt Ltd","+ 91  522 2455089","B-1/27, Aliganj, Lucknow - 226006, Sec-F"
"Feeders & Lloyd Corp Ltd Niral...","+ 91  522 2327952","B-48, Nirala Nagar, Lucknow - 226020"
"Shri Ramrefrigeration Ind","+ 91  522 2399004","D-78, Nirala Nagar, Lucknow - 226020"
