"Name","Phone","Address"

"Sura Vie Lucknow","+ 91  522 4106005","1/42F, Vineet Khand, Gomti Nagar, Lucknow - 226010, Near Hussaria Crossing"
"Royal Sky A Unit Of Jagtiya...","+ 91  522 4928888","31/37,1st Floor, M G Marg, Hazratganj, Lucknow - 226001, Opposite Halwasia Market"
"VIVEZA LOUNGE AND RESTRO","+ 91  9580333332","SECTOR-19, Indira Nagar, Lucknow - 226016, OM PLAZA,MUNSHI PULIYA"
"CLUB NIRVANA","+ 91  9554147172","cp2/abc basement sector f, parag road LDA colony, Aashiyana, Lucknow - 226012, near parag Tiraha"
"THE SECRET BARN","+ 91  522 4017292","B-1/57, Sec-P, Aliganj, Lucknow - 226024, Opp SBI ATM"
"Blue Fox Bar & Restaurant","+ 91  522 2350550","150, Lekhraj market, Faizabad Road, Indira Nagar, Lucknow - 226016, Near-Majaar Road"
"LA VIDA LOUNGE BAR & RESTAU...","+ 91  9695099997","3rd FLOOR, UDAI TOWER, VIJYANT KHAND, Gomti Nagar, Lucknow - 226010, OPP. KAUTHAUTHA PETROL PUMP"
"CLUB NIRVANA","+ 91  8577009695","Ghai plaza, Parag Tiraha, Aashiyana, Lucknow - 226012, near by RMLNU , LDA COLONY"
"SMOKEDINE CLUB","+ 91  9838505739","Aishwarya plaza, LGF 2nd, Aliganj, Lucknow - 226024, Near puraniya chawraha"
"Hard Rock Lounge","+ 91  522 4060810","Jeet Palace, Sapru Marg, Sapru Marg, Lucknow - 226001, Opposite Hotel India Awadh"
"CLUB BIG BOSS","+ 91  522 4065872","B-81,, vibhuti khand, Gomti Nagar, Lucknow - 226002"
"The Dark Moon Lounge","+ 91  9956488699","1/15, 2nd floor, Purania road, Aliganj, Lucknow - 226024, Near purania chauraha"
"Sukun bar","+ 91  9598000808","A block, Raibareli road, Telibagh, Lucknow - 226025, Near south city police chauki"
