"Name","Phone","Address"

"Big Cinemas","+ 91  183 6575003","Suraj Chanda Tara Theater, Amritsar - 143001, Opposite Bus Stand, City Center"
"Cinepolis Cinemas","+ 91  9646688516","4, 5 & 6th Floor, Celebration Mall, Batala Road, Amritsar - 143001"
"Satyam Cineplexes","+ 91  183 6600311","Plot C-4,Trilium Mall, 5th Floor, Circular Road, Amritsar - 143001, Opposite Basant Avenue"
"Sangam Cinema","+ 91  183 2545500","G T Road, Amritsar - 143001, Near Bus Stand"
"Aanaam Cinema","","Aanam Cinema Lane, Taylor Road, Amritsar - 143001, Near Amritsar Railway Station"
"New Rialto Cinema","+ 91  9781957923","Amritsar - 143001, Opposite Gpo"
"Regent Theatre","+ 91  183 2543445","Katra Sher Singh, Amritsar - 143006, Chatiwind Gate"
"Adarsh Cinema","+ 91  183 2565249","Amritsar - 143001, Opposite Ram Bagh"
"Inder Palace Cinema","+ 91  9814050411","Amritsar - 143002, Near Civil Hospital"
"Krishna Theatre","+ 91  183 2526300","Amritsar - 143001, Chatiwnd Gate, Shastri Market"
"Raj Theatre","+ 91  9417277083","Amritsar - 143006, Chatiwind Gate"
