"Name","Phone","Address"

"Golden Oak","+ 91  80 33724824","Lamarvella Hotel, No.1,1st Floor, 14th Cross, South End Circle, Jayanagar 2nd Block, Bangalore - 560011, Opposite Bangalore Hospital"
"Vibetree Oiwai (P) Ltd","+ 91  80 33294019","# Abilash Nilaya , Flat no A 3 , 29th C Cross ,, Kagadaspura, C V Raman Nagar, Bangalore - 560093, Near Narayan School"
"Icon Club","+ 91  80 33674319","No.1A/35/1,3rd Floor, Tumkur Road, Yeshwanthpur, Bangalore - 560022, Opposite Rns Motors"
"No Limmits Lounge And Club","+ 91  80 49333000","No.8,2nd Floor,Allied Grande Plaza, Magrath Road, Bangalore - 560025, Above Nalli Silks"
"Cirrus Restobar","+ 91  80 33090598","No.756,5th Floor, Indiranagar, Bangalore - 560038, Near Sony Showroom,Above Reid N Taylor"
"South Point Pub Bar and Res...","+ 91  80 26563642","No.7, Lakshmi Tower, Building, No.200, R V Road, South End Circle, Basavanagudi, Bangalore - 560004, Next To Bangalore Hospital"
"Filling Station Restro And Pub","+ 91  80 33531392","No.33,, 17th Main, 5th Cross, 5th Block,, Koramangala, Bangalore - 560095, Opposite Nandhana Grand Hotel"
"Fill N Chill Multicuisine R...","+ 91  80 33511448","No.107/2,, 80 Feet Road,, Koramangala 4th Block, Bangalore - 560034, Between Sony World & Maharaja Signal,"
"1522 The Pub","+ 91  80 33080726","No 1522,White Horse Building, 17th Cross, Rajajinagar, Bangalore - 560010, Near Bridge"
"The Boozy Griffin","+ 91  80 33561427","No.105,Vikas Tech Park,2nd Floor, 1st Cross,Jyothi Nivas College Road, Koramangala 5th Block, Bangalore - 560034, Below The Black Pearl Restaurant"
"Fusion Lounge","+ 91  80 39626084",""
"The Big Mataka","+ 91  80 33762320","No.329,4th Floor, Taralabalu Road, R T Nagar, Bangalore - 560032, Opposite Coffee Day"
"Salt Electra","+ 91  80 33618806","No 65 3rd Floor, 100 Feet Road, Indiranagar, Bangalore - 560038, Near Sony Center Signal"
"The Local","+ 91  80 41440067","No 2075,Supraja Building, 2nd Block,HRBR Layout, Kammanahalli, Bangalore - 560043"
"Level 5 Lounge Bar","+ 91  80 33511641","No.74/2, 5th Floor, Sanjana Plaza, Elephant Rock Road, Jayanagar 3rd Block, Bangalore - 560011, Above Rr Gold Palace"
"Enigma Pub","+ 91  80 33090922","No.2, 5th Block,100 Feet Road, Koramangala, Bangalore - 560095, Opposite Canara Bank"
"Toit Brew Pub","+ 91  80 49114967","No 298, 100 Feet Road, Indira Nagar 2nd Stage, Bangalore - 560038, Near KFC Restaurant"
"Brewsky","+ 91  8880075000","No 55, 5th Floor, Goenka Chambers, 19th Main, Jp Nagar 2nd Phase, Bangalore - 560078, Sarakki Extension, Jeewan Griha Colony"
"Windmills Craftworks","+ 91  8880233322","No 331, Road 5B, Epip Zone, Whitefield, Bangalore - 560066, Next To L & T Infotech"
"Arbor Brewing Company","+ 91  80 67921222","No 8, 3rd Floor, Allied Grande Plaza, Magrath Road, Bangalore - 560025, Opposite To Home Stop"
"Big Pitcher","+ 91  80 45530045","No.4121, L R Arcade, Ward No.88, Hal 2nd Stage, Old Airport Road, Bangalore - 560017, Next To Leela Palace"
"District 6","+ 91  80 61766666","Gateway Campus G-03, 04 And 05, Ground Floor, Dr Raj Kumar Road, Malleswaram West, Bangalore - 560055, Below Sheraton Hotel Basement"
"Vapour Pub & Brewery","+ 91  80 33767298","No.773, 100 Feet Road, Hal 2nd Stage, Indiranagar, Bangalore - 560038, Near Sony Centre"
"Pebbles The Jungle Lounge","+ 91  80 23614109","No 3, Ramanna Maharishi Road, Palace Ground, Sadashivanagar, Bangalore - 560080"
"Watsons","+ 91  7760988922","No.34 - L/1 & L/2, Skywalk Building, 4th Floor, Assaye Road, Ulsoor, Bangalore - 560008, Near Body Craft"
