"Name","Phone","Address"

"Ola Cabs","+ 91  183 3355335","Amritsar - 143002, Near Bus Stand"
"Mega Cabs","+ 91  183 5151515","Park Plaza Bldg, 2nd Flr, Amritsar - 143001, Ranjeet Avenue, B-Blk, Above Koutons"
"Danish Tour & Travels","+ 91  9814191109","42/8, pawan nagar, batala road, Amritsar - 143001"
"North India Tour & Travels","+ 91  183 5060360","Shop No-29, Deep Complex, Court Road,, Amritsar - 143001, Opp. Dhoaba Automobiles,"
"Chahal Tour & Travel","+ 91  9855308308","Shop No. 2,, Queens Road, Amritsar - 143002, Opp.Hotel Suncity Tower"
"J J TOUR & TRAVELS","+ 91  183 5067057","16,, O/s hathi gate, AMRITSAR - 143001, Opp.shiv puri"
"Shri Mani Mahesh Travels","+ 91  183 5019448","Plot Number - 1, Majitha Road, Gopal Nagar, Amritsar - 143001, Opposite State Bank Of Patiala, Near Guru Nanak Dev Hospital"
"Amritsar Yellow Plate Taxi Ser...","+ 91  183 5053045","Sco35,IIIrd Floor Court Road, Deep Complex, Amritsar - 143001, Opposite HDFC Bank"
"Kuldeep Travels Amritsar","+ 91  9814130655","H.No-45, Gali No-12, Shri Udham Singh Colony, Chabbal Road, Khazana Wala Gate, Amritsar - 143001"
