"Name","Phone","Address"

"Jewellery Mall","+ 91  5278 224777","Chowk Tower, Faizabad - 224001"
"Jewellery Mahal","+ 91  9235407731","Faizabad - 224001, Aquab Bajaja Chowk, Faizabad"
"Jewellery House","+ 91  9335627355","Akab Bajaja, Chowk, Faizabad - 224001"
"SAI Jewellery","+ 91  9453073335","Fatehganj, Faizabad - 224001, Ramnagar"
"S N Jewellery Shop","+ 91  527 8225308","Chouk, Faizabad - 224001, Under Water Taink"
"Gulzar Artificial Jewellery","+ 91  5278 227867","Faizabad - 224001, Near Water Tank, Chowk Faizabad, Sector 4"
"Fashion Jewellery","+ 91  9838833097","Chouk, Faizabad - 224001, Opposite Water Taink"
"Shri Bedi Artificial Jewellery","+ 91  9935756004","Rikabganj, Faizabad - 224001, Near Hatti Maharani Mandir"
"Anand Jems And Jewellery","+ 91  8853520455","Faizabad - 224001, Aquab Bajaja Chowk, Faizabad"
"Dulhan Jewellery Shop","+ 91  9918232185","Faizabad - 224001, Aquab Bajaja Chowk, Faizabad"
"Bhagya Ratnam Gems & Jewellery","+ 91  9004897180","Tarang Road, Faizabad - 224001, Gudri Bazaar Chouraha, Near Liberty Showroom"
"Ruchir Jewellery (Artificial)","+ 91  7275042752","Sahabganj, Faizabad - 224001"
"Jagdish Artificial Jewellery","+ 91  8115634497","Ambedakar Nagar Road, Darshan Nagar, Faizabad - 224135, Darshan Nagar Bazar"
