"Name","Phone","Address"

"FMCG Food Unit","+ 91  8280235909","Railway Station, Bhubaneshwar - 751001, Bbsr"
"Keyars Food Restaurants","+ 91  674 2546740","Plot No. - 625-A, Janpath, Sahid Nagar, Bhubaneshwar - 751007"
"Lal Qila A Unit of Trishakt...","+ 91  8895591468","Plot No-516/1718, Nandankanan Road, Patia Gds, Bhubaneshwar - 751024, In Front Of Big Bazar"
"Keyars Food Restaurants","+ 91  674 2546740","Plot Number 625A, Janpath, Sahid Nagar, Bhubaneshwar - 751007"
"Little India Food Court","+ 91  9040101050","Prayas-3/7, Nandankanan Road, Chandrasekharpur, Bhubaneshwar - 751016, Near Nalco Square Rcm College"
"Voila Foods","+ 91  7873718918","301/2, Niladri Vihar, Bhubaneshwar - 751021, Behind Sai Temple"
"Eicher Engines- A Unit Of T...","+ 91  8260733300","A/M 31, VSS Nagar, First Floor,, Bhubaneshwar - 751007, Near Axis Bank VSS Nagar"
"Chandan Foods","+ 91  674 2545054","Plot No- A-94, Corner Plot, Sahid Nagar, Bhubaneshwar - 751007, Near Stay Fit Gym"
"Singhji Food Services","+ 91  8763911425","L 933, Phase 2, Orissa State Housing Board Colony, Dumduma, Bhubaneshwar - 751019, Near Jagannatha Temple Phase 2"
"Haldiram Foods","+ 91  674 2311661","Plot No 54, Cuttack Road, Budheshwari Colony, Bhubaneshwar - 751006"
"ADDA FOOD SQUARE","+ 91  674 6551655","4th Floor,S J Complex, KIIT University Road, Patia Gds, Bhubaneshwar - 751024"
"Food Plaza","+ 91  674 2530322","Bhubaneswar Railway Station, Kharvel Nagar, Bhubaneshwar - 751001, Near Master Canteen Square Platform Number 1"
"Hotel Daaven A Unit Of Daaven ...","+ 91  674 2721051","G A- 467, Sailashree Vihar, Bhubaneshwar - 751021, Near Second Dav School"
"Food Junction","+ 91  674 3257708","Plot No 10, Janpath, Bapuji Nagar, Bhubaneshwar - 751009, Near Andhra Bank"
"Marwari Food Plaza","+ 91  9090851101","B-55, Chandraka Industrial Estate, Patia Gds, Bhubaneshwar - 751024, near DLF"
"Food Corporation Of India","+ 91  674 2401535","Bhubaneshwar - 751001"
"Samruddha Jeevan Foods India Ltd","+ 91  674 2360787","Plot No 2087, 2nd Floor, Biju Patnaik Lane, Jaydev Vihar, Bhubaneshwar - 751013"
"Food N Fun Restaurant","+ 91  674 6450356","178 A, Nandan Kanan Road, Patia, Chandrasekharpur, Bhubaneshwar - 751016, Near Chandrasekharpur Police Station"
"The Hub Food Court","+ 91  674 6002336","Stone Palace, Revenue Villege, Infocity, Bhubaneshwar - 751024, Infront Of TCS"
"SRL DIAGNOSTICS KHANDAGIRI HO...","+ 91  674 6095695","KHANDAGIRI SQUARE, MAIN ROAD, Bhubaneshwar - 751030, NEAR ST. XAVIER HIGH SCHOOL"
"Sanjeevani Dental & Oral Care ...","+ 91  674 2340730","Mahabir Bazar 3103A, Lewis Rd,, Samantarapur, Bhubaneshwar - 751002"
"Food Corporation Of India R O","+ 91  674 2585825","Khadya Bhawan, Vani Vihar, Bhoinagar, Bhubaneshwar - 751022"
"The Roof Unit Of Sarvadi Infra...","+ 91  674 6546654","624, Janpath, Sahid Nagar, Bhubaneshwar - 751007, Opp IDBI Bank"
"GOLI VADA PAV - VINAYAK FOOD","+ 91  674 2545018","PLOT NO. C-42, Sahid Nagar Market Building, Sahid Nagar, Bhubaneshwar - 751007, In Front Of Bhawani Mall"
"Food Bazaar","+ 91  9668477510","Kharvel Nagar Unit 3, Bhubaneshwar - 751001"
"Keyars Food","+ 91  674 2597118","Plot No 219, Bapuji Nagar, Bhubaneshwar - 751009"
"Hotel Rajbhog&Fast Food","+ 91  9863178193","No, Infront Of Xaviours High School, Khandagiri, Bhubaneshwar - 751030, Hill Road Khandagiri Temple"
"Sai Sradha Fast Food & Tiffin ...","+ 91  8908235656","Kalyana Nagar, Patrapada, Bhubaneshwar - 751019, Near Kalyana Nagar"
"Aviv Food Point","+ 91  8895992296","Plot No 3564, Ground Floor, Palasuni Main Road, Palasuni, Bhubaneshwar - 751010, Near HDFC Bank"
"Sricon Sea Foods Pvt Ltd","+ 91  674 2431781","Bhubaneshwar - 751001"
"Soumya Associate Fmcg Division","+ 91  674 6010009","Plot No : N6/120, Jayadev Vihar, Irc Village, Bhubaneshwar - 751015, Behind Sirdi SAI Temple"
"Priya Fast Food Hotel","+ 91  674 2420933","Plot No 883/80, Kalinga Market,Bedyut Marg, Nayapalli, Bhubaneshwar - 751012, Shastri Nagar"
"MAA Annapurna Food Products","+ 91  674 2510350","Plot 6, Bhoum Nagar, Sachibalaya marga, Bhoinagar, Bhubaneshwar - 751022, Near SBI atm"
"Kolkata Fast Food & Restaurant","+ 91  9692157843","Shop N0-37, V S S Nagar, Bhubaneshwar - 751007, Vss Market"
"MAA Narayani Hotel & Fast Food","+ 91  9938167541","Sahid Nagar, Bhubaneshwar, Main Road, Sahid Nagar, Bhubaneshwar - 751007"
"Shri Jagannath Dry Food & Cakes","+ 91  9437041355","Vss Nagar, Sahid Nagar, Bhubaneshwar - 751007"
"Sizzler Fast Food","+ 91  9938853262","Main Road, Unit 4, Bhubaneshwar - 751001, Near Maszid"
"Food Junction","+ 91  9861811966","3rd Floor,Forum Mart, Kharvel Nagar, Bhubaneshwar - 751001, BIG BAZAAR"
"Sonthalia Food Product Pvt Ltd","+ 91  674 2583933","Sector A, Zone B, Plot No S/36 and 37, Mancheswar,, Mancheswar Industrial Estate, Bhubaneshwar - 751010, Near Bharat Motor Square"
"M S Food Pvt Ltd","+ 91  674 2586151","Bomikhal,, Bomikhal, Bhubaneshwar - 751010"
"Visa Application Processing Unit","+ 91  9938414588","room b 10 janpath tower, master canteen, Ashok Nagar, Bhubaneshwar - 751009, near U C O Bank"
"Arena Animation Bapujinagar A...","+ 91  9777046996","14a, Bapuji Nagar, Bhubaneshwar - 751009, Behind Federal Bank"
"Chief Engineer-Cum-Project Dir...","+ 91  674 2391275","5th Floor, Bhubaneshwar Railway Station, Bhubaneshwar - 751001, Rajiv Bhawan"
"Arohee Food Plaza","+ 91  674 3209364","Fn 3,4&5, Ekamra Haat,, Bhubaneshwar Airport, Bhubaneshwar - 751009"
"Food Express","+ 91  674 2522999","101 janpoth roed, Lalchand Mkt. Complex, Stn Sqr., Bhubaneswar, Bhubaneshwar - 751003, near sosti hotel"
"Marriage Settelment Unit","+ 91  9040634537","A-247, Phase -5, Dumduma Hb Colony, Dumduma, Bhubaneshwar - 751019, Phase-3 Market"
"MAA Kali Fast Food","+ 91  9658954415","Shop No-2, Phase -4, Dumduma, Bhubaneshwar - 751019, Near Auto Stand"
"Cesco Substation , Unit -II","+ 91  674 2531362","Unit -II, Bhubaneshwar - 751001"
"Dalma Satapathy Foods (Closed ...","","Lewis Road, Old Bhubaneshwar, Bhubaneshwar - 751002"
"FAB Food India P.ltd","+ 91  674 3267513","Pandap Nagar,Tankapani Road, Bhubaneswar, Bhubaneshwar - 751018"
"M/S Susham Agro Foods","+ 91  674 2340993","Industrial Estate Cuttack 10, Bhubaneshwar"
"Cesco Electrical Sub Station U...","+ 91  674 2532789","Unit 1,, Bhubaneshwar , Nr Capital Thana"
"Arora Food Industries","+ 91  674 2557834","Jaydev Vihar,, Jaydev Vihar, Bhubaneshwar - 751013"
"J S Food Products Pvt Ltd","+ 91  674 2433926","Jaydev Nagar,, Jaydev Vihar, Bhubaneshwar - 751013"
"Jubilant Food Works","+ 91  8763837441","Shop No 6, Ground Floor, Jaydev Vihar, Bhubaneshwar - 751013"
"Hotel Food Palace","+ 91  9040888115","Jaydev Vihar Road, Jaydev Vihar, Bhubaneshwar - 751013, Behind Pal Heights & Infront of Hindalco Industries Ltd"
"Sai Shakti Fast Food & Hotel","+ 91  8908954517","Crp Lines, Bhubaneshwar - 751011, Stewart"
"Spices Fast Food","+ 91  9178071652","Crp Lines, Bhubaneshwar - 751011, Stwerts School"
"Moreish Foods","+ 91  9668307154","plot no-N6/313, Biju Pattnaik College Road, Jaydev Vihar, Bhubaneshwar - 751013, Near Chhappan Bhog"
"Richi Food","+ 91  674 2557667","Richi Regency, N-5/527, Nayapalli, Bhubaneshwar - 751012, IRC Village"
"Richi Regency Foods Restaurants","+ 91  674 2557667","Richi Regency Hotel, Irc Village, Bhubaneshwar - 751015, Near Reliance Fresh Showroom"
"Behera Fast Food","+ 91  9658140484","Shop No-23/G, B P College Road, Jaydev Vihar, Bhubaneshwar - 751013, Sesco Office"
"Jangyanswain Cashew Processing...","+ 91  674 2552975","B/21, Indradhanu Market Complex, Nayapalli, Bhubaneshwar - 751012"
"Food Embassy","+ 91  674 2361099","Plot No- 2273/4102, Biju Pattanik College Road, Jaydev Vihar, Bhubaneshwar - 751013, Infront of Bhagbati Temple"
"Food Planet","+ 91  9090809040","2284, jaydev vihar, Jaydev Vihar, Bhubaneshwar - 751013, near bus stop"
