"Name","Phone","Address"

"Chahal Paint Store & Distributor","+ 91  9803188752","Main Adda, Butala, Amritsar - 143203, Opp. HDFC Bank"
"Chahal paint store","+ 91  9815401589","RANJIT VIHAR, LOHARKA ROAD, Amritsar - 143001, Opposite Amritsar paper mill"
"Chahal Kheti Store","+ 91  9815969528","Amritsar - 143001"
"Chahal Kheti Store","+ 91  9815969528","65, Near Govt Pg Collage, Amritsar - 143002, Main Road"
"chahal feed store","+ 91  9780353536","aada daduana amritsar mehta road, Amritsar - 143113"
"Chahal Karyana Store","+ 91  9780955894","1, Chahal Karyana Store, Ajnala, Amritsar - 143102, Chopal Road Gurbax Nagar"
"Chahal Tour & Travel","+ 91  9855308308","Shop No. 2,, Queens Road, Amritsar - 143002, Opp.Hotel Suncity Tower"
"Chahal Dental Clinic","+ 91  7814331322","Amritsar - 143001, Bhawani Nagar"
"Chahal Online Services","+ 91  9888418517","Scf-14 Ranjit Avenue, Amritsar - 143001"
"Chahal Tour And Travels","+ 91  9815124338","Railway Station, Amritsar - 143001"
"Chahal Entertainers","+ 91  9876787070","Main Bazar, Near Gurdwara, Amritsar - 143001"
"Chahal Taxi stand","+ 91  9914266215","Golden temple, Amritsar - 143001, Near baba attar sahib gurdwara"
"Chahal Rent & Cab","+ 91  9814881795","Shop No 13, Amritsar - 143001, Opposite Shivpuri,Hathi Gate"
"Chahal electronics","+ 91  9876795710","Shop no-145, AJIT NAGAR, Sultant Wind Gate, Amritsar - 143006, OPP DESI TADKA RESTAURANT"
"Chahal Electronics","+ 91  183 3240273","G T Rd, Amritsar - 143001, Tangra"
"Chahal Sanitary","+ 91  9815301589","Loharka Road, Amritsar - 143002, Opp Paper Mill"
"Dr Chahal Eye Care Centre","+ 91  183 5009164","20, majitha complex, Majitha Road,, Amritsar - 143002, Opp. Ram Lal Eye & Ent Hospital,"
"Chahal Tour & Travels","+ 91  9815462098","Amritsar - 143002"
"Chahal Tyre World Pvt Ltd","+ 91  9915800001","Amritsar - 143002, Oppodite New Amt, Near Taral Wala Bridge"
"Chahal Tyre World Pvt Ltd","+ 91  183 2702081","G T Road, Amritsar - 143001, Taranwala Bridge, Opposite New Amritsar"
"Chahal Property Dealer","+ 91  9876161263","F G C road, Nangali ,Badrinath Hospital, Amritsar - 143001, Near Thakur ji estate"
"Chahal Electronic & Electricals","+ 91  9876336799","Khilchian-Tarsikka Rd, Khilchian, Amritsar - 143111, Nr Govt Sen Sec School"
"Chahal Tyres","+ 91  9216181001","G T Road, Rayya, Amritsar - 143112, Near Dana Mandi"
"Chahal TV Centre","+ 91  9464171082","Baba Bakala, Amritsar - 143202"
"Saini Paint Store","+ 91  183 2423736","Shop Number 1, Fatehgarh Churian Road, Amritsar - 143001, Near Nirankari Colony And Lifecare Hospital"
"Indian Paint Store Modern Coat...","+ 91  183 2270840","Gali No-4-A, Vijay Nagar,, Batala Road, Amritsar - 143001, Opp. Honda Agency,"
"Indian Paint Store","+ 91  9653243549","Sh. No. 1, Vijay Nagar, Amritsar - 143001, Batala road"
"Milan Paint Store","+ 91  9855299833","Amritsar - 143001, Nr. Gagan Cinema"
"Arora Paints Store","+ 91  9841730919","Add Chogawan, Ajnala Road,, Amritsar - 143001"
"Rahul paint store","+ 91  8427377271","Shop no :45, Amritsar - 143001, Vijay nagar"
"Josan Automobiles & Paint Store","+ 91  183 2583343","Adda Duburji, Amritsar - 143001"
"ARORA PAINT STORE","+ 91  183 5095643","MAIN ROAD, BATALA ROAD, Amritsar - 143001, OPPOSITE SAROJ DHABA"
"Harjee paint store","+ 91  9814165225","main bazar, Sharif Pura, Amritsar Bus Stand, Amritsar - 143001, Nr. Bus Stand"
"Mahajan Paint Store","+ 91  9041767228","Katra Baggian, Amritsar - 143001, Near Bank Of India"
"Gora Sanitary And Paint Store","+ 91  8146366953","Tarn Taran Road, Amritsar Bus Stand, Amritsar - 143001, Near Bhai Manj Singh Gurudwara, Kot Mitt Singh"
"aK Hardware And Paint Store","+ 91  183 5125399","mEHTA ROAD, Main bazar, Amritsar - 143001, Near hussainpurA chownk"
"Harjas sanitary ware nd paint ...","+ 91  9463254181","Shop no 4 Guru Arjun Dev market, Focal point, Amritsar - 143001, Near Taran Wala pull"
"satguru Paints Store","+ 91  9814673882","vpo Nawan Pind, Nawan pind, Amritsar - 143001, Near govt school"
"LAXMI PAINT STORE","+ 91  9815315624","INSIDE LAHORI GATE KATRA SUFAID, Lahori Gate, Amritsar - 143001, NEAR RAM RAKHA JANJ GHARANA"
"Sharma Paint Store","+ 91  7508811751","pawan nagar, Amritsar - 143001, near domahi shivala"
"S.S PAINTS STORE","+ 91  9855758772","O/s Lahori Gate, Lahori Gate, Amritsar - 143001, Opp. Bank Of Baroda"
"krishna hardware and paint store","+ 91  183 5050501","shop no 727, ramtirth road, Amritsar - 143001, putlighar"
"J.C. PAINT STORE","+ 91  9988286344","Shop no. 8, G.T. road, Near Peer Dargah, Golden Avenue, Amritsar - 143001, Ram Talayi Chowk"
"AMIT PAINT STORE","+ 91  8437915290","Guranak pura, Amritsar - 143001, near puri petrol pum"
"Swami paint store","+ 91  9780634517","Main bazar, Near street no 8, Sunder Nagar, Amritsar - 143001, Near Durga chemist"
"KARAN PAINt store","+ 91  8556989821","putlighar, Amritsar - 143001, cemetry road"
"Binder Paint Store","","Ramtirth Road, Amritsar - 143002, Near Chownk Putlighar"
"maini paint store","+ 91  7508605899","mata kaulan marg, mata kaulan marg, Amritsar - 143001, near gopal mandir"
"Sunny Hardware & Paint Store","+ 91  183 2272745","near joura fatak, Main bazaar krishna nagar, Sunder Nagar, Amritsar - 143001, opposite Sunny Bakery"
"GURUAMARDAS UILDING MATERIAL A...","+ 91  9646455496","gt rd, Amritsar - 143001, opp appolo pharmacy"
"Bath Paint Store","+ 91  9417107697","F-15/1028, Bank Avenue, Majitha Road, Amritsar - 143001, Back Side Sacred Heart School,"
"BHOLA PAINT STORE","","Shop Number-256 A, East Mohan nagar, Amritsar - 143006, Near hanuman mandir"
"Poonam paint store","+ 91  8528726558","Shop no 8, Camrang road, Amritsar - 143001, Near BSNL exchange"
"Chandan Paint Store ( An Insta...","+ 91  183 2541633","Hall bagh, Amritsar - 143002, Near goal hatti chowk"
"Jeet paint store","+ 91  7814470063","Sultanwind road, Amritsar - 143002"
"Kuldeep Paint Store (Mahajan D...","+ 91  183 2557177","Inside Chowk Lohgarh Gate,, Amritsar - 143002, Near Gurudwara,"
"Walia Iron & Paint Store","+ 91  183 2271312","Batala Road, Amritsar - 143001"
"PURI PAINT STORE","+ 91  9815892653","Shop no. 4, Majitha road, Majitha, Amritsar - 143601, bye pass"
"Kuldeep paint store","+ 91  9876846123","FGC Road, Amritsar - 143001, Nr. Spring dale school"
"Baba Mehma Paint Store","+ 91  183 2590446","Amritsar - 143001, Opp. Central Jail,"
"Prince Sharma Paint Store","+ 91  9815026330","main bazar,street no-9,, Majitha, Amritsar - 143601, Near Satish Electric Works"
"Sukhdev Singh Hardware & Paint...","+ 91  9417383859","Chogawan Road, Ajnala, Amritsar - 143102"
"Chetan Paint Store","+ 91  9855299289","Near Primery School, Chetanpur, Amritsar - 143606"
"Tarun Hardware & Paint Store","+ 91  9855755052","h n 364 Near Baba Tracktor Workshop, jachi ngr gali no 6, Rayya, Amritsar - 143112"
"Ramesh Hardware & Paint Store","+ 91  9815539229","Baba Bakala, Amritsar - 143202, Opp. Tahaseel Complex"
"SHARAN PAINT STORE AND Hardware","+ 91  9915589010","SHOP no 21, kishan kot, Amritsar - 143001, putli ghar"
"B Gurmukh Singh & Sons","+ 91  183 2545454","Hall Bazar, Amritsar - 143001"
"Ramesh Seed Store","+ 91  9779773163","Old Sabji Mandi, Hall Bazar, Amritsar - 143001, Opposite Hall Bazar"
"Delhi Chappal Store","+ 91  8284920111","Shop Number 9 New Ldh Market, Amritsar Bus Stand, Amritsar - 143001, Near Bus Stand"
"Gupta Pipe Store","+ 91  183 5066151","Mahan Singh Gate, Amritsar Bus Stand, Amritsar - 143001, Opposite Jagat Jyoti School"
"J S Paint & Building Material","+ 91  9855516470","Doburji, G T Road, Amritsar - 143001, Near Shubham Enclave"
"GURUKIRPA PLYWOOD & PAINTS","+ 91  183 5004465","Shop No. 6, Old Jail Road, Amritsar - 143001, Near Rattan Singh Chowk"
"Walia motor store","+ 91  9814097997","shop no. 143 A, Truck stand, Amritsar - 143001, G.t. Road"
"Kahlon Chicken & Meat Store","+ 91  9988764646","Shop Number 7, Loharka Road, Amritsar - 143001, Near State Bank Of India"
