"Name","Phone","Address"

"Looks Fashion","+ 91  9781222836","Nikka Singh Colony, Rim Zim Wali Gali, Amritsar - 143001, B/S Khalsa College For Women"
"Kaku Shah Dihatti","+ 91  183 5003409","Shop No 1, Main Road, Bhagtawala, Amritsar - 143006"
"only store","+ 91  183 6600513","sh no 20 21, near trillium, Amritsar - 143001, near circular road"
"Stop N Shop","+ 91  183 5016161","Sco 35 C Block, Ranjit Avenue, Amritsar - 143001, Near El Dorado Restaurant"
"MAGNET ENDLESS ATTRACTION","+ 91  9888305470","SCF-46, Block-C, Ranjit Avenue, Amritsar - 143001, Ranjit Avenue C Block"
"shri Mahalaxmi Garments","+ 91  9501836038","Shop no. 12, sehej enclave, Amritsar - 143002, near gopal mandir"
"Gee Gee Kids Selection","+ 91  9915256066","Chowk Telephone Exchange, Karmon Gali, Katra Jaimal Singh, Amritsar - 143006, Opposite Tara Paneer Bhurji"
"Arora Collection","+ 91  9815626782","19, Liberty Market, Railway Link Road, Amritsar - 143001, Near Railway Station"
"Khanna Cloth Store","+ 91  183 2551504","Main Road, Amritsar - 143001, Near Chowk Goal Hatti"
"JAY Vee Textile Private Limited","+ 91  183 2481023","Main Road, Amritsar - 143001, Behind Old Oct"
"Adarsh Textile Mills","+ 91  9814052478","Amritsar - 143001, Near Sant Nagar Verka"
"Zodiac finest quality clothing","+ 91  183 2229695","9-dilwari market, Lawrence Road, Amritsar - 143001"
"Magnus Garments","+ 91  9878956677","Shop no.6, Lawrence Plaza Market, Lawrence Road, Lawrence Road, Amritsar - 143001, Near Pizza Hut"
"Gulati Poshak Bhandari","+ 91  9780579367","Lohgarh Gate, Amritsar - 143006, Near Kali Mata Mandir Inside Durgiana Mandit"
"5 star Collection","+ 91  183 5533924","Shop no 77, Katra Jaimal Singh, Amritsar - 143006, near Bharavan Da Dhabha"
"Punjab Cloth Store","+ 91  183 2547510","94, Katra Jaimal Singh, Amritsar - 143006"
"Sachdeva Associate","+ 91  183 2556952","1st Floor, Golden Temple, Amritsar - 143006, Guru Bazar, Sai Dass Market"
"Seth Suit And Sharee","+ 91  183 2534117","Main Road, Guru Bazar, Amritsar - 143006"
"English Creations Craze","+ 91  183 2502163","408-B Green Avenue, Amritsar - 143001"
"A 2 ALL","+ 91  9876939777","Shop No-9, Jalandhar, Amritsar - 144002, Near Jandiya Wala Peer, Ashok nagar"
"Noble garments","+ 91  9915276635","Shop no 4, Krishna Square, Amritsar - 143001, Sunder nagar"
"Options","+ 91  8968355888","Shop no.3, basant avenue, Basant Avenue, Amritsar - 143001, Race Course Road"
"3G COLLECTION","+ 91  9914975597","SHOP NO 5, BATALA ROAD, Amritsar - 143001, OPPOSITE PABBY BANQUET"
"ATTRACTION","+ 91  9988316972","MAIN ROAD, BATALA ROAD, Amritsar - 143001, NEAR AMRITSAR BAR"
"Infinity clothing","+ 91  9988777330","S.c.o -17, MAIN MARKET SEHEJ ENCLAVE, Amritsar - 143001, OPPOSITE GOPAL MANDIR"
"Raanjhanna Mens Boutique A Lux...","+ 91  183 5067665","SCF-4, Ranjit Avenue C Block, Ranjit Avenue, Amritsar - 143001, Near Brijwasi"
"Sweet 18 girl wear","+ 91  8728857068","2, Near s.s food, Amritsar - 143001, Gopal mandir road"
"kHANNAS BRAND XPORT","+ 91  9855556323","mAIN MARKET, bASANT NAGAR, Amritsar - 143001, oPPOSITE GOPAL MANDIR"
"perfect Fit","+ 91  9646743102","sh No 2, Majitha Road, Amritsar - 143001, near gopal Mandir"
"Stop n Shop","+ 91  8054536398","Shop no. 35, Ranjit Avenue C Block, Ranjit Avenue, Amritsar - 143001, Near Eldorado restaurant"
"EVERLAST STORE","+ 91  8556801918","Sco 41-42, c-block ranjit avenue, Ranjit Avenue, Amritsar - 143001, NEAR ELDORADO RESTAURANT"
"Guru Nanak cloth house pinde d...","+ 91  9888404354","Shop no 59, Main road Islamabad, Islamabad Nagar, Amritsar - 143001, Near Sahni mandir"
"ROYAL CHOICE","+ 91  9988436218","GALI NO 1 , MAJITHA ROAD, Amritsar - 143001, NR PAYAL MEDICOS"
"SATGURU dupatta and export cotton","+ 91  7837286055","Shop no 31 &32, Majitha Road, Medical Enclave, Amritsar - 143001, Near medical collage"
"LUCKY FASHION ZONE","+ 91  9915034777","street no. 13, Sunder Nagar, Amritsar - 143001, Main bazaar pawan nagar"
"Arora Fashion Wear","+ 91  9814851856","Main Market, New Pawan Nagar, Amritsar - 143001, Near Sethi Sweets"
"John Exclusive","+ 91  8699389384","Friends Colony, Majitha Road, Amritsar - 143001, Near Hari Mandir"
"NEW Look for u","+ 91  9569438320","Shop NO 5, Fatehgarh Churian Road, Amritsar - 143001, NEAR Santt Patric school"
"RDX Clothing & Accessories","+ 91  9915032641","Shop no. 11, Rattan Singh Chowk, FGC ROAD, Amritsar - 143001, Near Baba Ji Electrical Store"
"Plaza Garments","+ 91  8872254143","Circular Road, Amritsar - 143001, Near Trillium Mall"
"DAY 2 DAY CLOTHING","+ 91  9815770225","Nikka Singh Colony, Amritsar - 143001, near Khalsa College For Women"
"WHITE VILLA CLOTHING","+ 91  9855275896","Shop no, mehanga Singh Marg, Amritsar - 143002, near Khalsa College"
"Bridal Collection","+ 91  9815576325","Main Road, Bhagtawala, Amritsar - 143006"
"SETHI GARMENTS","+ 91  9872079124","king Enclave, opposite Brar Hostel, Amritsar - 143001, near Guru Nanak Dev University"
"Satnam Garments","+ 91  9592863874","Shop no. 39 A, Gurnanak Market, Amritsar - 143002, Near Railway Link Road"
"Swag The Fashion","+ 91  183 2255222","Shop Number- 1, Gt road, Amritsar - 143002, Bank of baroda"
"MULBERRY GARMENTS","+ 91  9780771900","King enclave, Amritsar - 143001, Near Brar girls hostel"
"style world mens clothing","+ 91  9888398827","Shop number 1, kabir Park, Amritsar - 143001, near guru nanak dev university"
"the clothing pallate","+ 91  9988938797","scf-48, kabir park, Amritsar - 143001, opp guru nanak university"
"options apparels","+ 91  9888210582","shop no-13 2d floor, Gt Road, Ajit Nagar, Amritsar - 143001, Alpha One Mall"
