"Name","Phone","Address"

"Dtdc Dpd Group","+ 91  80 30924597",""
"S B Express","+ 91  80 33618394",""
"SSS Enterprises","+ 91  80 30161313",""
"Vasudha Enterprises","+ 91  9739172226",""
"S V Enterprises","+ 91  80 33511350",""
"FedEx Express Transportatio...","+ 91  7899934265",""
"First Flight Couriers Ltd","+ 91  80 33789675",""
"Sri Mahalakshmi Enterprises","+ 91  80 33081476",""
"Sri Vinayaka Enterprises","+ 91  80 33518424",""
"ILA Orchards","+ 91  80 33058259",""
"Caper Express","+ 91  80 33092971",""
"Sri Sai Enterprises","+ 91  80 33083222",""
"Exolent Express","+ 91  80 33642735",""
"Courier And Cargo Ltd","+ 91  80 33562977",""
"FedEx Express Transportatio...","+ 91  9243406106",""
"Pavan Express Domestic And ...","+ 91  9964728682",""
"Dtdc Courier Service","+ 91  80 26630070",""
"ADS Enterprises","+ 91  80 23507232",""
"FedEx Express S R Worldwide","+ 91  80 33530797",""
"Sri Bhagavan Logistics","+ 91  80 33511429",""
"Federal Express Courier Ser...","+ 91  80 30625187",""
"SRI SAI INTERNATIONAL COURI...","+ 91  80 33092470",""
"Sri Sai Enterpirses DTDC Ex...","+ 91  80 33530706",""
"S R Logistics","+ 91  80 33294582",""
"FedEx Express Transportatio...","+ 91  80 22862102",""
"FedEx Express Transportatio...","+ 91  7899934266",""
"FedEx Express Transportatio...","+ 91  80 49027777",""
"FedEx Express Transportatio...","+ 91  9243406106",""
"DTDC Courier And Cargo Ltd","+ 91  80 33056708",""
"FedEx Express Transportatio...","+ 91  9243406106",""
"Sri Gayathri Enterprises","+ 91  80 33566666",""
"Sri Mahalingeshwara Enterpr...","+ 91  80 33293825",""
"Trackon Couriers Pvt Ltd","+ 91  80 39558347",""
"G K Enterprises","+ 91  80 33091723",""
"Dtdc","+ 91  80 23186209",""
"Speed Post Enterprise","+ 91  80 28411018",""
"Shree Maruti Courier Servic...","+ 91  80 33644519",""
"VPS Enterprises","+ 91  80 33568161",""
"Tirupati Courier Service","+ 91  80 33054904",""
"On Dot Couriers And Cargo Ltd","+ 91  80 33055778",""
"FedEx Express Transportatio...","+ 91  7899934268",""
"Dtdc Courier & Cargo Services","+ 91  80 33056728",""
"FedEx Express Transportatio...","+ 91  80 64568381",""
"Trackon Couriers Pvt Ltd","+ 91  80 33511604",""
"DTDC Courier Service Hemant...","+ 91  80 30145399",""
"FedEx Express Transportatio...","+ 91  80 23375915",""
"Sri Lakshmi Enterprises","+ 91  80 33563922",""
"Babu","+ 91  80 33619677",""
"FedEx Express Transportatio...","+ 91  9243406106",""
"DTDC","+ 91  80 33491407",""
"FedEx Express Transportatio...","+ 91  9243406106",""
"FedEx Express Transportatio...","+ 91  80 26601015",""
"DTDC Courier And Cargo Ltd","+ 91  80 33640690",""
"FedEx Express Transportatio...","+ 91  80 64563273",""
"FedEx Express Transportatio...","+ 91  80 64563273",""
"Global Express Service","+ 91  80 41500039",""
"On Dot Couriers Ans Cargo Ltd","+ 91  80 33050447",""
"R A Enterprises","+ 91  80 39200094",""
