"Name","Phone","Address"

"Pushp Auto Agency","+ 91  9814544011","Roshan Road, Hoshiarpur - 146001, Opposite Bus Stand"
"Rayat Tyres","+ 91  1885 221286","Balachaur Byepass, Balachaur, Hoshiarpur - 144521, Kangna Pull"
"Vee Aar Enterprises","+ 91  1882 233577","Prem Garh Road, Tempo Wali Gali, Hoshiarpur - 146001, near bus stand"
"Thukral Tyres","+ 91  9888839904","Haryana Road, Hoshiarpur - 146001"
"Khundi Tyre House","+ 91  1882 223250","Afgan Road, Hoshiarpur - 146001, Opp. Sood Flour Mills"
"Arora Tyre Traders(Hsp)","+ 91  9417223129","Phagwara Road, Hoshiarpur - 146001, Kamal Pur Chowk"
"Nayyar Tyre House","+ 91  9876246646","Phagwara Road, Hoshiarpur - 146001, New Grain Market"
"General Motor Stores","+ 91  1882 250869","215R, Hoshiarpur - 146001, Opposite Bus Stand"
"India Motor Store","+ 91  1882 226220","Roshan Road, Hoshiarpur - 146001, Near City Centre"
"Angra Tyres","+ 91  9814430373","Roshan Road, Hoshiarpur - 146001, Opposite City Centre"
"Mukerian Traders","+ 91  9814444860","Mukerian, Hoshiarpur - 144211, Mata Rani Chowk, Near Talwara By Pass"
