"Name","Phone","Address"

"ANR Books And Fancy Centre","+ 91  80 40916411",""
"Sujatha Enterprises","+ 91  80 33059856",""
"Sri Hemagiri Books Store","+ 91  80 33092504",""
"Spellbound","+ 91  80 33539385",""
"Maruti Books Centre","+ 91  80 33641287",""
"Sapna Book House Pvt Ltd","+ 91  80 40114455",""
"Sapna Book House Pvt Ltd","+ 91  80 49066700",""
"Sapna Book House Pvt Ltd","+ 91  80 40455999",""
"Sapna Book House Pvt Ltd","+ 91  80 23446444",""
"Sapna Book House Pvt Ltd","+ 91  80 40839999",""
"Gangarams Book Bureau","+ 91  80 25127888",""
"Sapna Book House Pvt Ltd","+ 91  80 49166999",""
"Big Bazaar","+ 91  80 40993737",""
"Prithvi Book Agency","+ 91  80 26703939",""
"The Book World","+ 91  80 42035144",""
"Sapna Book House Pvt Ltd","+ 91  80 67294151",""
"Hema Book World","+ 91  80 40905110",""
"Vedanta Book House","+ 91  80 26507590",""
"Puliani & Puliani","+ 91  80 22254052",""
"Sapna Book House Pvt Ltd","+ 91  80 42566299",""
"Mpp House","+ 91  80 22260706",""
"Jesus Calls Prayer Tower","+ 91  8050556111",""
"Gangarams Book Bureau","+ 91  80 40383838",""
"Hema Book Stores","+ 91  80 41485110",""
"Landmark","+ 91  80 65771227",""
"Landmark","",""
"Cross Currents","+ 91  80 25204438",""
"Crossword Bookstores Ltd","180030001203",""
"Hema Stores","+ 91  80 25575110",""
"Crossword Bookstores Ltd","+ 91  80 25270018",""
"Nagasri Book House","+ 91  80 26630993",""
"Evangelical Literature Service","+ 91  80 25478833",""
"Hema Book World","+ 91  80 42025110",""
"Book Palace","+ 91  80 22440972",""
"Durga Book Agencies","+ 91  80 25598677",""
"Giri Trading Agency Pvt Ltd","+ 91  80 23563001",""
"Crossword Bookstores Ltd","",""
"Bookworm","+ 91  80 40913205",""
"Pushpa Book House","+ 91  80 25484857",""
"New Vedanta Book House","+ 91  9986357921",""
"Big Bazaar","+ 91  80 25747781",""
"Higginbothams Book Shop Pvt Ltd","+ 91  80 25586574",""
"Ganesh Book Bureau","+ 91  80 25551145",""
"Crossword","+ 91  80 23615152",""
"Ram Book House","+ 91  80 41559053",""
"Book Paradise","+ 91  80 26637466",""
"V R Book Sellers","+ 91  80 23366114",""
"Maruthi Book Centre","+ 91  80 26653639",""
"Navakarnataka Publications Pvt...","+ 91  80 22251382",""
"Ankita Pustaka","+ 91  80 26617100",""
"Pauline Book And Media Centre","+ 91  80 25587106",""
"Graduate Books & Stationeries","+ 91  80 22441569",""
"Pawan Book Centre","+ 91  80 23630832",""
"Universal Book Store","+ 91  80 22270074",""
"Srinidhi Publications","+ 91  80 22355469",""
"Bible Society Of India","+ 91  80 25494789",""
"Crossword Bookstores Ltd","+ 91  80 22667499",""
"Saraswati Book Centre","+ 91  80 23152101",""
"Buy Back Book centre","+ 91  80 23425141",""
"Crossword Bookstores Ltd","+ 91  80 49029430",""
"V S & Sons","+ 91  80 26916792",""
"Crossword Bookstores Ltd","+ 91  80 43400400",""
"Shree Balaji Books & Stationers","+ 91  80 22117659",""
"Subhas Agencies","+ 91  80 41513274",""
"Geetha Agencies","+ 91  80 65990390",""
"Chaitra Book House","+ 91  80 22382535",""
"Sri Balaji Books & Stationery","+ 91  80 23331259",""
"Shwetha Agencies","+ 91  80 23317123",""
"Himalaya Publishing House Pvt Ltd","+ 91  80 22286611",""
"Atta Galatta","+ 91  80 41600677",""
"Asian Trading Corporation","+ 91  80 25487444",""
"Karnataka Book Centre","+ 91  80 22291832",""
"Subash Book Stores","+ 91  9743000610",""
"Oxford Book Store","+ 91  80 65704732",""
"SRI BOOK WORLD","+ 91  80 26608965",""
"Subhas Enterprises","+ 91  80 26753418",""
"Just Books CLC.com","+ 91  80 40982460",""
"Sharada Stores","+ 91  80 25540240",""
"Prasaranga","+ 91  80 22961277",""
"Archana Book House","+ 91  80 22217959",""
"Crossword Bookstores LTD","+ 91  80 28541031",""
"T N Krishnaiah Shetty & Sons","+ 91  80 22258217",""
"TEMPTATION M","+ 91  80 41268234",""
"Bangalore Surgical Trust","+ 91  80 26702273",""
"Sri Dhanalakshmi Books & Stati...","+ 91  80 23371174",""
"Navakarnataka Publications Pvt...","+ 91  80 22203581",""
"Rams book house","+ 91  9611207009",""
"Belagere Books & Coffee","+ 91  80 40915698",""
"Vandana Book House","+ 91  80 26770826",""
"Jyothi Book Centre","+ 91  80 26914779",""
"Padma sadana","+ 91  80 22421616",""
"Pracheta Book House","+ 91  80 26602530",""
"Om Book Shop","+ 91  80 67266601",""
"The Book World","+ 91  80 65991604",""
"Subhas Stores","",""
"Ganesh Book Bureau","+ 91  9900255411",""
"S Chand & Company Pvt Ltd","+ 91  80 22268048",""
"SUMANGALI BOOK STORES","+ 91  9901647716",""
"Jesus Redeems BO","+ 91  80 22864979",""
"Srinidhi Publications","+ 91  80 40998646",""
"Chethana Book House","+ 91  80 22126031",""
"Buy Share Sell Donate - Books ...","+ 91  7829419272",""
"Vidya Mandir","+ 91  80 22262553",""
"Sahitya Sadan","+ 91  80 40901869",""
"English Edition The Book Shop","",""
"Tata Book House","+ 91  80 23602715",""
"Mcc Publications","+ 91  80 26633763",""
"Crossword Bookstores Ltd","",""
"Varsha Book Centre","+ 91  80 23342730",""
"Motilal Banarsidass","+ 91  80 32711690",""
"Justbooks CLC Indiranagar","+ 91  80 65831547",""
"Anil Pustak Kendra","+ 91  80 22210132",""
"Macmillan Publishers India Ltd","+ 91  80 25587878",""
"D C Books","+ 91  80 40929447",""
"VEDANTA BOOK HOUSE","+ 91  80 26507590",""
"The Divine Shop - Art of Living","+ 91  9343090748",""
"Variety Book House","+ 91  80 40913287",""
"S. S. K. Book Stall","+ 91  80 23567755",""
"Vidhya Book House","+ 91  80 27832226",""
"New Saraswathi House India Pvt...","+ 91  80 26619880",""
"Just Books","+ 91  80 42228168",""
"TV 18 Home Shopping Network LTD","",""
"MAHESH BOOK STORES","+ 91  80 65609486",""
"Atlas School Books & Stationery","+ 91  9008484396",""
"Focus Bookshop","+ 91  80 23445402",""
"Sri Sharada Stores","+ 91  80 41510240",""
"Reliance Time Out","",""
"Salaam Centre","+ 91  80 26639007",""
"APNA COMPUTERS & BOOKS","+ 91  9980879588",""
"Sahitya Bhandara","+ 91  80 22877618",""
"Goobes Book Republic","+ 91  80 40903806",""
"Madhubun Educational Book","+ 91  80 22204639",""
"Shroff Publishers & Distributo...","+ 91  80 41287393",""
"DHANYA STORES","+ 91  9739666928",""
"Pratham Books","+ 91  80 41159009",""
"Just Books Clc","+ 91  80 23644501",""
"Just Books Clc","+ 91  80 22587430",""
"Music World","",""
"Ramya Book House","+ 91  80 41220381",""
"Landmark Home Store","+ 91  80 22067639",""
"Shree Gow Geeta Ganga Seva Sam...","+ 91  9584940512",""
"Sutradhar","+ 91  8025288645",""
"Lifestyle International Pvt Ltd","+ 91  80 25034500",""
"Jaico Publishing House","+ 91  80 22267016",""
"Sharada Book Centre","+ 91  9844587972",""
"Sridhar book shop","+ 91  9742217251",""
"Lightroom Book Store","+ 91  80 25460466",""
"Fortune Book Paradise","+ 91  80 25401806",""
"Raos Academy","+ 91  9900575990",""
"Sri Venkateshwara Book Stall","+ 91  80 23421316",""
"Madhu Book Centre","+ 91  80 22228705",""
"Jeevandeep Prakashan Pvt Ltd","+ 91  80 32915943",""
"Sri Mohan Store","+ 91  80 28915493",""
"Bhaskar Book Centre","+ 91  80 22231525",""
"Vijay Book Centre","+ 91  9448884473",""
"Sree Venkateshwara Book House","+ 91  80 65607468",""
"Reliance Time Out","+ 91  80 28026519",""
"Vidyamandir Books","+ 91  9845601249",""
"Atma Darshan Yogashram","+ 91  80 26664016",""
"Sreevari Book House","+ 91  9980155974",""
"Rajesh Books Bank","+ 91  9141314338",""
"Ganga Book Centre","+ 91  80 22914926",""
"Sharada Book Centre","+ 91  80 23308515",""
"Vinus Books & Fancy Store","+ 91  7259634750",""
"Abhimani Publications Ltd","+ 91  80 23123141",""
"Asian Trading Corp","+ 91  80 25471444",""
"Ramjay International","+ 91  80 22457190",""
"Hari Prasad Book House","+ 91  9964478339",""
"Sri Maruthi Book Depot","+ 91  80 22351492",""
"Medical Book Company Pvt Ltd","+ 91  80 26707525",""
"Just Books","+ 91  9611655115",""
"Balaji Book Stall","+ 91  80 25913333",""
"Shiva Book centre","+ 91  80 22244574",""
"Prime Books","+ 91  80 28602100",""
"Sri Balaji Books","+ 91  9880451046",""
"Sumangali Store","+ 91  80 25510544",""
"Rinkis Gift Stationery Toys","+ 91  80 23567867",""
"Evangelical Literature Service","+ 91  80 25467014",""
"Crossword Bookstores Ltd","+ 91  80 30877437",""
"Chandra Book House","+ 91  80 22244584",""
"Satish Agencies","+ 91  80 23499697",""
"Book Centre","+ 91  80 22862152",""
"Frank Brothers & Co Publishers...","",""
"Raman Publications","+ 91  80 22270942",""
"Hindi Book Center","+ 91  80 22210132",""
"Old Books","+ 91  9448436308",""
"Donald Enterprise","+ 91  80 26786421",""
"A N R Books Centre","+ 91  9880507935",""
"Bhaskar Stationery Mart","+ 91  80 22877748",""
"Srs Book Centre","+ 91  80 32944868",""
"SRI CHOWDESHWARI BOOK CENTRE","+ 91  80 23605803",""
"Subam Book Centre & Stationery","+ 91  80 23336923",""
"Elegance Stationery","+ 91  80 23323741",""
"Aakruti Books Pvt Ltd","+ 91  80 23409479",""
"Pauline Books","+ 91  80 25587106",""
"Karnataka Book Agency","+ 91  80 22261871",""
"Arihanth Books & Stationery","+ 91  9844360028",""
"Evangelical Literature Service","+ 91  80 23554455",""
"Abbe India","+ 91  80 42015196",""
"Gowri Book & Gifts","+ 91  80 28915843",""
"Avenue Book Centre","+ 91  80 22244753",""
"Sri Raghavendra Book Stall","+ 91  80 22220608",""
"Nava Bharat publication","+ 91  9448240452",""
"Zen Educational Technologies","+ 91  80 42124242",""
"CBS Publishers & Distributors ...","+ 91  80 26771678",""
"Arihant Prakashan","+ 91  80 23475560",""
"Shree Sharada Book House","+ 91  8050672265",""
"Just Kids","+ 91  80 26580753",""
"Sri Ganesh Book Stall & Statio...","+ 91  80 23601721",""
"Reliance Time Out","",""
"RAMDEV STATIONARY WORLD","+ 91  9731881313",""
"Rajmahal Book House","+ 91  9845657890",""
"Brainvilla Products & Services...","+ 91  80 42150826",""
"Highway Book Store","+ 91  80 28391427",""
"Apoorva Books","+ 91  80 23605614",""
"Just Books clc","+ 91  9535887589",""
"C L S Book Shop","+ 91  9008667919",""
"Veena Book Centre","+ 91  9844225755",""
"Premier Book House","+ 91  80 22255644",""
"New Surya Book Depot","+ 91  9632323283",""
"Orien Black Swan","+ 91  80 25596460",""
"Padam Books House","+ 91  80 23492526",""
"Akash starlings","+ 91  9845194638",""
"Sonaversity","+ 91  9845369034",""
"International Traders","+ 91  80 22914024",""
"Chetana Book Depot","+ 91  8553404002",""
"Sree Sharadha Book House","+ 91  9449106649",""
"Just Books Clc","+ 91  80 40966722",""
"Best Sellers","+ 91  80 25552267",""
"Hamdard Book Depot","+ 91  9845222379",""
"Bhawar Paper Agencies","+ 91  80 41731110",""
"Sharath Book Center","+ 91  80 26917415",""
"Carmels Centre","+ 91  9844475788",""
"Pustak Mahal","+ 91  80 22234025",""
"International Book House Priva...","+ 91  80 22210193",""
"Computer Book Centre","+ 91  80 25587923",""
"Chandrakala Book Centre","+ 91  80 22278190",""
"S L V Book Depot","+ 91  80 22240608",""
"MBS Industries","+ 91  80 22258477",""
"Neethu Books","+ 91  9538314244",""
"Bhagya Lakshmi Book Stall","+ 91  80 23568213",""
"Shekinah House Of Prayer & Praise","+ 91  80 23331637",""
"Book Supply Bureau","+ 91  80 25351255",""
"Malleswaram Book Depot","+ 91  80 23341795",""
"Shankar books Shop","+ 91  80 22256785",""
"Book Bonanza","+ 91  9741325687",""
"Blue Bell Stationary Stores","+ 91  8059161503",""
"Best Seller","+ 91  9945647741",""
"Utility Inc","+ 91  80 41756483",""
"Osho World","+ 91  9844510620",""
"NBT books shop","+ 91  9739676363",""
"ARAVIND BOOK HOUSE","+ 91  80 40924213",""
"M D Book Centre","+ 91  80 23484451",""
"Shree Lakshmi Speciality Services","+ 91  9448853545",""
"Maharana Agencies","+ 91  80 23472295",""
"Sanguine Technical Publishers","+ 91  80 23519490",""
"Chethan Book Store","+ 91  9449694684",""
"VGP Enterprises","+ 91  80 26321543",""
"ETL Learning","+ 91  80 41497151",""
"Infant Jesus Agency","+ 91  80 25366269",""
"Kitaab Ghar","+ 91  9980600986",""
"Ganesh Paper Agencies","+ 91  80 22428785",""
"JAI Maruthi Book Store","+ 91  8050600351",""
"Geeta Book Stall","+ 91  80 25628803",""
"Mandhara Melodies","+ 91  9845613924",""
"Prime Edventures","+ 91  9886040425",""
"SS Book Center","+ 91  9632670549",""
"Sri Ranganatha Book Stall","+ 91  80 22212168",""
"Srs Publication","+ 91  80 41309573",""
"Lakshmi Books & Stationeries","+ 91  80 69599471",""
"Ravi Book Store","+ 91  80 23498299",""
"Aum Shakthi Enterprises","+ 91  80 41281273",""
"Bangalore Book Shop","+ 91  80 41281273",""
"Book Fair","+ 91  9740017961",""
"DEV NARAYAN BOOK STORE","+ 91  7022507212",""
"Sankars The Book People Pvt Ltd","+ 91  80 25586867",""
"Shankars The Book People Pvt Ltd","+ 91  80 41124170",""
"Depot","+ 91  80 66930103",""
"Britanic Book House (India) PV...","+ 91  80 41127064",""
"B I Publications Pvt Ltd","+ 91  80 22204652",""
"Pragathi Book House","+ 91  80 64513344",""
"Bangalore Book Depo","+ 91  9341948477",""
"Manipal Printers & Publishers","+ 91  80 25586658",""
"Mamatha Book House","+ 91  80 41696952",""
"Padma Prakashana Book Shop","+ 91  9448044977",""
"Sri lakshmi book centre","+ 91  9916608343",""
"Swathi Book Stall","+ 91  9901052970",""
"Page 3","+ 91  9538733100",""
"Golden Enterprises Old Book Ce...","+ 91  9341004727",""
"Law Link Publications","+ 91  80 22263434",""
"DURGA BOOK AGENCIES","+ 91  80 25598677",""
"Bhagwan Associates","+ 91  9844373173",""
"Gayatri Pariwar","+ 91  80 25613562",""
"Sri Ram Book Centre","+ 91  9980823387",""
"Sharada Book House","+ 91  9900663337",""
"Nav Bharata Publications","+ 91  80 32491332",""
"International Books & Statione...","+ 91  80 41241938",""
"Urdu Kitab Ghar","+ 91  80 65725346",""
"Asia Book House","+ 91  9945734605",""
"Kohinoor Book Distributors","+ 91  80 22261691",""
"Bible Gallery Literature Services","+ 91  9980456760",""
"Bhagya Laxmi Stores","+ 91  80 23447743",""
"Sri Spiritual Book Centre","+ 91  80 22413590",""
"Munnudi Libray","+ 91  80 40937793",""
"India Plaza","+ 91  80 40619026",""
"SRS Book Centre IV","+ 91  9343828860",""
"Qasmi Kutub Khana","+ 91  9880660768",""
"Theological Book Trust","+ 91  80 25531154",""
"Central Book World","+ 91  9448009906",""
"F K Publication","+ 91  80 23145345",""
"Kaveri Book Centre","+ 91  80 23423968",""
"Intouch Books & Magazines","+ 91  80 25537744",""
"Lakshmi Stationeries","+ 91  9845224565",""
"Mahalakshmi Enterprises","+ 91  80 23357433",""
"Shankar Book Bureau","+ 91  80 23349569",""
"Suhari Book & Fancy Store","+ 91  9986760970",""
"Sri Vinayaka Book Centre","+ 91  80 65462025",""
"Citizen Stationery Mart","+ 91  80 25463678",""
"Furqania Academy Waqf","+ 91  80 42052967",""
"MyLib","",""
"Bharath Book Centre","+ 91  80 23357375",""
"Jupiter The Book People","+ 91  80 23530201",""
"Reliance Time Out","",""
"Nudi Book Shop","+ 91  80 26711329",""
"National Book Trust","+ 91  80 26716594",""
"Latha Book Centre","+ 91  80 26511162",""
"Interline Publishing","+ 91  80 23332824",""
"Claretian Publications","+ 91  80 23446977",""
"I B H Prakashana","+ 91  80 26698088",""
"Shree Matha Book Stores","+ 91  80 23356299",""
"Sri Shivananda Book Store","+ 91  80 22928157",""
"Prime Book Centre","+ 91  80 23393595",""
"APG Enterprises","+ 91  80 26395070",""
"Indian Journal Appl Economics","+ 91  80 23303239",""
"Nilgiris Supermarket","",""
"Dream Builders","",""
"Multi Stationery","+ 91  80 23415966",""
"Sri Mathaji Book Stores","+ 91  9916348809",""
"Vignesh Medicals","",""
"Manjunath Agency","+ 91  9341245305",""
