"Name","Phone","Address"

"Techsmart Mobile Solutions","+ 91  80 33054317",""
"Apple Solutions","+ 91  8050145225",""
"Servicemymobile","+ 91  80 33057876",""
"The Mobile Access","+ 91  80 33091336",""
"Mob And Lap","+ 91  80 65636565",""
"Samsung Mobile Care","+ 91  80 33537310",""
"Prakash Cellular Service An...","+ 91  80 41486306",""
"Mobile Land","+ 91  8548983972",""
"Jyestha Mobile Serveaze","+ 91  80 39558310",""
"Parameshwara Enterprises","+ 91  80 33057203",""
"Pickfixgo.Com","+ 91  80 33673717",""
"Fone Care","+ 91  80 42174455",""
"Fone Care","+ 91  80 42229179",""
"Mobicom","+ 91  80 33762201",""
"Cellutions","+ 91  80 39629956",""
"Ifix","+ 91  80 33294838",""
"S R Mobile Point","+ 91  80 33294378",""
"iPhone Service Centre","+ 91  80 33700829",""
"Asus Exclusive Store","+ 91  80 33537612",""
"Mobile Doctor","+ 91  80 33724533",""
"Cellphone Centre","+ 91  80 33082279",""
"Celtel","+ 91  80 33674253",""
"New Cell City","+ 91  80 33518215",""
"Service Point","+ 91  80 39628762",""
"Totoodo Samsung Mobile Repa...","+ 91  80 30832451",""
"I Do Smart Phone Service","+ 91  80 40936067",""
"SMD Mobiles","+ 91  80 33563342",""
"Eshwar Telecom","+ 91  80 33674461",""
"Comp Guy Lenovo Exclusive S...","+ 91  80 33724795",""
"Computer Mega Mart & Mobiles","+ 91  80 33724925",""
"Saanvi Mobiles","+ 91  80 33518953",""
"Shiv Mobile Solutions","+ 91  80 33092584",""
"Paras Telecom","+ 91  80 33531997",""
"Pulp Electronics Trading","+ 91  80 33537375",""
"Totoodo Mobile Service Centre","+ 91  80 33566194",""
"Techsmart Mobile Solutions","+ 91  80 40937950",""
"Rashmi Telecom","+ 91  80 33700630",""
"V Mobiles","+ 91  80 33293694",""
"The Phone Wizard","+ 91  8088181680",""
"Nemas Mobiles And Computer ...","+ 91  80 39558446",""
"Mobile Cafe","+ 91  80 33640006",""
"Bluesoft Computers","+ 91  80 33050393",""
"iPhone Service Centre","+ 91  80 33538796",""
"Service Zone","+ 91  80 33724001",""
"Siri Accellorize","+ 91  80 33518711",""
"Celtel","+ 91  80 40986154",""
"New Fonotech","+ 91  80 33562071",""
"Cell Care","+ 91  80 33090789",""
"New Jagat Associates","+ 91  80 41264119",""
"S M Mobile Care","+ 91  80 33057538",""
"Samsung Mobile Service Centre","+ 91  80 33566193",""
"Byraweshwara Enterprises","+ 91  80 33090030",""
"Symphony Mobiles","+ 91  80 33762640",""
"Mobile Shop","+ 91  80 41468889",""
"C P Communication","+ 91  80 33674331",""
"Navkar Telecom","+ 91  80 33518539",""
"Tech Zone","+ 91  80 33566333",""
"MIS Mobile Service Center","+ 91  80 33563654",""
"Servicemymobile.Com","+ 91  80 33531398",""
"Itouch Smartphones Restore","+ 91  80 30119026",""
"Sree Sai Mobile Service","+ 91  80 33051929",""
"Samsung Smart Cafe","+ 91  80 33100438",""
"Devendra Telecom","+ 91  80 33092303",""
"Seema Enterprises","+ 91  80 39828253",""
"Yello Box Enterprises","+ 91  80 23525233",""
"Venkateshwara Enterprises","+ 91  80 33722054",""
"Ipad Service Centre","+ 91  80 33566196",""
"Lakshmi Telecom","+ 91  80 33092854",""
"MAC Book Service Center","+ 91  80 33722197",""
"My Electronics Care","+ 91  80 33294905",""
"IPhone Service Centre","+ 91  80 33538795",""
"HTC Mobile Service Center","+ 91  80 41521119",""
"Sil Sila Mobile Service Centre","+ 91  80 33054708",""
"M H Communication","+ 91  80 33518913",""
"Bharat Access","+ 91  80 33618589",""
"Fast Link Mobile Care","+ 91  80 33618804",""
"Sunshine Solutions","+ 91  80 33722356",""
"Ss communication","+ 91  80 33530323",""
"Cauvery Mobiles","+ 91  80 33642719",""
"Vinayaka Telecom","+ 91  80 33568055",""
"Bigfix E Care","+ 91  80 33094674",""
"Bismillah Mobile Service","+ 91  80 33090680",""
"Sangeetha Mobiles Repairs A...","+ 91  80 33642443",""
"Gotango","+ 91  80 33640265",""
"Sri Basaveshwara Mobiles Se...","+ 91  80 33057471",""
"Smart Care","+ 91  80 33910186",""
"Mobile Seva","+ 91  80 33762851",""
"Wi Fi Mobiles","+ 91  80 33491799",""
"T S Mobile Sales And Service","+ 91  80 33535274",""
"Sri Manjunatha Mobile Clinic","+ 91  80 33056996",""
"Delta Care Centre","+ 91  80 33537560",""
"National Telecom","+ 91  80 33539504",""
"Techspot India","+ 91  80 33641149",""
"S N Times And Mobiles","+ 91  80 33792562",""
"Jain Electronics","+ 91  80 33051497",""
"Sri Sai Telecom","+ 91  80 33532927",""
"Sri Balaji Telecom","+ 91  80 33091105",""
"Nokia Priority Store","+ 91  80 33538487",""
"Big Fix E Care","+ 91  80 41000060",""
"Bigfix E-Care","+ 91  80 33641179",""
"Bangalore Smart Phone Servi...","+ 91  80 41103592",""
"Janavi Electronics","+ 91  80 33082689",""
"Mobile Point Sales And Serv...","+ 91  80 33530521",""
"Delight Telecom","+ 91  80 33052564",""
"Fono The Complete Mobile Store","+ 91  9986125888",""
"Sri Vinayaka Mobiles","+ 91  80 33535750",""
"Poojashree electricals &ele...","+ 91  80 30119038",""
"Bigfix E-Care","+ 91  80 33100861",""
"Totoodo","+ 91  80 33537292",""
"SRK Business Point","+ 91  80 33090917",""
"The Mobile Phone Care","+ 91  80 33051047",""
"Rightway Mobile Solution","+ 91  80 33762630",""
"Soma Telecom","+ 91  80 33642553",""
"Red Apple Technical","+ 91  80 33292200",""
"HTC Mobile Service Center","+ 91  80 33566276",""
"Sonyred","+ 91  80 33511544",""
"Samsung Digital Plaza","+ 91  80 33618424",""
"Pristine Electronics And So...","+ 91  80 33092402",""
"I Core Service Centre","+ 91  80 33532914",""
"Mobile Paradise","+ 91  80 33644566",""
"Sri Sai Cells","+ 91  80 39557263",""
"Sindhu Mobiles","+ 91  80 33518755",""
"City Selection","+ 91  9844164552",""
"Prakash Mobile And Laptop S...","+ 91  80 33640545",""
"Cell Mobiles","+ 91  80 41666529",""
"Sim City","+ 91  80 39626675",""
"i phone service center","+ 91  80 40958575",""
"Guru Communications","+ 91  80 33569997",""
"M Tech Service","+ 91  80 33511344",""
"Fix My Gadgets Techservices...","+ 91  80 33091341",""
"Ashwini Mobiles","+ 91  80 33054674",""
"Mob & Laptron","+ 91  80 33083066",""
"Sri Sai Cells","+ 91  80 33618906",""
"Smart One Communication","+ 91  9972758999",""
"Ambika Enterprises","+ 91  80 26710910",""
"Frank Tech Mobile Solutions","+ 91  80 33569469",""
"Excellent Cellular","+ 91  80 41705555",""
"I Do Smart Phone Service","+ 91  80 33518588",""
"MSC Mobile Service Centre","+ 91  80 33511679",""
"Mobile Service Point","+ 91  80 41121645",""
"S B Enterprises","+ 91  80 33530544",""
"Gizmo Tech","+ 91  80 33518092",""
"Funk My Gadget","+ 91  80 33532328",""
"Navadi Mobile Tech","+ 91  80 30832322",""
"IPhone Service Center","+ 91  80 33539159",""
"Shree Sai Mobile Care","+ 91  80 33561684",""
"Nokia Priority Store","+ 91  9480443636",""
"Mac Book Service Center","+ 91  80 33722199",""
"Iphone Service Center","+ 91  80 41474313",""
"Yash Raj Moblies","+ 91  80 33294385",""
"Anu Gallery","+ 91  80 33674582",""
"Samsung India Electronics (Cus...","180030008282",""
"Samsung Authorised Service Centre","+ 91  80 33792631",""
"Sri Varu Solutions","+ 91  80 23469090",""
"Samsung Authorised Service Centre","+ 91  80 43560903",""
"Asus Authorised Mobile Service...","+ 91  80 40979070",""
"Emag Solutions","+ 91  80 33054105",""
"Intouch Services","",""
"Samsung Care Point","+ 91  80 41211151",""
"Samsung Authorised Service Centre","+ 91  80 42033882",""
"POORVIKA MOBILE WORLD","+ 91  80 41690809",""
"Poorvika Mobile World","+ 91  80 41690808",""
"Gionee Care","+ 91  80 41649797",""
"Poorvika Mobile world and serv...","+ 91  80 41690807",""
"Poorvika Mobile World","+ 91  80 40926868",""
"Sangeetha Mobiles","+ 91  8867842554",""
"Samsung Mobile Service","",""
"Poorvika Mobile World","+ 91  8884728855",""
"Totoodo Mobile Htc Repair","+ 91  80 41523333",""
"Quick Connect","+ 91  80 41279242",""
"Sangeetha Mobiles Pvt Ltd","+ 91  80 41620742",""
"Sangeetha Mobiles Pvt Ltd","+ 91  80 41705550",""
"Maha Electronics Pvt Ltd","+ 91  80 26635832",""
"Poorvika Mobile World","+ 91  80 41251788",""
"Celkon Service Center","+ 91  9945778101",""
"Sangeetha Mobiles Pvt Ltd","+ 91  80 40963568",""
"Poorvika Mobile World","+ 91  80 41472728",""
"POORVIKA MOBILE WORLD","+ 91  80 41125855",""
"Sangeetha Mobiles Pvt Ltd","+ 91  80 41662005",""
"Sun Times","+ 91  9845035175",""
"Samsung Smart Phone Cafe","+ 91  80 42043676",""
"Poorvika Mobile World","18001035080",""
"Reliance digital express mini","+ 91  80 41037306",""
"Sangeetha Mobiles Pvt Ltd","+ 91  80 28607875",""
"Orbit Communications","+ 91  9845172453",""
"Sangeetha Mobiles Pvt Ltd","+ 91  80 41701042",""
"New Aishwarya Mobile Communica...","+ 91  8880258117",""
"Fine Fone Solution","+ 91  80 26536477",""
"Quick Connect","+ 91  80 26630272",""
"Celfixx solutions","+ 91  80 42114116",""
"Karbonn Care Sujane Times","+ 91  80 41558088",""
"General Telecom Service","+ 91  9972030330",""
"Reliance Digital Express Mini","+ 91  80 42054039",""
"New Mas","+ 91  80 41259995",""
"Univercell Telecommunications ...","+ 91  80 41999255",""
"A V Tele Solutions","+ 91  80 40952728",""
"Dapic Service Centre","+ 91  80 41226870",""
"Professional Telecom","+ 91  80 41134514",""
"Sangeetha Mobiles","+ 91  80 42025151",""
"Sangeetha Mobiles Pvt Ltd","+ 91  80 28451177",""
"POORVIKA MOBILE WORLD","+ 91  80 41690802",""
"Nokia priority mobile shop","+ 91  9845443879",""
"Totoodo Mobile Service Center","+ 91  80 41521119",""
"Sangeetha Mobiles Pvt.Ltd","+ 91  80 28485993",""
"Universal mobiles","+ 91  7411133367",""
"Nokia Mobiles Care","+ 91  8861553636",""
"Samsung Electronic Pvt Ltd","+ 91  9035353579",""
"Cell Communications","+ 91  80 40974117",""
"Get Connect","+ 91  80 41656131",""
"Samsung store T-square retail","+ 91  80 41538960",""
"Devendra Telecom","+ 91  80 41508026",""
"Shree Shyam Mobile Service","+ 91  9844814644",""
"Blu Mobiles","+ 91  9845066427",""
"Apple 2 mobile store","+ 91  7026125563",""
"Samsung Service Plaza","",""
"ToTooDo Mobile Service Center","+ 91  80 41521115",""
"Samsung Plaza","",""
"Mobile Seva","+ 91  9611784111",""
