"Name","Phone","Address"

"Sonu Jewellers","+ 91  183 2550856","Chk Darbar Sahib, Asr, Amritsar - 143001"
"Sai jewellers","+ 91  9988343819",""
"Hare Krishna Jewellers","+ 91  9878345016",""
"Dhani ram durga dass jewellary...","+ 91  183 2221641","15, Ground floor, Lawrence road, Amritsar - 143001, Nehru complex"
"Suraj Jewellers","+ 91  183 2571549","Majitha Road, Amritsar - 143001, Gopal Nagar"
"Ram Saran Dass Om Parkash Saraf","+ 91  183 2558817",""
"K S Kanda Jewellers","+ 91  183 2552041",""
"Prem Pal Jewellers","+ 91  183 2556642","582/4, Amritsar - 143001, Bazar Chure Wala"
"Shree Ganesh Chains & Jewellers","+ 91  9216430501",""
"Sudarshan LAL & Sons Jewellers","+ 91  183 3203131",""
"R.K. Jewellers","+ 91  183 2548995",""
"Pankaj Gems & Jewellers","+ 91  9915601453","Shop No 5, Darshan Market Guru Ka Mahal, Amritsar - 143001, Guru Bazar"
"Nischal Jewellers","+ 91  183 2542639",""
"Shre Arjuna Gold Price","+ 91  183 6538194",""
"Deepak Jewellers","+ 91  9914485392",""
"Anand Jewellers","+ 91  9876048817","Main Bazar, Amritsar - 143001, Near Shome Shah Di Hatti"
"Sharma Jewellers","+ 91  183 2549217","Shop Number- 1, Guru Bazar, Amritsar - 143006, Ruby Market, Near Jassmal SareeSaree"
"Hare Krishna Jewellers","+ 91  9878345016",""
"Silver Queen","+ 91  9872084334","Katra Karam Singh, Amritsar - 143006, Opp Bbk Dav College"
"Pardeep","+ 91  183 2535961","Shop No 310, Amritsar - 143001"
"Sardar Jewellers","+ 91  183 2424863","Bal Complex, Majitha Rd Asr, Amritsar - 143001"
"New Jagtar Jewellers","+ 91  9814046693","batala road, verka, Verka, Amritsar - 143501, opp. nanksar gurudwara"
"Rahul Jewellers","+ 91  183 2551226","Darshani Deori, Asr, Amritsar - 143002"
"Shree Manohar LAL Raj Kumar Je...","+ 91  183 2221182","Shop no 7, Lawrence road, Amritsar - 143001, Near pizza hut"
"Mohinder Singh Jewellers(Machi...","+ 91  183 2544178","Haveli Zamadar,, Guru Bazar, Amritsar - 143006, Chowk Battan Hattan,Near Charostti Attri Gurudwara"
"BHOLA JEWELLERS","+ 91  183 2432647","CHOURA BAZAR GALI, THATHIARAN WALI GALI, Jandiala Guru, Amritsar - 143115"
"Vijayshri Jewellers","+ 91  183 2571222","Gopal Nagar, Majitha Rd. Asr, Amritsar - 143001"
"Golden jewellers","+ 91  9216877992","Sh no 1 fairland colony, Fatehgarh churian road, Amritsar - 143001, Opp. Nirankari colony"
"Radhe Radhe Jewellers","+ 91  183 2423232","Fatehgarh Churian Road, Amritsar - 143001, Rattan Singh Chowk, Near Ranjeet Avenue"
"Verma Jewellers","+ 91  9872973552",""
"Agya Ram Jewellers","+ 91  183 2532681","Building No 1107/1108,1st Floor,Shop No 7,8, Main Road, Amritsar - 143001, Kathiyan"
"Daljeet Singh Fateh Jewellers","+ 91  9915605118","House Number 4985-4986, Sultanwind Road Bhagatsingh Pura, Sultanwind, Amritsar - 143006, Near SAI Baba Mandir Or Tea Circle Softy Chownk"
"Vaaman Jewellery House","+ 91  9888336006","24, Circular Road, Amritsar - 143002, New Garden Colony"
"Aman Jewellers","+ 91  183 6576333","Main Bazar, Majitha, Amritsar - 143601"
"Radha Swami Jewellers","+ 91  9915537140","Rajtaal Model, Attari Road, Nouhsiha Wala Road, Amritsar - 143001, Opp. Electricity House"
"Nam Dhari Jewellers","+ 91  9814826733","Shop Number-25, Gali Number-6 Sultanwind Road, Amritsar - 143002, Ajwain Market, Taniwala Chowk, Near Dashmesh Dairy"
"Soni Parkash Di Hatti","+ 91  9217698297","Amritsar - 143002, Devi Market, Near Patel Chowk"
"Vicky Jewellers","+ 91  183 2431297","Opp-Sant Complex, Darshani Bazar, Jandiala Guru, Amritsar - 143115"
"New India Jewellers","+ 91  183 2231580","4,, Kot Baba Deep Singh Ji, Amritsar - 143001"
"Manmohan Jewellers","+ 91  9872523058","g t road raiyaa, Amritsar - 143002, Near gurdwara, Main Bazar, Baba Bakala"
"Radhe Krishna Jewellers","+ 91  183 2425217","2-Gulmohar Avenue, Asr, Amritsar - 143001"
"Tarun Kumar Gold MA","+ 91  183 2292039","Shopno 14,3rd Floor,Shiv Shakti Bha, Patel Chowk, Attari, Amritsar - 143108, Nr Charasti"
"M.S. Jewellers","+ 91  183 2788110","shop no. jandayal road, Taran Taran Rd. Asr, Amritsar - 143001"
