"Name","Phone","Address"

"ShrinivasBalajiCharitebalTrust","+ 91  9972294477",""
"Jayas Man Power","+ 91  9381206605",""
"Business Infotech","+ 91  9589044555",""
"Tds Placements & Services P...","+ 91  172 5214647",""
"Best Achievers Job Point","+ 91  9988866196",""
"A-1 Job placement services","+ 91  9855767586",""
"THE PLACER AND PROVIDER","+ 91  9815508353",""
"Smart Job Placement Center","+ 91  9814139659",""
"Lakkho HR Consultants Pvt Ltd","+ 91  9755040645",""
"Hiringshop.Com","+ 91  9829069780",""
"ORISSA DOOT CONSULTANTS","+ 91  674 6557773",""
"Sks Consultancy","+ 91  471 3199100",""
"Asia Pacific","+ 91  484 4064431",""
"Crest technology","+ 91  8237185135",""
"gCO of Agriculture departme...","+ 91  7379021104",""
"Sky World Services","+ 91  9814296732",""
"D.V Consultancy","+ 91  712 6960267",""
"RK Job Placement","+ 91  7814789005",""
"E-Learning Pvt Ltd","+ 91  183 2420262",""
"RESIGN TODAY INC","+ 91  8591052860",""
"Sumit Job Placement","+ 91  9988158859",""
"Guru Amrit Job Point","+ 91  9876952990",""
"Sigma Consultant","+ 91  8566076500",""
"Achievers Consultancy","+ 91  183 5002004",""
"Jobs in Amritsar","+ 91  8591928952",""
"Professionals Job Consultancy","+ 91  8728871000",""
"R S Consultants","+ 91  183 5016230",""
"Mystic rose jobs and career","+ 91  9988501999",""
"NVS FUTURE POINT","+ 91  9780247802",""
"Shivansh Job Placement","+ 91  9872290606",""
"Lovely Placement","+ 91  8968443593",""
"Habile Outsource Business S...","+ 91  9780786544",""
"Om Job Point","+ 91  9779263648",""
