"Name","Phone","Address"

"Easy Day Express","+ 91  9815466509","Ranjit Avenue, AMRITSAR - 143001"
"dhir General store","+ 91  8427452625","shop no :4, Main bazar, Amritsar Bus Stand, Amritsar - 143001, Near Bus stand"
"Thapars store","+ 91  9888499773","Shop no 7, Lawrence road, Lawrence Road, Amritsar - 143001, Near dav public school"
"Easy Day Express","+ 91  8146564143","M k Towers, Ajnala Road, Amritsar - 143001"
"Easy Day Express","+ 91  9910339521","Plot No-2& 3, Majitha Road, Majitha, AMRITSAR - 143601"
"Bachat Bazaar","+ 91  183 6577657","Akash avenue,, fategarh churian chowk,, Amritsar - 143002, opp sbi bank,"
"Kamal Raj Karyna Store","+ 91  183 6548121","Amritsar Gpo, Amritsar, Court Road, Amritsar - 143001"
"Baldev Karyana Store","+ 91  183 2547391","Katra Jaimal Singh, Amritsar - 143006, Ram Bagh Chowk"
"Swami Stores","+ 91  183 2543906","near Katra Kanhian shop na 48, Chowk Amrit Cinema, Amritsar - 143001, amrit cinema"
"JAI SHANKAR PANSARI SHOP","+ 91  8146276304","main bazar, SHRIFPURA CHOWNK, Amritsar - 143002, NEAR MANDIR BANKE BIHARI"
"B K International","+ 91  183 3229091","Majitha Mandi, Amritsar - 143006, Near Goverdhar Dass Mandir"
"8am Anaaj Mandi Stores Pvt Ltd","+ 91  183 5098547","Scf -2, Guru Nanak DEV University, Amritsar - 143005, Kabir Park, Opposite Gndu"
"Bhatia general store","+ 91  8054977101","23, Amritsar - 143001, Batala road"
"Ashish general store","+ 91  9888140557","Shop no : 55, Amritsar - 143001, Maqbool road"
"Rai general store","+ 91  8054182580","Shop no : 55, Amritsar - 143001, Bus stand"
"Sharma general store","+ 91  9780375001","Shop ko :45, Amritsar - 143001, Hussainpura,bus stand"
"Hardip general store","+ 91  8872376185","Shop no :11, Amritsar - 143001, Shivala road"
"Gupta general store","+ 91  8968703544","Shop no :4, Amritsar - 143001, Bus stand"
"Sai general store","+ 91  8557876794","Shop no :66, Opp bus stand, Amritsar - 143001, Bus stand"
"Sanjit karyana store","+ 91  8146779482","Shop no :4, Near guru Nanak dairy, Amritsar - 143001, Tilak Nagar market"
"Sarah karyana store","+ 91  9872493710","Shop :4, Amritsar - 143001, Sharif pura"
"Harman general store","+ 91  8427277210","Shop no :5, Amritsar - 143001, Sarifpura"
"Aman karyana store","+ 91  9591912006","Shop no :44, Amritsar - 143001, Sarifpura"
"Mahajan general store","+ 91  9914950641","Main bazar, Amritsar - 143001, Sunder nagar"
"Abhi General store","+ 91  9653869493","Shop no :11, Amritsar - 143001, Sunder nagar"
"Monu general store","+ 91  9646744354","Amritsar - 143001, Rani bazar"
"Amarjeet karyana store","+ 91  8146974753","15, Amritsar - 143001, Lawrence road"
"Shergill General Store","+ 91  9855085996","Shop no : 15, Main bazar, Basant Avenue, Amritsar - 143001, Income tax office,Maqbool road"
"Ram Lubhaya Subhash Chander","+ 91  183 5099672","Pink Plaza, Amritsar - 143001, Katra Kanhaiyan Amrit Cinema, Near Chamde Wala Bazar"
"A.k Karyana Store","+ 91  9779536043","main Mazar, Mcleod Road, Amritsar - 143001, OPPOSITE Gaming Zone"
"guru kirpa departmental store","+ 91  9592145025","shop no1-a, brahm nagar, Lawrence Road, Amritsar - 143001, opp nehru shopping complex"
"Pritam Store","+ 91  9988633737","shop no : 12, braham nagar, Amritsar - 143001, near nehru shopping complex"
"Kapoor Store","+ 91  9872280740","Shop Number-37 A, Katra Sher Singh, Amritsar - 143006, Near Shubhas Park"
"Rajan karyana store","+ 91  9781255465","Shop no :11, Green Avenue, Amritsar - 143001, Green avenue market"
"Sharma general store","+ 91  9815073780","Shop no :3, Green Avenue, Amritsar - 143001, Main market"
"Arora General Store","+ 91  9872066725","77/a rani ka bagh, fci lane, Amritsar - 143001"
"Baljeet karyana store","+ 91  8146722804","Shop no :1, Amritsar Bus Stand, Amritsar - 143001, Rani bazar"
"Manav general store","+ 91  9034287546","Shop no :12, Amritsar Bus Stand, Amritsar - 143001, Rani bazar"
"Dogra Kohlu Garh","+ 91  183 2531866","Main Bazar Bazar, Amritsar, Amritsar Road, Amritsar - 143001"
"Gobind utility store","+ 91  8427366259","green avenue, Amritsar - 143001, OPP main market"
"Sunny Kirana Stores","+ 91  183 2556945","Pultighar, Amritsar, G T Road, Amritsar - 143001"
"AHUJA STORE","+ 91  183 2503992","12 B, Green Avenue market, Green Avenue, Amritsar - 143001, Near sakhi house"
"Raj Kumar Kirana Store","+ 91  9876269231","Amritsar, Punjab, Hathi Gate, Amritsar - 143001"
"Chaman di hatti","+ 91  9988177084","134, Joshi colony market, Joshi Nagar, Amritsar - 143001, Opp company bagh"
"Rahul general store","+ 91  8054865969","11, Joshi Nagar, Amritsar - 143001, Joshi colony market"
"Nanha General store","+ 91  9855668877","125, Lawrence Road, Amritsar - 143001, Joshi colony market"
"Guru Nanak general store","+ 91  9501912000","Shop no :56, Shivala Colony, Amritsar - 143001, Main road"
"Vandana departmental store","+ 91  8284892989","39, Anand Avenue, Amritsar - 143001, Near Luda office"
"Ravi General Store","+ 91  9592069044","Gali No.2,Hari Pura, Islamabad Nagar, Amritsar - 143001, Nr. State Bank Of India"
"Arora general store","+ 91  9517036089","1, Amritsar - 143001, Tilak nagar"
"Sonu karyana store","+ 91  9988654681","Shop no : 44, Shivala Colony, Amritsar - 143001, Tilak nagar"
"Mahajan karyana stire","+ 91  9781288513","Shop no :42, Amritsar - 143001, Sunder nagar"
"Arora bakery","+ 91  8427490126","34, Tilak Nagar, Amritsar - 143001, Shivala road"
"Raju karyana store","+ 91  9914850921","56, Tilak Nagar, Amritsar - 143001, Main road"
"Mahajan karyana store","+ 91  8196060834","3, Shiwala road, Amritsar - 143001, Tilak Nagar"
"Rama Stores","+ 91  183 2548545","Guru Bazar, Amritsar - 143006, Bazar Sabunian, Near Shastri Market"
"The Rashan Pani Store","+ 91  9803063006","Shop no GF-24, RANJEET AVENUE, Ranjeet Avenue Block A, Amritsar - 143001, Near Parvati Devi Hospital"
"Chawla General Store","+ 91  9316124556","Shop no 17, A block market ranjit avenue, Amritsar - 143001, Near Parvati Devi hospital"
"Aggarwal Karyana Store","+ 91  183 2554575","Lawrence Road, Lawrence Road, Amritsar - 143001, Jallianwala Bagh"
"Deepak Trading Co.","+ 91  183 2542503","Bazar Hansli, Near P N B Bank Dali Bazar, Sadar Bazar, Amritsar - 143001"
"Dugal Super Store","+ 91  183 2540323","Shop No 4, New I D H Market, Near Bus Stand Lawrence Road, Lawrence Road, Amritsar - 143001"
"Hariqbal Singh","+ 91  183 2591656","Amritsar - 143001, Kamboo, Heir Dali Bazar"
"Sakhuja General Store","+ 91  183 2563978","170, Opposite Suraj Chanda Cinema Dali Bazar, Sadar Bazar, Amritsar - 143001"
"Shahs Food & Beverages","+ 91  183 2223238","#17/1 Kennedy Avenue G.t. Road, Sadar Bazar, Amritsar - 143001"
"Easy Day Express","+ 91  9557398383","Khata No .-309, Gt Road, AMRITSAR - 143001"
"Amritsar Store","+ 91  183 5098325","AMRITSAR - 143001"
"chiman lal sons","+ 91  183 2543827","shop no. 1, majith mandi, Amritsar - 143001, bagh jhanda singh"
"Chhabra General Store","+ 91  183 2530012","Katra Jaimal Singh, Amritsar - 143001, Ram Bagh Chowk, Opposite Police Station"
"Sai departmental store","+ 91  7837336120","22, Anand avenue, Amritsar - 143001, Near Manav public school"
"Rohit karyana store","+ 91  8054221365","Shop no : 5, Goal masit, Amritsar - 143001, Sarifpura"
"Arora karyana store","+ 91  9915967578","Shop no :10, Tehsilpura, Amritsar - 143001, Bus stand"
"Rinku general store","+ 91  9876855376","Shop no :11, Goal masit, Amritsar Bus Stand, Amritsar - 143001, Sharifpura"
"STOP N SHOP","+ 91  9779234527","S C G , D- 20, D block ranjit avenue, Ranjit Avenue, Amritsar - 143001, Near Danik bhaskar office"
"Harman general store","+ 91  8568834567","Near Parshuram mandir, Amritsar - 143001, Shivala road"
"Sahil karyana store","+ 91  9780183708","Near goal masit gurudwara, Amritsar Bus Stand, Amritsar - 143001, Sarifpura"
"MAHAJAN STORE","+ 91  9781161642","Shop no 12, Race Corse Road, Basant Avenue, Amritsar - 143001, Basant Park"
"Nand LAL Baldev Raj In Katra J...","+ 91  183 2542607","Jallianwala Bagh,Katra Jaimal Singh, Amritsar - 143002"
"Gurdip Karyana Store","+ 91  183 2291247","Amritsar - 143002, Near Golden Temple, Bazar Lakshmansar"
"Parveen Kumar and Naresh Kumar...","+ 91  183 2526257","Amritsar - 143001, Near Golden Temple"
"Ragi Bros","+ 91  183 2212621","557/3 Gawshala Marg, Gandhi Bazar, Amritsar - 143006"
"Rajesh Kiryana Store","+ 91  183 2559106","Ram Bagh Chowk Katra Jaimal Singh, Gandhi Bazar, Amritsar - 143006"
"Bhalla Operating","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Shiv Shakti Agency","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Satish Kumar Aggarwal","+ 91  183 2555832","Shop Number- 328, Gandhi Bazar, Amritsar - 143006, Katra Kanyia, Bazar Chamre Wala, Near Telephone Exachange"
"Guru Nanak Store","+ 91  183 5060510","9-B, Basant avenue, Amritsar - 143001, Basant Avenue Market"
"Raghav retail centre","+ 91  7508726549","Tehsilpura road, Amritsar - 143001, OPP Mahajan hall"
"Yogesh Grocery Store","+ 91  183 2224667","New Market, Putligarh, Amritsar, G T Road, Putligarh, Amritsar - 143002"
"Rai karyana store","+ 91  8528635828","2 , Tilak nagar, Amritsar - 143001, Shivala mandir"
"Anil Krisna store","+ 91  9256957132","1, Amritsar - 143001, Kashmir avenue"
"Eat well general store","+ 91  8284838740","1, Amritsar - 143001, Near celebration mall"
