"Name","Phone","Address"

"Education Planet","+ 91  9779151713","9, Ramsar Rd, Amritsar - 143001, Above Style Wear, Amritsar"
"Education Visa Consultants","+ 91  183 5067592","Amritsar - 143001, Thana Sadar"
"Toris An Education Hub","+ 91  183 2228082","Opp. Uppal Hospital,, Rani Ka Bagh, Amritsar - 143001, Main Road, Near State Bank Of India,"
"Scholar Destiny Education S...","+ 91  183 6555503","108 Second Floor, Ranjit Avenue, Amritsar - 143001, Near Passport Office"
"Vibgyor Education, The Engl...","+ 91  183 2562922","R.B.K.C. Tower, Opp. St. Francis School, Amritsar - 143001, Mcleod Road, Rani Ka Bagh"
"Cherish Education Centre","+ 91  9814827794","69 First Floor Ratan Market, Maqbool Road Main Ratan Singh Chowk, Amritsar - 143001"
"PLANET TRAVELS","+ 91  183 5066155","Sco 23 Panther Shopping Complex, Amritsar Cantt, Amritsar - 143001"
"Native English Planet","+ 91  183 5093123","Sector 27 Third Floor, Distt Shopping Complex, Amritsar - 143002"
"Idp Education India Pvt Ltd","+ 91  183 2063041","SCO 28, 1st Floor, Taneja Towers, Ranjeet Avenue Block B, Amritsar - 143001, DSC, Near Amritsar Bus Stand"
"Khalsa College Of Education","+ 91  183 2258283","Amritsar - 143002"
"Dav College Of Education","+ 91  183 2559648","Amritsar - 143001, Beri Gate"
"Mohan LAL Memorial Institute O...","+ 91  183 5095636","Batala Rd, Amritsar - 143001, Vill Mudhal"
"Vmm Education","+ 91  183 2222923","3, 991487487, Amritsar - 143001"
"Anand College Of Education For...","+ 91  183 2744301","Batala Road, Amritsar - 143001"
"Medway Education Consultant PV...","+ 91  183 5051900","47, Tilak Nagar, Amritsar - 143001, Near Shivala Mandir"
"Charms Education & Immigration...","+ 91  183 5095585","Sco 26, First Floor, District Shopping Centre, Amritsar - 143001, Ranjit Avenue, Block B"
"Green Planets","+ 91  183 5056833","1, Doctor Complex, 1st and 2nd Floor, Next to Bank Of India, Amritsar - 143002, opposite ENT Hospital, Majitha Road"
"IIJT Education Pvt Ltd","+ 91  183 2211188","Sco-21, Hemkunt Tower, District Shopping Complex, Ranjit Avenue, Amritsar - 143001"
"ICI Computer Education In","+ 91  183 2450433","G.t. Road, Amritsar - 143001"
"Universal Education Consultants","+ 91  183 2700681","24 Jawahar Ngr, Amritsar - 143001, Nr Industry Office"
"Victoria Immigration & Education","+ 91  183 5098112","Scf-35, Amritsar - 143001, Kabir Park,Opposite Guru Nanak DEV University"
"Planet fashion","+ 91  9876885640","Shop no 3 G.F, G.t road, Amritsar - 143001, Alpha one mall"
"Sri Guru Teg Bahadur College O...","+ 91  9888754601","Khankot, Amritsar - 143501"
