"Name","Phone","Address"

"Taxi Car Hire In Amritsar","+ 91  9915609085","Opp Railway Road, Amritsar - 143002, Railway Station, Goal Bagh"
"taxi service amritsar","+ 91  9855028504","Opp. Khalsa Public School, GT Road, Near. Khalsa College Amritsar, Punjab, Putligarh, Amritsar - 143002"
"Taxi Service Amritsar","+ 91  183 7889892","Amritsar - 143001"
"Taxi Service Amritsar","+ 91  9855028504","Aman Motors, Khalsa College, Amritsar - 143001, Opposite Khalsa Senior Secondary School"
"Book Cab In Amritsar","+ 91  183 5007187","Opp Railway Station Amritsar Opp Canal Office Albert Road Amritsar, Amritsar - 143001"
"Makhan Fish - Non Veg Restaura...","+ 91  9988275261","662, Old Jail Road, Basant Avenue, Amritsar - 143001, Trillium Mall"
"astrologer in amritsar","+ 91  9876263101","Amritsar - 143001"
"Jobs in Amritsar","+ 91  8591928952","Rani Ka Bagh, Amritsar - 143001, Hp Petrol pump"
"forever livining prouduct in a...","+ 91  9888171301","goal maszid sharifpura sho 22, Amritsar - 143001"
"Mid Brain Activation in Amritsar","+ 91  9465637520","house no:d-288, Ranjit Avenue, Amritsar - 143001, near bus parking"
"Computer repair in amritsar","+ 91  9464230007","shop no:62, main, Shakti Nagar, Amritsar - 143006, opp obc bank"
"Ramada Amritsar","+ 91  183 5025555","Golden Temple, Amritsar - 143006, Ramada Hall Bazar"
"NIIT Amritsar Mall Road Centre","+ 91  183 2562301","Second Floor 38 The Mall, Amritsar - 143001"
"Car Mahal","+ 91  9855629231","9, Queens Road, Amritsar - 143001, Opposite Country Inn"
"Bhai Chanda Singh Taxi Serv...","+ 91  9872204494","Shop Number 115, Chowk Malkabut, Golden Temple, Amritsar - 143006, Opposite Dharma Singh Market"
"Amritsar Dental Clinic","+ 91  9815036035","53 - A, New Kangra Colony, Amritsar - 143001, Opposite Lord Krishna School"
"Amritsar Enviro Care System...","+ 91  9653470000","Pasricha Medicare Centre, Main Road, Haripura, Amritsar - 143006, Adjoining Gurudwara & Near Jwala Flour Mill Post Office"
"Shree Amritsar Sword","+ 91  9779710797","149, baba deep singh ji colony, Amritsar - 143001, inside chahtiiwind gate"
"Star Car Wash","+ 91  183 3191919","1 B, Prabhat Avenue Fategarh Churian Road, Amritsar - 143001, Nea New Adjoining Road Fgc To Majitha Road"
"Amritsar Property Linkers","+ 91  9417292777","Sco Number 105 District Shopping Complex Ranjeet Avenue, Main Road, Amritsar - 143002, Near Passport Office Ran Avenue Above Lg Showroom"
"Harkirpa Car Care","+ 91  9988102363","shop number 102 A B, opp. GNDU, Kabir Park Market, Amritsar - 143001"
"Amritsar Sanitary And Hardw...","+ 91  9988877782","Guru Nanak Colony, Sultanwind Road, Amritsar - 143001, Near Gobind Nagar Gate Opposite Allahabad Bank"
"G M Motors & Car Bazar","+ 91  9915610256","G T Road Adda Thothian, Amritsar Jalandhar Highway, Khilchian, Amritsar - 143111"
"Hyatt Hotel","+ 91  183 2871234","Main G T Road, Amritsar - 143001, Adjoining Alpha One City Centre Mall , Mbm Farms"
"Sri Guru Ram Dass Jee Internat...","+ 91  183 2214353","Ajnala Road, Amritsar - 143001"
"Peddlers Amritsar","+ 91  183 5002224","Sco. 36,, Dist Shoping Complex, Amritsar - 143001"
"The Fern Residency Amritsar","+ 91  183 5151222","33, The Mall, Sona Chandi Tower, Mall Road, Amritsar - 143001, Near Income Tax Chowk"
"Amritsar Club","+ 91  183 2222082","Mall Road, Amritsar - 143001, Company Bagh"
"Amritsar Transport Co","+ 91  183 2551533","Street Number- 2, G T Road, Amritsar - 143001, Pulighar"
"Municipal Corporation Amritsar","+ 91  183 2545155","Town Hall, Amritsar - 143002"
"Corporation Bank Amritsar","+ 91  183 2228521","8,Ground Floor, Lawrence Road, Amritsar - 143001"
