"Name","Phone","Address"

"Gift N Greet","+ 91  80 33642413",""
"Star Gardens","+ 91  80 33537090",""
"Fresh Knots","+ 91  9986738257",""
"Sri Rajarajeshwari Devashta...","+ 91  80 33538337",""
"Ferns N Petals","+ 91  80 40997455",""
"Blooms Villa","+ 91  9108417748",""
"Krishna Flowerest","+ 91  80 33530907",""
"Surya Florist","+ 91  80 33080225",""
"Nikhils Flower Co","+ 91  80 33674280",""
"Prakash","+ 91  80 33542487",""
"Bangalore Florist","+ 91  9845350366",""
"Mallipoo","+ 91  80 33763068",""
"S Blossoms","+ 91  80 33030127",""
"Say It With Flowers","+ 91  80 33050921",""
"Sai Flower Decorators","+ 91  80 33530255",""
"V K Flora Growers And Suppl...","+ 91  80 42194368",""
"Le Fleur Enterprise","+ 91  80 33643188",""
"Flower Point","+ 91  80 33644050",""
"Floral Fantasy","+ 91  80 33566254",""
"New Flower Bunches","+ 91  80 33511075",""
"Shree Maruthi Flowers","+ 91  80 33762172",""
"Ferns N Petals","+ 91  80 42060642",""
"Anjali Flowers","+ 91  80 23307874",""
"Meghaa Flower Box","+ 91  80 41120988",""
"Ferns N Petals","+ 91  80 33085583",""
"Ferns N Petals","+ 91  80 41655055",""
"Rachi Creative","+ 91  80 26630154",""
"Royal Orchid","+ 91  9886061003",""
"Floral Craft","+ 91  9972887766",""
"Flower Pot Fresh Flowers","+ 91  9900288441",""
"Abhi Flowers","+ 91  80 26715137",""
"Reddy Flowers","+ 91  80 65632783",""
"Om Sri Sai Flowers","+ 91  80 22292701",""
"Evergreen Florists","+ 91  9845027372",""
"Eden Florist","+ 91  9008795898",""
"Flower Depot","+ 91  80 25732996",""
"Fernsnpetals","+ 91  80 26718686",""
"Flower Paradise","+ 91  9886607412",""
"City Flowers","+ 91  9341216115",""
"S S Florist And Helmet","+ 91  80 69999664",""
"Omkar Gifts And Flowers","+ 91  80 25529909",""
"Classic Flowers","+ 91  9590362718",""
"Winni.In","+ 91  7829463510",""
"Chandan Flower Decoration","+ 91  9916884619",""
"Eden Florist","+ 91  9008795898",""
"Soma Flowers shop","+ 91  9731582695",""
"Lovely Florist","+ 91  9242197225",""
"Emotions And Flowers","+ 91  9886452672",""
"Shalimar Flower Shop","+ 91  8050229404",""
"Fancy Flower Stall","+ 91  80 22861220",""
"Vacation Park Tours & Travels","+ 91  8861532334",""
"Shilpa Florist","+ 91  9743886880",""
"Nisarga Flowers","+ 91  80 41672086",""
"Safa Flowers","+ 91  9742057116",""
"Petals & Posies","+ 91  8197905391",""
"Petal Talks","+ 91  9880764643",""
"Sri Florist","+ 91  9972208966",""
"Petals And Posies","+ 91  9036120539",""
"Shakshi World","+ 91  9741129814",""
"Namitha Suresh","+ 91  9845176531",""
"Ever Exotic","+ 91  80 41426429",""
"Shree Devi Flowers","+ 91  80 22110061",""
"SHAMA FLOWERS","+ 91  9900309384",""
"Bangalore Rose Land","+ 91  9844475542",""
"Fresh Fruit And Florists","+ 91  9986458205",""
"Floral Crafts","+ 91  9972887766",""
"Angel Florist","+ 91  9901950671",""
"Floral Deco","+ 91  9986391969",""
"Bharat Trading House","+ 91  9964209192",""
"Ruchitha Events And Weddings P...","+ 91  9740835695",""
"Blue Moon Flora","+ 91  9035557629",""
"Sai Flower","+ 91  9902057797",""
"Poornima flowers","+ 91  9880456693",""
"SAI FLORIST","+ 91  9741269557",""
"V R Flower","+ 91  9035296602",""
"Florasta","+ 91  8088879465",""
"S.R.S Fruits & Flowers","+ 91  9741412916",""
"Flower Fantasy","+ 91  9739727621",""
"Sumith Florist","+ 91  9036207920",""
