"Name","Phone","Address"

"Miterpal Poultry Farm","+ 91  183 2590850",""
"Organic Food Pvt Ltd","+ 91  183 2210000",""
"randhwa farms","+ 91  9815786011","next to toll plazza ,,warmyam,nangal, NH 54, Amritsar - 143002"
"Anand Agriculture Implements","+ 91  183 2230727",""
"S.D.M.Ajnala .,,","+ 91  1858 221054",""
"Ajnala Co Operativera","+ 91  9814805776","15, Near Ganesh Mandir, Amritsar - 143002, Main Road"
"Jolly Poultry Farm","+ 91  183 2781843",""
"State Bank Of India Ajnala","+ 91  1858 220278",""
"National Bank For Agriculture ...","+ 91  183 2656068",""
"Ajnala Krishi Sewa Kendra","+ 91  8437029064","40, Infront Of Electric Office, Amritsar - 143002, Main Road"
"Mahajan Agriculture Store","+ 91  183 2557832",""
"Chogwan Multipurpose Cooperati...","+ 91  9815959762",""
"Sunny Dog Farm","+ 91  7837575080",""
"Majha Farm","+ 91  9815536560","10th Milestone, Fatehgarh Churiyan Road, Amritsar - 143002, Adda Diyal Bharang, Ajnala"
"Chemilink Fine Organics","+ 91  9814051256",""
"Royal Farm","+ 91  9814132743",""
"Markfed Ajnala","+ 91  9781310021","Amritsar - 143002"
"The Organic Planet","+ 91  183 5044405",""
"Kissan Agriculture","+ 91  9815128733",""
"Vicky Bralor Farm","+ 91  9781114134",""
"Vedanta Organics","+ 91  183 5066997","74 inner circular dari gate, Amritsar - 143002, Near Pal Pathology Lab, Inside Beri Gate"
"Sumit poultry farm","+ 91  9855439697",""
"M. H. Rice & Agriculture Ind.","+ 91  9814132146",""
"S S Agriculture Store","+ 91  9478357733",""
"Arora farms","+ 91  9915880333","Open land, G.T Road, Amritsar - 143002, Bhagat Ford"
"Satinder Agriculture Repair Ce...","+ 91  9876369505",""
"Gurmeet Singh Polatri Farm","+ 91  9781511700",""
"Thind Seed Farm","+ 91  9815584349",""
"Organic City","+ 91  9915610376","Sf-27, Amritsari Bazaar, Alpha One Mall, G.T Road, Amritsar - 143001, Amritsar"
"Bhandari Poultry Farm","+ 91  183 2586014",""
"Ajnala Trading Co","+ 91  183 2534445",""
"Kuljas Rai Poultry Farm","+ 91  183 2540074",""
"Jaycee Agriculture Corpo.","+ 91  9876025119","Railway Road, Amritsar - 143002"
"Manjha Farm","+ 91  9815617430",""
"ABR Organics Limited","+ 91  183 65575981",""
"Kauls Reliable Seed Farm","+ 91  183 2224734",""
"J.s agriculture repairing works","+ 91  9646513129","Chheharta road, Chheharta, Amritsar - 143105, Opp the Royal gym"
"Evergreen Poultry Farm","+ 91  9876293735",""
"Guru Ram DAS Agriculture Servi...","+ 91  9217910468",""
"Hundal Seed Farm","+ 91  8427255533",""
"Chhina Agriculture Centre","+ 91  9803164364","Raja Sansi, Amritsar - 143101"
"Shahi Farm","+ 91  9501270022",""
"Sanjay Dairy Farm","+ 91  9463965643",""
"Dog Farm House","+ 91  9914211033","airpot road, Dwaraka Nagar, Amritsar - 143001, near"
"Kissan Agriculture Store","+ 91  9815128739","Majitha, Amritsar - 143601"
"Padhari Farm","+ 91  9872136755",""
"Dy.Director Horticulture","+ 91  183 2502476",""
"Lovely farms","+ 91  9464922303","Shop no 2, Haripura road, Amritsar - 143002, Near naiwalan mod"
"New Sant Agriculture Implements","+ 91  9815064549","sco 23, Varowal Road, Jandiala Guru, Amritsar - 143115, jundala guru,"
"Venus Pet Farm","+ 91  9855222261",""
"Ajnala","+ 91  1858 2821009",""
"National Horticulture Board","+ 91  183 2500236","C/O Directorate of Horticulture, Room No 13, 2nd Floor, Ranjit Avenue, Amritsar - 143001, Kheti Bhawan"
"Rajinders Organic","+ 91  9815008544","G T Road,maanavala,opp. state bonk of patiala,nera dps school, Jandiala Guru, Amritsar - 143115"
"Ajnala Musical Group","+ 91  1858 2233861",""
"Arora Farms","+ 91  183 3102625",""
"Khalas organic hut","+ 91  9780656464","Shop no 9, A block market ranjit avenue, Amritsar - 143001, Near Parvati Devi hospital"
"Tata And Sarmansan Agriculture...","+ 91  9888012138","Jandiala Guru, Amritsar - 143115"
"Bhandari Paultry Farm","+ 91  183 2586015",""
"Randhawa Mushroom Farm","+ 91  9855300093",""
"National Poltary Farm","+ 91  9815223651","Opp HDFC Bank, Main Road, Amritsar - 143001, Talwandi Chudrian"
"Batth Organic Agriculture & Ho...","+ 91  9463730244","Vill. Mehlanwala, Near Kukran Wala, Ajnala, Amritsar - 143102"
"Sandha Poultry Farm","+ 91  183 2566777",""
"Qudrat Organics & Naturals","+ 91  183 5070644",""
"M J Mechanical & Agriculture C...","+ 91  183 2491169","32, Amritsar - 143001, Baba Deep Singh Market"
"Maharaja Farm","+ 91  9216549399","Amritsar - 143001, Verka Majitha Byepass,"
"Dewan Farms","+ 91  183 6540844",""
"Indo Farm Equipment Limited","+ 91  9592818928",""
"amrik agriculture store","+ 91  9811368022","Amritsar - 143001"
"Grewal Farms","+ 91  183 2422654","Majitha Road, Bye Pass,"
"ORGANIC STORE","+ 91  8146072984",""
"Chopra Poultry Farm","+ 91  9872927665",""
"Kanwar Farms","+ 91  9814374930","G T Road, Amritsar - 143001, Opp I T B P"
"Gill Farms Private Limited","+ 91  9463535080","Plot No. 187, Attari Road, Cheharta, Amritsar- 143 001, Amritsar - 143001"
"BHULLAR DAIRY FARM","+ 91  9646945376","guenanakpura, Amritsar - 143001, near navi sadak"
