"Name","Phone","Address"

"Sri Ganesh Diamonds And Jew...","+ 91  80 39628754",""
"Prakash Jewellers","+ 91  80 23328560",""
"Davanam Jewellers Pvt Ltd","+ 91  80 41418181",""
"Swarna Jewellers Pvt Ltd","+ 91  9964300720",""
"Sri Manjunatha Jewellers","+ 91  80 33056403",""
"Prem Jewellers","+ 91  80 33052562",""
"Sri Ganesh Diamonds And Jew...","+ 91  80 33569079",""
"Mahalakshmi Jewellers","+ 91  80 39559846",""
"Padmavathi Jewellers","+ 91  80 39559358",""
"Kanika Jewels","+ 91  80 41159342",""
"Modern Jewellers","+ 91  80 33722269",""
"Raghavendra Jewellers Works","+ 91  80 33092340",""
"Sree Rama Jewels","+ 91  80 33080819",""
"Nakoda Payal","+ 91  80 33561295",""
"Avr Swarna Mahal","+ 91  80 26547007",""
"Triveni Silver Palace","+ 91  80 26547676",""
"Makam Jewellers","+ 91  80 30832530",""
"Sudarshan Jewellers","+ 91  80 22913443",""
"Anand Jewels","+ 91  80 30145044",""
"Jmb Jewels","+ 91  80 39557250",""
"Sri Vishnu Assaying And Hal...","+ 91  80 39827381",""
"Geetha Jewells","+ 91  80 33056977",""
"SR Jewellers","+ 91  80 33055413",""
"C Krishniah Chetty Jewellers","+ 91  80 33563276",""
"Khariwal Jewellers","+ 91  80 39557581",""
"Mangilal Jewellers","+ 91  80 30924421",""
"Sri Devagiri Jewellery Works","+ 91  80 33641520",""
"Tanishq","+ 91  80 33092167",""
"Shri Balaji Jewellers","+ 91  80 33294887",""
"Sri Sai Ram Jewellery Works","+ 91  80 33640270",""
"Shree Menghraj And Brothers","+ 91  80 22229840",""
"SUMAN JEWELLERS & BANKERS","+ 91  80 30145203",""
"Shubh Jewellers","+ 91  80 25226566",""
"Marudhar Jewels","+ 91  80 33762198",""
"Vijayalakshmi Jewel Palace","+ 91  80 33090707",""
"Rajarathnams Jewels","+ 91  80 39557519",""
"Swaran Sankalp Jewels","+ 91  80 42005287",""
"Madhur Jewellers","+ 91  80 39628516",""
"Kannika Bangles","+ 91  80 33674876",""
"Tayi Jewellers","+ 91  80 33056412",""
"Prem Jewellers","+ 91  80 33080682",""
"Aabushan Jewellers","+ 91  80 30805726",""
"Daulath Krishna Jewellers S...","+ 91  80 33761001",""
"Sri Dhanalakshmi Jewellers","+ 91  80 33673024",""
"Savitha Jewels","+ 91  80 23218630",""
"Shiva Jewellers","+ 91  80 33083601",""
"Navarathna Jewellery Works","+ 91  80 33532972",""
"G S Jewellery","+ 91  80 33762159",""
"Suman Jewellery","+ 91  80 33568627",""
"Raj Jewels","+ 91  80 41264538",""
"Raj Silver","+ 91  80 33538374",""
"Lalithaa Jewellery Mart Pvt Ltd","+ 91  80 23561188",""
"Kalyan Jewellers","+ 91  80 26647733",""
"Shree Sai Gold Palace","+ 91  80 43533533",""
"GRT Jewellers","+ 91  80 26651515",""
"Malabar Gold & Diamonds","+ 91  80 41283916",""
"Kalyan Jewellers","+ 91  80 25550533",""
"Joyalukkas India Pvt Ltd","+ 91  80 25589916",""
"GRT Jewellers","+ 91  80 22921515",""
"Joyalukkas India Pvt Ltd","+ 91  80 26634448",""
"Bhima Jewellers","+ 91  80 25587711",""
"Malabar Gold & Diamonds","+ 91  80 49227916",""
"Malabar Gold and Diamonds","+ 91  80 41526916",""
"Bhima Jewellers","+ 91  80 41301761",""
"Tanishq Showroom","+ 91  80 25550907",""
"Joyalukkas India Pvt Ltd","+ 91  80 23466916",""
"Bhima Jewellers","+ 91  80 23527711",""
"Lakshmi Golds Palace","+ 91  80 23560129",""
"Kalyan Jewellers","+ 91  80 25636833",""
"R R Gold Palace","+ 91  80 41137751",""
"Shoppers Stop","18002096648",""
"Khazana Jewellery Pvt Ltd","+ 91  80 41230114",""
"Tanishq Showroom","+ 91  80 65606561",""
"Bhima Jewellers","+ 91  80 25537762",""
"Tanishq Jewellers","+ 91  80 42067160",""
"GRT Jewellers","+ 91  80 25401515",""
"C Krishniah Chetty And Sons","+ 91  80 30145445",""
"Shoppers Stop","+ 91  80 43627636",""
"Jaipur Gems N Jewels","+ 91  80 22449329",""
"Shoppers Stop","+ 91  80 43400400",""
"Khazana Jewellery Pvt Ltd","+ 91  80 41539900",""
"Malabar Gold & Diamonds","+ 91  80 45522916",""
"Bhima Jewellers","+ 91  80 25447711",""
"Lifestyle International Pvt Ltd","+ 91  80 22658934",""
"Navrathan Jewellers Pvt Ltd","+ 91  80 40913168",""
"Sri Krishna Diamonds & Jewellery","+ 91  80 40301111",""
"Shoppers Stop","+ 91  80 40485500",""
"R R Gold Palace","+ 91  80 41527752",""
"Jos Alukkas","+ 91  80 32996916",""
"Shubh Jewellers","+ 91  80 42426666",""
"Tanishq","+ 91  80 43078900",""
"Neelkanth Jewellers","+ 91  80 22278846",""
"Prince Jewellery","+ 91  80 42649999",""
"Ganjam Nagappa & Son Pvt Ltd","+ 91  80 22261233",""
"Kalyan Jewellers","",""
"Sulthan Diamonds And Gold","+ 91  80 25599916",""
"Westside Store","+ 91  80 22067930",""
"Jos Alukkas","+ 91  80 41539801",""
"C Krishniah Chetty And Sons","+ 91  80 30145443",""
"Muliya Jewellery Designer Bout...","+ 91  80 25593916",""
"Josco Jewellers","+ 91  80 41666842",""
"Reliance Jewels","+ 91  80 41681801",""
"Tanishq Showroom","+ 91  80 67266400",""
"Lalitha Jewellers","+ 91  80 25427799",""
"Prathibha Jewellery House","+ 91  80 41145500",""
"Shubh Jewellers","+ 91  80 41307463",""
"Khazana Jewellery Pvt Ltd","+ 91  80 25400009",""
"Shubh Jewellers","+ 91  80 23503108",""
"Sulthan Diamonds and Gold","+ 91  80 26534916",""
"Tanishq Showroom","+ 91  80 45612222",""
"Navarathna Jewellers","+ 91  80 25584346",""
"Shubh Jewellers","+ 91  80 22266735",""
"Malabar Gold & Diamonds","+ 91  80 30163916",""
"Tanishq Showroom","+ 91  80 26691687",""
"Riti Jewellery","+ 91  80 32559411",""
"Chettupuzha Alice Jewellery","+ 91  80 25591378",""
"Kalyan Jewellers","+ 91  80 23573833",""
"Louis Vuitton","+ 91  80 42460000",""
"Navrathan Jewellers Pvt Ltd","+ 91  80 49425550",""
"Riti Jewellery","+ 91  80 32216353",""
"Lakshmi Gold Palace","+ 91  80 42166080",""
"Alice Jewellery","+ 91  80 25441145",""
"Chemmanur Jewellery","+ 91  80 22227389",""
"Shiva Shankars Mahila Bangle S...","+ 91  80 26671013",""
"Kalyan Jewellers","",""
"Kalyan Jewellers","+ 91  80 26697264",""
"Chemmanur Jewellers","+ 91  80 25235810",""
"Sudarshan Jewellers","+ 91  80 40980441",""
"Reliance Jewels","+ 91  80 22225001",""
"My Kalyan","+ 91  80 23560832",""
"Jos Alukkas","+ 91  80 32956916",""
"P C Chandra Jewellers","+ 91  80 49344444",""
"Davanam Jewellers Pvt Ltd","+ 91  80 41416161",""
"Lakshmi Golds Palace","+ 91  80 41216589",""
"Atlas Jewellery India Ltd","+ 91  80 67266607",""
"Reliance Jewels","+ 91  80 41244550",""
"Kp Jewellery & Gems","+ 91  7259955055",""
"Riti Jewellery","+ 91  80 32557853",""
"Shree Sai Jewels Palace","+ 91  80 33724502",""
"K V Krishnaiah Chetty & Son","+ 91  80 25550247",""
"Navarathna Jewellers","",""
"Shri Bhavani Kangan Stores","+ 91  80 26509053",""
"Kandalaa House Of Jewellery","+ 91  80 41527999",""
"Kpj Juellers And Jewellery (P)...","+ 91  8025327847",""
"Panchkesari Badera Jewellers","+ 91  80 41261008",""
"R R Gold Palace","+ 91  80 42151185",""
"Chemmanur Jewellery","+ 91  80 25436372",""
"Lalitha Jewellers","+ 91  80 41243473",""
"Chemmanur Jewellery","+ 91  80 23422322",""
"Bhima Jewellers","+ 91  80 67266618",""
"Riti Jewellery","+ 91  80 32559303",""
"Ambara Heritage Design","+ 91  80 25575196",""
"Reliance Jewels","+ 91  80 22667110",""
"Kirtilals Jewellers","+ 91  80 65316131",""
"Rishab Jewels","+ 91  80 41516350",""
"Senco Gold & Diamonds","+ 91  80 41141179",""
"Apranje Jewellers Pvt Ltd","+ 91  80 22120419",""
"Moti Jewel Palace","+ 91  80 25540660",""
"Shubh Jewellers","+ 91  80 25507555",""
"Shubh Jewellers","+ 91  80 42103140",""
"Nikhaar Jewels Pvt Ltd","+ 91  80 22103266",""
"Chemmanur Jewellers","+ 91  80 25289730",""
"Sunil Jewel Palace","+ 91  80 23343202",""
"Nakoda Jewellers","+ 91  80 22241829",""
"Khazana Jewellery Pvt Ltd","",""
"Gautham Jewellers","+ 91  80 22292549",""
"Arnav Jewellery","+ 91  80 26578778",""
"Kirtilals Jewellers","+ 91  80 22103311",""
"Shubh Jewellers","+ 91  80 25459244",""
"Chemmanur Jewellery","+ 91  80 28391721",""
"Davanam Jewellers Pvt Ltd","+ 91  80 43438383",""
"My Kalyan","+ 91  80 26650632",""
"PC Jeweller Limited","+ 91  80 40902778",""
"Ganesh Jewellers","+ 91  80 23465654",""
"Barton Diamonds","+ 91  80 40851861",""
"Collage Shop India","+ 91  80 25566818",""
"Alice Jewellery","+ 91  80 49544318",""
"M P Swarna Mahal Jewellers","+ 91  80 22218606",""
"Swarovski","+ 91  80 66641088",""
"Reliance Jewels","+ 91  80 26793505",""
"Rajesh Exports Limited","+ 91  80 22266735",""
"ORRA Jewellery","+ 91  80 22450916",""
"ORRA Jewellery","+ 91  80 41130100",""
"Senco Gold & Diamonds","+ 91  8095023500",""
"Pyarejan Jewellers","+ 91  80 25540259",""
"Srishti Gold & Diamond Jewellery","+ 91  80 25202208",""
"Inder Jewellery","+ 91  80 23347590",""
"My Kalyan","+ 91  80 25401103",""
"Joylukas","+ 91  9449018916",""
"Shubh Jewellers","+ 91  80 22444085",""
"Shubh Jewellers","+ 91  9742204292",""
"Pamadi Jewellers & Silver Palace","+ 91  9480611257",""
"Nathella Sampath Jewellery Pvt...","+ 91  80 67266524",""
"My Kalyan","+ 91  80 23150532",""
"Trendsmith India Ltd","+ 91  9886435454",""
"Vitrag Jewels","+ 91  80 41663863",""
"Mangalore Jewellers","+ 91  80 23541447",""
"Bluestone com","+ 91  80 32400000",""
"Gitanjali jewels","+ 91  80 41235727",""
"Davanam Jewellers Pvt Ltd","+ 91  80 42423333",""
"Raj Diamonds","+ 91  80 22445570",""
"Shringar Fancy Centre","+ 91  80 26621879",""
"KGK Entice India Pvt Ltd","+ 91  80 40948644",""
"Mohammed Khan & Sons Jewellers","+ 91  80 25487755",""
"Abharan Jewellery Works","+ 91  80 26721563",""
"Lalith Jewellers","",""
"Shubh Jewellers","+ 91  80 41685555",""
"Praveen Jewellers","+ 91  80 22385528",""
"Gold Palace Signature","+ 91  80 41238175",""
"Creations Jewellery","+ 91  80 25353732",""
"Praveen Jewellers & Diamonds","+ 91  80 23306150",""
"Goutham Jewels Next","+ 91  80 22294296",""
"Chaman Jewellers","+ 91  80 23365274",""
"Jimmy Choo","+ 91  80 41738404",""
"Mogra Boutique","+ 91  80 41152457",""
"Laxmi Chains","+ 91  80 22244612",""
"Kerala Fashion Jewellery","+ 91  80 25716901",""
"Raj Diamonds","+ 91  80 25582550",""
"Sathyam Jewellery Works","+ 91  80 22218491",""
"Pooja Jewels","+ 91  80 25586236",""
"Sri Ram Jewellers","+ 91  80 65710752",""
"Sultana Jewellers","+ 91  80 25547874",""
"Rajesh Exports Ltd (Corporate ...","+ 91  80 40239999",""
"Vajram","+ 91  80 23307558",""
"C Krishniah Chetty & Sons","+ 91  80 40001869",""
"One Gram Gold Jewellery","+ 91  9845217652",""
"Krishna Art Jewellery","+ 91  80 41464567",""
"Surana Silver Craft","+ 91  80 65653306",""
"Vijayalakshmi Jewellers","+ 91  80 41715219",""
"Sri Sai gold works & jewels","+ 91  9742733559",""
"Silver Palace Jewellers","+ 91  80 25597985",""
"Sri SAI Gold Jewelery Works","+ 91  9980594666",""
"Sumathi Jewellers","+ 91  80 41684200",""
"Ganapathi Jewellers","+ 91  80 23308066",""
"Rajathadri Jewellers","+ 91  80 41749165",""
"My Kalyan","+ 91  80 25650532",""
"Shubh Jewellers","+ 91  80 41425576",""
"Manipal Centre","+ 91  80 25582071",""
"Gitanjali Jewels","+ 91  80 25530501",""
"Mangalam Jewellery & Saree","+ 91  80 41654208",""
"Srivari Jewelry Store","",""
"Shoppers Stop","+ 91  80 66783613",""
"Surya Jewels","+ 91  80 22221512",""
"Damas Jewellery","",""
"Raja Lakshmi Jewellers","+ 91  80 26538034",""
"Panchakesari Bandari Jewellers","+ 91  9632145237",""
"Abaharana Jewellers","",""
"Chemmanur Jewellers","+ 91  80 27934747",""
"Gili World","+ 91  80 66641190",""
"My Kalyan","+ 91  80 25260032",""
"D Damas Customer Care","18001024482",""
"Sunrise Gold Palace","+ 91  80 42123666",""
"Neelkanth Jewellers","+ 91  8022278846",""
"Jewellers Association","+ 91  80 22211037",""
"Mangalore Jewels","+ 91  80 26586888",""
"Shubh Jewellers","+ 91  80 41224768",""
"Kanishq Jewels","+ 91  80 23461726",""
"Motis Concept Jewels Palace","+ 91  80 26710724",""
"Navrathan Jewellers Pvt Ltd","",""
"Prakash Bankers & Jewellers","+ 91  80 23370148",""
"Sakshi Jewellers","+ 91  80 28474945",""
"Goldmine Jewellery","",""
"Prosper Jewel Arcade LLP","+ 91  80 23327916",""
"Laxmi Gold Paradise","+ 91  80 33050395",""
"Lakshmi Gold Khazanna","+ 91  80 23560129",""
"Bhuramal Rajmal Surana","+ 91  80 40915550",""
"B Rama Rao & Sons Jewellers Pv...","+ 91  80 26508763",""
"N S Jewells","+ 91  80 41518008",""
"My Kalyan","+ 91  80 25440532",""
"Sri SAI Jewellery","+ 91  80 26601009",""
"V Gurunath & Sons","+ 91  80 23345539",""
"I Love Diamonds","+ 91  80 42225222",""
"Praveen Jewels","+ 91  80 41731009",""
"Sri Manjunatha Jewellers","+ 91  80 23345435",""
"M P Jewellers","+ 91  80 22219339",""
"Dhanalakshmi Jewellers","+ 91  80 25213051",""
"Aakruthi Jewellery","+ 91  80 27934555",""
"Rajalakshmi Jewellery Mart","+ 91  80 22243804",""
"Rishab Jewels","+ 91  80 25652754",""
"Gold Mine Jewellery","+ 91  80 25401033",""
"Mmtc Ltd","+ 91  80 22211647",""
"Saravana Jewellers","",""
"Matheshwari Jewellers And Bankers","+ 91  80 41659999",""
"Sunrise Abharan","+ 91  80 41249584",""
"Kalyan Jewellers","+ 91  9739867926",""
"Praveen Jewels","+ 91  80 40924995",""
"Ajantha Jewellers","+ 91  80 22227808",""
"B N Krishnaiah Setty Sons","+ 91  80 22265570",""
"Silver Palace","+ 91  80 41312309",""
"Meena Jewellers","+ 91  80 25252201",""
"Ridhi Creation","+ 91  80 41663815",""
"Jwalamala Jewellers","+ 91  80 26644667",""
"Sri Ganesh Diamond And Jewellery","+ 91  80 23362355",""
"Aura Jewels","+ 91  80 23321188",""
"ORRA Jewellery","+ 91  80 65982222",""
"Goldmine Jewellery","",""
"Utsav Jewellers","+ 91  80 41236755",""
"Mukesh Jewellers","+ 91  80 41287008",""
