"Name","Phone","Address"

"Distributor Chhajed Cellular","+ 91  9225623777","Shram Building,Collector Patta,Old Agra Road,Malegaon-423203, Shram Building,Collector Patta,Old Agra Road,Malegaon-423203, Malegaon - 423203, Shram Building,Collector Patta,Old Agra Road,Malegaon-423203"
"K M C Communication","+ 91  9226868686",""
"Sahyadri Distributors","+ 91  9923410293","Malegaon - 423203"
"MAHAVIR PHARMA DISTRIBUTORS","+ 91  2554 256347","82-83, Patelnagar, Malegaon - 423203, Satana Naka"
"Chhajed Car Decor","+ 91  9145115777","Shram, Old Agra Road, Malegaon - 423203, Collector Zone"
"NAZ Distributors","+ 91  9823183104","Malegaon - 423203"
"Mahaveer Pharma Distributors","+ 91  9049990853","16,Shaniwar Ward,Azad Chowk,Panch Kandil,Malegaon, Malegaon - 423203"
"Sahayadri Distributors","+ 91  2554 231689","261, Basement, Govind Appartment,, Mamledar Lane,, Malegaon Stand, Malegaon - 423203"
"Challenger Cellular & Computers","+ 91  9028949075","Near Juna Bus Stand, Malegaon - 423203, Opposite Post Office"
"Ramesh Oil Distributors","+ 91  2554 233568","Old Agra Road, Malegaon - 423203"
