"Name","Phone","Address"

"Bangalore Education Guide L...","+ 91  80 33642470","No.68,1st Floor, 4th Main,Postal Colony, Sanjay Nagar, Bangalore - 560094, Near Daffodils English School"
"Hkbk College Of Engineering","+ 91  80 33792205","No.22/1, Hebbal, Nagawara, Bangalore - 560045, Opposite Manyata Tech Park"
"Himalai Coaching Classes","+ 91  80 39257754","No.173/B, 7th Main, 4th Block, Rajajinagar, Bangalore - 560010, Near Vijaya Bank"
"Noble School Of Business","+ 91  80 26650404","No 12A/19, 9th Cross,1st Phase, Jp Nagar, Bangalore - 560078, Opposite Rajashekar Hospital"
"Karnataka Group Of Institut...","+ 91  80 33674878","No 33/2, Thirumenahalli,Hegde Nagar Main Road,Jakkur Post, Yelahanka, Bangalore - 560064, Next Regal Hospital"
"Osteen College","+ 91  80 33618422","No.61,Gowri Chambers, 5th Main, Chamarajpet, Bangalore - 560018, Opposite Venlock Hospital"
"Career World Educational Trust","+ 91  80 33562577","No.179/A,Annapoorna Building,1st Floor, Government High School Road, T Dasarahalli, Bangalore - 560057, Near Jalahalli Ayyappa Temple,Behind Canara Bank"
"Ret India","+ 91  80 33294047",""
"Patel Group Of Institutions","+ 91  80 28440553","No.25/2, Kariyammanna Agrahara, Bellandur, Bangalore - 560103, Nr Outer Ring Road"
"United College","+ 91  80 25472222","No 12, Pillanna Garden,2nd Stage, Nagawara, Bangalore - 560045, Near Water Tank"
"Heritage Educational Services","+ 91  80 41400450","#1287, 3rd Floor, 25th Main, Jayanagar 9th Block, Bangalore - 560069, Near Big Bazar"
"Padma College","+ 91  80 33081565","No.24/39, 4th Block, 4th Stage, Basaveshwara Nagar, Bangalore - 560079, Near Khb Colony Traffic Single"
"Royale Concorde P U College","+ 91  80 33293536","No 81/1, Hongasandra, Begur Road, Bangalore - 560068, Next SBI Bank"
"Surana College","+ 91  80 33100378","No.16, South End Road, Basavanagudi, Bangalore - 560004, Near South End Circle"
"Grv Business Management Aca...","+ 91  8861124176","No 19 2nd Cross Bellary Road, R T Nagar, Bangalore - 560032, Near HMT Building, Ganganagar"
"AET Group Of Institutions","+ 91  80 28441237","No.152, Doddakanahalli,Carmelram Post, Carmelram, Bangalore - 560035, Behind Railway Station,Off Sarjapur Road"
"Sri Sri Ravishankar Vidya M...","+ 91  80 33619195","No 4, HMT, Hbcs Layout, Thindlu, Vidyaranyapura, Bangalore - 560097, Near Durgaparameshwari Temple"
"Aditya Institutions","+ 91  80 33491494","No.12,, Kogilu Main Road, Yelahanka, Bangalore - 560064, Behind Annapoorneshwari Temple"
"Indian Academy Group Of Ins...","+ 91  80 33081918","Hennur cross, Hennur Main Road, Kalyan Nagar, Bangalore - 560043"
"Gupta College","+ 91  80 33080022","No.808, 100 Feet Ring Road, Banashankari 3rd Stage, Bangalore - 560085, Near Hosakerihalli Telephone Exchange"
"C V Gurukul College","+ 91  80 33059743","No.92, Magadi Main Road,Balaji Nagar,B E L Layout,Byadarahalli, Sunkadakatte, Bangalore - 560091, Behind College Stop"
"Mother Mary Academy Of Prac...","+ 91  80 33532402","#976 1st main road 1st block gitanjali layout, hal 3rd stage, New Thippasandra, Bangalore - 560075, near ganesha temple"
"Mount Carmel College","+ 91  80 22261759","No.58, Palace Road, Vasanth Nagar, Bangalore - 560001"
"Karnataka Veterinary Animal & ...","+ 91  80 23411483","Veterinary College Campus, Bellary Road, Hebbal, Bangalore - 560024, Opposite To CBI Office & Kannada Sabhagana"
"Seshadripuram Composite Pre Un...","+ 91  80 22955358","No.27, Nagappa Street, Seshadripuram, Bangalore - 560020"
"Jain College","+ 91  80 46501736","No.44/4, Jgi Knowledge Campus, District Fund Road, Jayanagar 9th Block, Bangalore - 560069, Behind Big Bazar"
"Mes Degree College Of Arts Com...","+ 91  80 23347045","15th Cross, 10th Main Road, Mpl Sastry Road, Malleswaram, Bangalore - 560003"
"St Joseph College Of Commerce","+ 91  80 25360644","No.163, Brigade Road, Bangalore - 560025, Opposite To St Patricks Church"
"St Josephs Pre University College","+ 91  80 22228844","No 25003, F M Cariappa Road, Residency Road, Bangalore - 560025, Next To Bishop Cotton School"
"Dayananda Sagar College Of Eng...","+ 91  80 26662226","Shavige Malleshwara Hills, Kumaraswamy Layout, Bangalore - 560078"
"Jyothi Nivas College","+ 91  80 25501919","Industrial Area, Koramangala 5th Block, Bangalore - 560034"
"R V College Of Engineering","+ 91  80 67178000","R V Vidyanikethan Post, 8th Mile, Mysore Road, Bangalore - 560059"
"Jain University","+ 91  80 43430100","No 24, 1st Cross, Jc Road, Bangalore - 560002, Next To Bangalore Stock Exchange"
"St Josephs College Of Arts & S...","+ 91  80 22274079","No.36, Langford Town, Lalbagh Road, Bangalore - 560027"
"Reva Institute Of Technology A...","+ 91  80 65687563","N0.226 And 227, Kattigenahalli, Jala Hobli, Bagalur Cross, Yelahanka, Bangalore - 560064, Near Delhi Public School"
"New Horizon College Of Enginee...","+ 91  80 66297777","Marathahalli Ring Road, Kadubeesanahalli, Marathahalli, Bangalore - 560037, Near Cessna Business Park"
"Bbmp Composite Junior College ...","+ 91  9945607875","Jogpalya, Ulsoor, Bangalore - 560008"
"Annamalai University","+ 91  80 26564926","No.547/1, R V Road, Basavanagudi, Bangalore - 560004, Next To Annapoorna Petrol Bunk & Near Vijaya Evening College"
"BMS College For Women","+ 91  80 26601836","Bugle Rock Road, Basavanagudi, Bangalore - 560004, Opposite To Bugle Park"
"National College Jayanagar","+ 91  80 26549684","No.36, B Cross, 2nd Main Road, Jayanagar 7th Block, Bangalore - 560082"
"Christ Junior College","+ 91  80 40129292","Hosur Road, Bangalore - 560029, Near To Bangalore Dairy Circle"
"Central College","+ 91  80 22961015","Central College Campus, Kempegowda Road, Bangalore - 560009, Opposite To Arts & Science College Grounds"
"National College","+ 91  80 26601927","Vani Vilas Road, Pampa Maha Kavi Road, Basavanagudi, Bangalore - 560004"
"Sri Chaitanya Techno School An...","+ 91  9900041428","No.177, 69th Cross, 5th Block, Rajajinagar, Bangalore - 560010, Near Bashyam Circle"
"Vijaya Degree College","+ 91  80 26933220","R V Road, Basavanagudi, Bangalore - 560004"
"Kuvempu University Study Centre","+ 91  80 41154115","No.27, Thulasi Thottam, Park Road, Chickpete, Bangalore - 560053, Near Shanthala Silks, Opposite To Srinivasa Hospital"
"Maharanis Arts Commerce & Mana...","+ 91  80 22257792","Seshadri Road, Bangalore - 560009, Opposite Freedom Park, Near Vidhana Soudha"
"National Law School Of India U...","+ 91  80 23213160","Post Box No 7201, Nagarbhavi, Bangalore - 560072, Near Bangalore University"
"RNS Institute Of Technology","+ 91  80 28611880","Channasandra, Uttarahalli, Kengeri Road, Rajarajeshwari Nagar, Bangalore - 560098, Rajarajeshwari Nagar Post"
"Aps College Of Commerce","+ 91  80 26611786","Basavangudi Main Road, Narasimharaja Colony, Bangalore - 560019"
"Dr B R Ambedkar Medical College","+ 91  80 25471784","No.24, Shampura Main Road, Kadugondanahalli, Bangalore - 560045"
"B M S College Of Engineering","+ 91  80 26622130","Post Box No.1908, Bull Temple Road, Basavanagudi, Narasimharaja Colony, Bangalore - 560019"
"Baldwin Methodist College","+ 91  80 41523561","No.14, Hosur Road, Richmond Road, Bangalore - 560025, Near Johnson Market"
"ST Annes Pre University Colleg...","+ 91  80 22203386","No.2, Millers Road, Vasanth Nagar, Bangalore - 560001, Opposite To Vikram Hospital"
"Kammavari Sangham Institute Of...","+ 91  80 28435722","No.14, J P Nagar Post, Raghunalli, Bangalore - 560062, Off Kanakapura Road"
"BBMP Composite Pre University ...","","Mysore Road, Ajanapura, Bangalore - 560062, Near To Circle, Between Byatarayanapura And Guttahalli"
"Pes Degree College","+ 91  9341929528","1, Bsk 1st Stage Hanumanthanagar, Hanumantha Nagar, Bangalore - 560019, Main Road"
"Amruta Institute Of Engineerin...","+ 91  80 27204740","BVV Snagha, Bidadi, Bangalore - 562109, Near Toyota Kirloskar Motors, Off Mysore Road"
"G E S College","+ 91  80 28567347","No.1224, 8th B Cross, Yelahanka, Bangalore - 560064"
"BBMP Composite PU College For ...","","Sangam Circle, Padarayanapura, Bangalore - 560026"
"Al Ameen College Of Arts Scien...","+ 91  80 22235626","Hosur Road, Lalbagh Road, Bangalore - 560027, Opposite To Lalbagh Main Gate"
"Sapthagiri Medical College","+ 91  80 22188700","No.15, Chikkasandra, Hessarghatta Main Road, Bangalore - 560073"
"Frankfinn Aviation Services Pv...","+ 91  80 25581091","No.B-16-18, Gem Plaza, No.66, Infantry Road, Bangalore - 560001, Next to hotel infantry"
"R V Dental College & Hospital","+ 91  80 22445754","No.Ca37, 24th Main Road, 1st Phase, Jp Nagar, Bangalore - 560078"
"Shivananda Sharma Memorial Ras...","+ 91  80 26636909","No.17, 26th Main Road, 36th Cross, Jayanagar 4th T Block, Bangalore - 560041, Behind Sanjay Gandhi Hospital"
"Deeksha Centre For Learning","+ 91  7760995012","No.29-CA, Khb Colony, 5th Phase, Yelahanka New Town, Bangalore - 560106"
"Seventh Day Adventist School &...","","No.98, Spencer Road, Frazer Town, Bangalore - 560005"
"Atria Institute Of Technology","+ 91  80 23631298","Askb Campus, 1st Main Road, Ags Colony, Anandnagar, Bangalore - 560024, Near To Baptist Hospital & Rt Nagar Traffic Police Station"
"St Francis Junior College","+ 91  80 25531076","No.3417, Sevasadan Institute, 8th Main Road, Sarjapur Main Road, Koramangala 3rd Block, Bangalore - 560034, Opposite To Krupanidhi College"
"Bes College Of Arts Commerce S...","+ 91  80 26637295","11th Blk,16th Mn Rd, Jayanagar 4th Block, Bangalore - 560011"
"Rbanms First Grade College","+ 91  80 25512976","No.12, Annaswamy Mudaliar Road, Bangalore - 560042, Near Ulsoor Lake"
"Narayana E Techno School","+ 91  80 25747315","Bnr Diamond, Green Glen Layout, Bellandur, Bangalore - 560103, Behind Toyota Showroom"
"Jss College","+ 91  80 22970104","38th Cross, 1st Main, Kanakapura Main Road, Jayanagar 8th Block, Bangalore - 560082, Near Shree Shivarathriswara Circle"
"The Oxford Dental College & Ho...","+ 91  80 22452855","Hosur Road, Bommanahalli, Bangalore - 560068, 10th Mile Stone"
"Hasanath College For Women","+ 91  80 25514752","No.43, Main Road, Dickenson Road, Bangalore - 560042, Next To Muslim Orphanage"
"Government First Grade College","+ 91  80 23302141","No.601, 7th Cross, 3rd Main, 2nd Stage, Rpc Layout, Vijayanagar, Bangalore - 560040"
"Frankfinn Aviation Services Pv...","+ 91  80 25634103","No.106, 1st Floor, Raheja Arcade, Koramangala 7th Block, Bangalore - 560095, Opposite To Forum"
"Government Pre University College","+ 91  80 23360445","18th Cross, Malleswaram, Bangalore - 560003"
"R V College of Architecture","+ 91  80 22717807","Site CA-1, Off Vajarahalli Main Road, 4th Block, Banashankari 6th Stage, Bangalore - 560062, Near Chikagowdanapalya Village"
"Sri Venkateshwara Puc And Degr...","+ 91  80 41106363","No.1/18, Maruti Nagar, 8th Cross, Madivala, Bangalore - 560068"
"Mount Carmel Institute Of Mana...","+ 91  80 22261487","No 58, Palace Road, Vasanth Nagar, Bangalore - 560001, opp to mount carmel college"
"Narayana PU College","","11th Cross, Margosa Road, Malleswaram, Bangalore - 560003"
"SJR College For Women","+ 91  80 23359474","No. 1/D, 59th C Cross, Rajajinagar 4th Block, Bangalore - 560010, Opposite Sujata Talkies"
"St Josephs Evening College","+ 91  80 22211911","No.35, Pb No.25003, Museum Road, Bangalore - 560025, Near Keb Office"
"SJR College Of Science Arts An...","+ 91  80 22264952","No.9, Race Course Road, Gandhi Nagar, Bangalore - 560009, Near Anandrao Circle"
"Seshadripuram Independent Pre ...","+ 91  80 22955377","No.CA-18, Kommaghatta Road, Satellite Town, 3rd Main Road, Kengeri, Bangalore - 560060, Behind Post Office"
"M S Ramaiah College Of Arts Sc...","+ 91  80 23600966","Gokula, Mathikere, Bangalore - 560054, Msr Nagar, Msrit Post"
"United Theological College","+ 91  80 23332844","No.63, Millers Road, Benson Town, Bangalore - 560046, Behind Contonment Railway Station"
"BBMP Composite Pre University ...","+ 91  80 23429858","Srirampuram, Bangalore - 560021, Near Devaiah Park"
"PVP Polytechnic","+ 91  80 23211559","Dr Ambedhkar Engineering College Campus, 80 Feet Road, Mallathahalli, Bangalore - 560056, Near To Jnana Bharathi Campus"
"Karnataka State Open Universit...","+ 91  80 23448811","Government Girls Pu College, 13th Cross, 4th Main,Margosa Road, Malleswaram, Bangalore - 560003"
"Dev In National School","+ 91  80 65651001","No.3/1, 60 Feet Road,Off International Airport road, Sahakara Nagar, Bangalore - 560092, Near Cauvery College"
"St Charles High School & Women...","+ 91  80 25472062","Lingarajapuram Main Road, St Thomas Town, Bangalore - 560084, Near Tolgate Bus Stop, Kam"
"The Oxford College Of Science","+ 91  9845283643","CA 40, 1st Phase J P Nagar, Bangalore - 560001, Main Road"
"K S School Of Engineering & Ma...","+ 91  80 28425012","No.15, Mallasandra, Kanakapura Road, Bangalore - 560062, Near Kumaran School"
"Reva Institute Of Science And ...","+ 91  80 23543830","No. 48a, 11th Cross, Lakshmaiah Block, CBI Road, Ganganagar, Bangalore - 560032, Near To CBI Office"
"Sri Chaitanya Techno School & ...","+ 91  9900074677","No.22-2, Hmr Compund, 1st Main, 6th Cross, Yeshwanthpur, Bangalore - 560022"
"ASC Degree College","+ 91  80 23400192","No.A-3, 1st Main Road, 6th Block, Industrial Estate, Rajajinagar, Bangalore - 560010"
"Sri Vidya Mandir Education Soc...","+ 91  80 23342658","No.154, 11th Cross, 6th Main, West Park Road, Malleswaram, Bangalore - 560003, Opposite To Krishna Temple"
"M S Ramaiah Dental College & H...","+ 91  80 23602079","M S Ramaiah Educational Campus, New Bel Road, Mathikere, Bangalore - 560054, Msrit Post, MS Ramaiah Nagar Gokul Extension"
"Sree Bhagawan Mahaveer Jain Ev...","+ 91  9844542284","1, A N Krishna Rao Road, V V Puram, Bangalore - 560004, Main Road"
"Bbmp Composite Junior College ...","","Austin Town, Bangalore - 560047"
"V V Puram Evening College Of A...","+ 91  80 26675473","K R Road, V V Puram, Bangalore - 560004, Near Bit"
"East Point School & College Of...","+ 91  80 25452626","No.2, 80ft Road,2nd Block,Hrbr Layout,Banaswadi, Kalyan Nagar, Bangalore - 560043"
"Spark Correspondence Institute","+ 91  80 65462219","No.37,3rd Floor, 10th Cross,Lashmaiah Block, CBI Road, Ganganagar, R T Nagar, Bangalore - 560032, Next To SBI Bank"
"KLE Societys Degree College","+ 91  80 23213739","2nd Stage, 3rd Block, Nagarbhavi, Bangalore - 560072, Opposite To Bda Complex"
"St Aloysius Institutions","+ 91  80 25484826","No.11, Cleveland Town, Cox Town, Bangalore - 560005"
"Silicon City Educational Academy","+ 91  80 26323044","Kumar Nursery,New Bank Colony, Konanakunte Cross, Bangalore - 560062, Off Kanakapura Road,Near Saudhamani Marriage Hall"
"Poorna Pragna Education Council","+ 91  80 23613920",""
"Maharani Science College For W...","+ 91  80 22262796","Palace Road, Bangalore - 560001"
"REVA Independent PU College","+ 91  80 23415515","No.7, Bbmp Ward No.90, 1st Main, Geddalahalli, Jaladarshini Layout, New Bel Road,, Sanjay Nagar, Bangalore - 560094, Near To Ramaiha Hospital"
"United Mission Degree College","+ 91  80 22278695","Post Box No.556, Mission Road, Bangalore - 560027, Near City Corporation, Opposite Mithralaya Girls High School"
"Oceanik Education Society","+ 91  80 23444088","Sri Maruthi Complex, 2nd Floor, 8th Cross, Malleswaram, Bangalore - 560003, Near Mysore Correspondence College"
"Surana College","+ 91  80 28486382","No.17, 1st Main,Tumkur Mysore Ring Road, Kengeri Satelite Town, Bangalore - 560060, Near To Post Office & Petrol Bunk"
"Seshadripuram Evening Degree C...","+ 91  80 22955356","No.27, Nagappa Street, Nehru Circle, Seshadripuram, Bangalore - 560020"
"R V Dental College","+ 91  80 26658411","C A-37, 24th Main,, Jp Nagar 6th Phase, Bangalore - 560078"
"Ramanashree Academy Of Management","+ 91  80 23507675","No.14, 18th Cross, 18th Main Road, M C Layout, Vijayanagar, Bangalore - 560040, Nr Indraprasta Hotel"
"C M R National Pu College","+ 91  80 25440955","No.2079, 2nd Main, 3rd Block, 3rd Stage, Hbr Layout, Kalyan Nagar, Bangalore - 560043, Behind Jalavayu Vihar"
"Seshadripuram First Grade College","+ 91  80 22955369","CA Site No.26, New Town, Doddaballapur Road, Yelahanka, Bangalore - 560064"
"Pvp Pu College For Women","+ 91  80 23475152","No.18, 1st N Block, Rajajinagar, Bangalore - 560010"
"Cmr Law School","+ 91  80 25453077","No.5, Bhuvanagiri, Ombr Layout-Banaswadi, Bangalore - 560043"
"Sri Vani Education Centre School","+ 91  80 23286998","No.143, Hanumavana, 16th Kilo Meter, Off Magadi Road, Bapagrama, Bangalore - 560091"
"Government First Grade College","+ 91  80 28565188","Yelahanka, Bangalore - 560064, Near Nes Office"
"Vidyaniketan Public School","+ 91  80 23240364","Ullal Road Cross, Kengeri-Ullal Upanagar, Bangalore - 560056"
"St Claret Pu College","+ 91  80 23455151","Post Box No.1355, 1st Main Road, 5th Cross, MES Ring Road, Sharadambhanagar, Jalahalli, Bangalore - 560013"
"ACS College Of Engineering","+ 91  80 28437955","No.207, Mysore Road, Kambipura, Kumbalgodu, Bangalore - 560074, Near Kumbalgodu"
"Nagarjuna College Of Engineeri...","+ 91  80 65653232","No.38/1, Mudugurki Village, Devanahalli Taluk, Venkatagiri Kote Post, Devanahalli, Bangalore - 562110"
"S S Correspondence College","+ 91  80 26672669","No.39, Sharada Stree Samaja Building, 1st Main, Albert Victor Road, Chamarajpet, Bangalore - 560018, Near Minto Eye Hospital & Prakash Cafe"
"Madurai Kamaraj University","",""
"Goodwill Christian College For...","+ 91  80 25567177","No. 10, Promenade Road, Frazer Town, Bangalore - 560005, Opposite To Coles Park"
"Vidya Vahini School And College","+ 91  80 23538869","No.2, 1st Main Road, Anandnagar, Bangalore - 560024, Near R T Nagar Bus Depot"
"Rbanms Junior College","+ 91  80 25300853","No.12/A, Annaswamy Mudaliar Rd, Ulsoor, Bangalore - 560008, Near Ajantha Theater"
"Government Science College","+ 91  80 22212924","Nrupathunga Road, K R Circle, Nrupatunga Road, Bangalore - 560001, Near Youth Centre"
"Sree Omkar College","+ 91  80 28478662","No.67, Yelahanka, Bagalur, Bangalore - 562149, Opposite To Country Club"
"Garden City College (Corporate...","+ 91  80 25288831","No 340, 5th Main , Double Road, Indira Nagar 1st Stage, Bangalore - 560038, Near RTO Office"
"Sri SAI College For Women","+ 91  80 23324716","No.1839, 3rd Cross, D Block, Sri SAI Mandir Road, 2nd Stage, Rajajinagar, Bangalore - 560010, Near Navrang Theatre"
"Nero Education","+ 91  9241717089","No.66 Mekhri House, Irin Technologies LLP, Lalbagh Road, Bangalore - 560027, Opposite Pride Hulkul"
"Dr B R Ambedkar Bed College","+ 91  80 23492503","Jc Nagara,Kurabarahalli, Mahalakshmipuram Layout, Bangalore - 560086"
"Bel Composite Pu College","+ 91  80 22195497","Bel Colony, Jalahalli, Bangalore - 560013, Opposite To Bel Factory"
"N M K R V P U College For Women","+ 91  80 26347132","Block-3,, Jayanagar East, Bangalore - 560069"
"Sri Jagatguru Renukacharya Pu ...","+ 91  80 22207469","No.9, Anand Rao Crcl, Race Course Road, Bangalore - 560001"
"Dharmaram College","+ 91  80 41116111","Hosur Mn Rd, Dharmaram College, Bangalore - 560029, Dairy Circle"
"Sri Chaitanya Pre University R...","+ 91  9686199396","Sarjapura Road, Doddakannelli, Bangalore - 560035, Near Wipro Corporate Office"
"Government Unani Medical College","+ 91  80 23116061","No.6, Appareddy Complex, Siddaiah Puranik Road, Basaveshwara Nagar, Bangalore - 560079, Opp Khb Colony"
