"Name","Phone","Address"

"Sehdev Diamond Jewellery","+ 91  9463608226","347/4, Jain Market, Bazar Kaserian, Amritsar - 143001, Near Doonga Hanuman Mandir"
"Sehdev Jewellers","+ 91  183 2482504","Amritsar - 143001, Kake Di Mkt"
"Sehdev Machine Tools","+ 91  183 2510275","Amritsar - 143001"
"Sehdev Jewellers","+ 91  183 5095445","59, Krishna Sqaure-2, Amritsar - 143001, Nr Celebration Mall"
"Sehdev Telecom","+ 91  9988420280","#1, handa market,chowk passian, Amritsar - 143006"
"Sehdev Property Dealer","+ 91  183 2563481","62 B, Majitha, Amritsar - 143601, Opp Nari Nikatan"
"Diamond jewellery","+ 91  9872846700","7, new sadak, Lawrence Road, Amritsar - 143001, opposite BBK DAV college"
"Umesh Malliram Designer Jew...","+ 91  183 6579777","Number 2 Upper Ground Floor J K Tower, Mall Road, Amritsar - 143001, Next To Kapsons"
"Diamond beauty & spa saloon","+ 91  8289056987","2682/9, Katra karam singh, Amritsar - 143001, Near pishori hall"
"Khurana Jewellery House","+ 91  183 2560400","Central Mall 32, Mall Road, Amritsar - 143001, Inside Ebony"
"New Diamond Woollen Mills","+ 91  183 2565539","Randittamal Gianchand, Katra Ahluwalia,, Amritsar - 143001"
"Haryana Jewellery","+ 91  183 2543858","88/4 1st Floor, Guru Bazar, AMRITSAR - 143006"
"Blue Diamond Hotel","+ 91  183 2552835","11, Amritsar - 143001, Hall Bazar, Kairon Mkt"
"Hotel Blue Diamond","+ 91  183 2559057","11, Kairor Market, Lawrence Road Amritsar, Amritsar - 143001, Hall Bazar"
"Kangan Designer Jewellery Store","+ 91  183 5099700","Lawrence Road, Amritsar - 143001, Opposite Bansal Sweets"
"KISNA DIAMONDS","+ 91  9780153180","ganpati tower, Amritsar - 143001, lawrence road"
"Pooja Jewellery Center","+ 91  183 2551226","Amritsar - 143001, Bazar Darshani Deori,Near Golden Temple,"
"Malli Ram Jewellery House","+ 91  183 6544999","32 A Cee Tee Mall, Amritsar - 143001, Ebony, Mall Road, Opposite Ritz Hotel"
"PEOPLES The diamond jeweller","+ 91  183 2222256","Shop no 108, Nehru complex, Lawrence Road, Amritsar - 143001, Opp novelty sweets"
"Aabhushan Art Jewellery","+ 91  183 2560602","8 A, Lawrence Road, Amritsar - 143001, Opp pizza hut"
"Nagi Diamond Jewellers","+ 91  183 2225737","#22a, Lawrence Road, Lawrence Road, Amritsar - 143001, Near Dav College For Women"
"Prince Jewellery","+ 91  183 2572239","Main Majitha Road, Amritsar - 143001, Opposite Bengali Mandir"
"Satpal Johri Diamond Jewellers","+ 91  183 5096375","209-210, Lawrence road, Lawrence Road, Amritsar - 143001, Ganpati towers"
"Diamond Plaza","+ 91  183 2550233","Building Number-96, Golden Temple, Amritsar - 143006, Main Guru Bazar , Near Radhe Krishna Mandir"
"Satyam Jewellery House","+ 91  183 2558284","Amritsar - 143001, Guru Bzr"
"Diamond Paint & Varnish","+ 91  183 2226230","Kapoorn St, Amritsar - 143001, Putlighar"
