"Name","Phone","Address"

"Jewellery-Punjab Jewellers","+ 91  121 2541597","Sadar Chowk Bazar,, Sadar Chowk, Meerut - 250001, Sadar Chowk Bazar,"
"Jewellery-Kamayani Jewellers","+ 91  121 2529497","44, Abu Plaza,, Abulane, Meerut - 250001, Abu Lane,"
"Jewellery Making","+ 91  9568200976","Tejab Market 1st Floor, Neel Gli, Sarafa Bazzar, Meerut City, Meerut - 250002"
"Jewellery-Ajay Kumar Rastogi J...","+ 91  9837001188","Sarrafa Bazar,, Meerut City, Meerut - 250002, Meerut City,"
"Jewellery Universe","+ 91  121 2522816","No 8 Thterwara,, Saraffa Bazar, Meerut City, Meerut - 250002, Near Kalwa Maket,"
"Jewellery-S R V Enterprises","+ 91  121 2524257","130,,, Lala Ka Bazar, Meerut - 250002, Lala Ka Bazar"
"Jewellery-Bombay Diamond Palace","+ 91  121 2515438","Kuncha Neel,, Sarafa Bazar, Meerut - 250002, Sarrafa Bazar,"
"Jewellery-Rakesh Prakash Agarwal","+ 91  121 2543353","1127 P. L. Sharma Road,, Pl Sharma Road, Meerut - 250001, Near Upper India Dairy,"
"Punjab Jewellers","+ 91  121 2663761","187, Abulane, Meerut - 250001, Near Raj Mahal Hotel, Opposite Vardhman Complex"
"Punjab Jewellers","+ 91  121 2663761","187, Abulane, Meerut Cantt, Meerut - 250001, Opposite Punjab Shoes"
"New Punjab Jewellers","+ 91  121 3250055","187, Abulane Main Road ,, Meerut City, Meerut - 250002, Near Union Bank"
"New Punjab Jewellers","+ 91  121 2664261","No58, Kk Nagar, Meerut City, Meerut - 250002, Near Sadar Chowk Bazar ,"
"New Punjab Jewellers","+ 91  121 2660761","55, Meerut Cantt, Meerut - 250001, Sadar Chowk Bzr"
"Manohar Lal Sarraf & Sons J...","+ 91  121 2516760","Shop Number 78, 79 & 80, Chowk Sarrafa Bazar, Meerut City, Meerut - 250002, Near Valley Bazar"
"Raghunandan Jewellers Pvt Ltd","+ 91  121 2657130","G-17-22, Abu Plaza, Abub Lane, Meerut City, Meerut - 250002"
"Chandni Dulhan Jewellery Shop","+ 91  9319311277","Chippi Tank Road, Shiv Chowk, Chippi Tank, Meerut - 250001, Near Chaurasiya Nursing Home"
"Abhishek Jewellers","+ 91  121 2661059","19, Sadar Sarrafa Bazar, Meerut Cantt, Sadar Chowk, Meerut - 250001"
"Punjab Shoe Emporium","+ 91  121 2660256","Shop No.1-2/293, Abulane, Abulane, Meerut - 250001, Opp,Rajmahal Hotel"
"GOPAL JEE JEWELLERS","+ 91  121 2660116","Shop No- 185/A, Abu Lane, Meerut Cantt, Meerut - 250001, Near Raj Mahal Hotel"
"Anupam Jewellers","+ 91  121 2400854","Maliwada Chahashor, Jama Masjid Road, Sarafa Bazar, Meerut - 250002, Near Meerut City Kotwali"
"Punjab National Bank (Customer...","18001802222","Meerut City, Meerut - 250002"
"Punjab National Bank","+ 91  121 2660629","Abu Ln, Meerut UP, Meerut - 250001, Cantt"
"Punjab National Bank","+ 91  121 2513805","Baghpat Rd, Baghpat Road, Meerut - 250002"
"Punjab National Bank-Meerut DA...","+ 91  121 2510065","Dist Meerut, Meerut - 250002"
"Punjab & sind bank","+ 91  121 2762836","Garh Rd, Meerut Cantt, Meerut - 250001, Hotel Smart Heavens"
"AKASH GANGA JEWELLERS","+ 91  121 2656509","Begum Bridge, Meerut - 250001"
"Punjab National Bank","18001032222","Mawana Road, Ganga Nagar, Meerut - 250001"
"Punjab National Bank","+ 91  121 2642066","Eastern Kutchery Rd, Eastern Kutchery Road, Meerut - 250001"
"Alankar Jewellers","+ 91  9897555671","No65, Govindpuri, Meerut City, Meerut - 250002, Near Bus Stand"
"Punjab National Bank","+ 91  1233 271929","Mawana, Meerut - 250401, Near Old Bus Stand"
"Punjab National Bank- Meerut B...","+ 91  121 2662112","Meerut City, Meerut - 250001"
"Punjab National Bank -Sahibaba...","+ 91  121 2630158","Dist Ghaziabad, Garh Rd, Meerut - 250002"
"Bhagat Jewellers","+ 91  121 2668632","Abu Plaza, meerut cant, main road, Abulane, Meerut - 250001, abulane"
"Punjab National Bank","18001802222","Meerut Cantt, Meerut - 250001, Shaitan Singh Line"
"Punjab National Bank (Loan Div...","18001802222","1st Floor, Mangal Pandey Nagar, Meerut - 250001, Opposite Ccs University"
"Punjab National Bank","+ 91  121 2441649","Rithani, Meerut - 250103, Rithani, Delhi Road, Urban Partapur"
