"Name","Phone","Address"

"patanjali Chikitsalayas","+ 91  9814808121","durgiyana Mandir CMPLX, Main road, Amritsar - 143001, Durgiyana mandir"
"Dr Badri Nath And Sons","+ 91  183 2401575","Cooper Road CRISTAL CHOWNK, Amritsar - 143001, Opposite Sgtb Hospital"
"More Power Capsul","+ 91  9812436676","Amritsar - 143001"
"Apollo Pharmacy","+ 91  9100023991","Shop no 16, Copper road, Amritsar - 143001, Near crystal Chowk"
"HAYAT M MUKHTAR","+ 91  9876544408","SHOP NO 6, hari om avenue, Amritsar - 143001, near mandir"
"Devgan medicos","+ 91  9115069366","Main road, Gopal nagar, Amritsar - 143002, Near main chowk"
"NIRAJ MEDICARE","+ 91  9872086666","Shop no 10, lawrence road, Lawrence Road, Amritsar - 143001, near ritu wear"
"Niraz Medicare Vichy","+ 91  183 2566787","10,Dilwari Mkt, Lawrence Rd, Amritsar - 143001, Opp ICICI Bank"
"BHARAT HERBAL PHARMACY","+ 91  9888763342","Court Atma Singh Road, Amritsar - 143001, Near Bus Stand"
"Mahajan medical store","+ 91  183 2222292","Bijli pehalwan mandir, Lawrence Road, Amritsar - 143001, Near bbk dav college"
"Apollo Pharmacy","+ 91  9100023991","Amritsar, Punjab, Baba Phulla Singh Market, Amritsar - 143001"
"Guru nanak medicos","+ 91  9592408533","Shop no.b6, sultanwind road, Amritsar - 143002, near Grd Hospital"
"JANTA MEDICOS","+ 91  9872184609","Main road, circular road, Amritsar - 143006, Opp guru ram das charitable hospital"
"GURU NANAK MEDICOS","+ 91  9876335140","new gokal ka bagh, 100 feet road, Amritsar - 143002, near ram ji mandir"
"Guru nanak medicos","+ 91  9914141320","Shop no 46, Circular road, Amritsar - 143002, Opp.guru ram dass hospital"
"Mahajan Medical Store","+ 91  7508383321","Bijli Pehalwan Mandir, Lawrence Road, Amritsar - 143001, Near Bbk Dav College"
"SEHAT PHARMACY","+ 91  9988108627","SHOP NO-1, putlighar, g.t road, Putligarh, Amritsar - 143002, opp guru nanakwara"
