"Name","Phone","Address"

"Star Yamaha","+ 91  522 3915077",""
"P R Motors Authorised Deale...","+ 91  522 4114877",""
"Shreya Autoworld Pvt Ltd","+ 91  522 4037677",""
"JPS Bajaj","+ 91  522 2406666",""
"Jugal Kishore Honda","+ 91  522 2340720",""
"Sun Motors","+ 91  522 4153456",""
"JP Honda","+ 91  9935959595",""
"Pushpa Bajaj","+ 91  522 6590004",""
"Vijay Honda","+ 91  522 3230870",""
"SPEED MOTOR CO","+ 91  522 2283451",""
"Ktm Kawasaki Showroom","+ 91  522 6590006",""
"Royal Enfield","+ 91  522 6569352",""
"Mehul Automobiles","+ 91  522 4077753",""
"Megha Bajaj","+ 91  522 2756194",""
"P5 Motors","+ 91  522 2441003",""
"Dsk Hyosung","+ 91  522 4028606",""
"Beeaar Honda","+ 91  522 6555533",""
"Narayan Motors","+ 91  9839751686",""
"Bhavya Automobiles","+ 91  8756400777",""
"Trilok Singh & Co","+ 91  522 2286254",""
"Republic Auto Sales","+ 91  522 4057429",""
"Nirman Auto Sales","+ 91  522 2752223",""
"Rastogi Automobiles","+ 91  522 6540424",""
"Akash Automobile","+ 91  522 2463131",""
"Speed Motor Company","+ 91  522 2756192",""
"A Automovers PVT LTD","+ 91  522 3201517",""
"Royal Enfield","+ 91  522 2670670",""
"Goel Motors","+ 91  522 6563585",""
"Speed TVS","+ 91  9336099106",""
"Moped House","+ 91  522 2224646",""
"Pushpa Sales","+ 91  9935977077",""
"Motion Automobiles Pvt Ltd","+ 91  522 3015001",""
"Allianze Suzuki","+ 91  522 2757775",""
"Goldras Sales & Service Ltd","",""
"Yadav motors","+ 91  7860023609",""
"Suzuki Motors Sapru Marg","+ 91  522 2202715",""
"Sandeep Automotives","+ 91  9839707883",""
"Classic Yamaha","+ 91  9695539317",""
"Autonagar.Com","",""
"Bajaj Genuine& Parts","+ 91  9839768512",""
"A.K Motors","+ 91  522 3222524",""
"Sunny Automobiles","+ 91  522 2275590",""
"M B ENT","+ 91  522 2352415",""
"Hanuman Auto Parts","",""
"Habiba Yo Bike","+ 91  522 3247469",""
"Zoom Enterprises","+ 91  8090058895",""
"Bajaj Auto Ltd","",""
"Adeeba Auto","",""
"LML Ltd","+ 91  522 2691181",""
