"Name","Phone","Address"

"Dogs & Pups Pet Shop & Clinic","+ 91  8799255500",""
"Hobby Pet Shop","+ 91  522 4043619",""
"Pet Buddies","+ 91  522 2328869",""
"Royal Pet Clinic And Surgic...","+ 91  9369880514",""
"Nitins Pet","+ 91  522 3070578",""
"GURMEET PET SHOP","+ 91  9335470001",""
"NITINS PET","+ 91  9389974819",""
"Aliganj pet shop and clinic","+ 91  9919349393",""
"NANCY FISH AQUARIUM& PET SHOP","+ 91  9506403330",""
"CHITRA PET BREEDING AND CRECHE","+ 91  8960394054",""
"V Care Dog & Cat Clinic","+ 91  9415437358",""
"Zoo Land Dogs Cats Birds Fish","+ 91  522 4025583",""
"Om Medical Store","+ 91  522 2239372",""
"Nature N Pets","+ 91  9336920188",""
"SHAAN AQUARIUM","",""
"PET-O-MANIA","+ 91  9044825099",""
"ALIGANJ PET SHOP","+ 91  8090665555",""
"Pappu Pet Shop","+ 91  9005022122",""
"Pets Planet","+ 91  8960444416",""
"Chitra Pet Place","+ 91  8960394054",""
"Pets Mart","+ 91  9794220000",""
"Nancy Aquarium & Pet Store","+ 91  9506403330",""
"Golu Pet Shop & Aquarium Home","+ 91  9580487194",""
"MEW N BOW","+ 91  7081285540",""
"Calven Pet Accessories","+ 91  8858745518",""
"CANIN PET CARE & CLINIC","+ 91  9919998777",""
"Pet World","+ 91  522 3987654",""
"PETS PLANET","+ 91  9936273816",""
"Pet Planet","+ 91  9235650078",""
"Cummins Bridgeway","+ 91  522 5731600",""
"NATURE n PET","+ 91  522 6055220",""
"THE AQUARIUM POINT","+ 91  8004122226",""
"Pet Point","",""
"P P Kennel","+ 91  9026450005",""
"Negi Pet Services","+ 91  9250010420",""
"Pradeep Pets Shop","+ 91  9616638915",""
"Kumar Pet Shop","+ 91  9628555707",""
"Pets gallery","+ 91  9956436340",""
"Pets Gallery","+ 91  8858123452",""
"Pet buddies","+ 91  7270957514",""
"Kunal Pet Care Aids Veterinary...","+ 91  522 4001176",""
"WAY 2 PETS","+ 91  9616787968",""
"Satguru Kannel","+ 91  9721368779",""
"OM PET SHOP","+ 91  9415024831",""
"Om pet shop","+ 91  9621084180",""
"SARATHI PET CLINIC","+ 91  9415834389",""
"Sarthak Pet Clinic","+ 91  8948136737",""
"Smith fancy fish & gift shop","+ 91  8924010816",""
"PET ZONE","+ 91  522 3027645",""
"Smith Fancy Fish & Pets shopee","+ 91  522 4012393",""
"Just Pets","+ 91  9506890890",""
"Pets world","+ 91  8960439943",""
"GOLU PET SHOP & AQUARIUM HOME","+ 91  9044157100",""
"Pet planet","+ 91  7895488242",""
"PET LIFE LINE HOSPITAL","+ 91  9044793000",""
"JSM DOG CARE CENTER AND PET MALL","+ 91  9369161344",""
"RELITE PET GALLERY","+ 91  9336279032",""
"Dog& cat pet shop","+ 91  9044131633",""
"P U P S","+ 91  522 4115470",""
"Wonstep Kennel & Pet Shop","+ 91  8303575155",""
"PETS GALLERY","+ 91  9795369040",""
"GOLU PET SHOP","+ 91  7526073335",""
"Just pets","+ 91  9721523324",""
"Pet Lifeline Hospital","+ 91  7505342868",""
"Golu Pet Shop & Aquarium Home","",""
"Royal Pet Shop","+ 91  9305397130",""
"Asad Dog Trainer","+ 91  8726845944",""
"PAWS AND FINS","+ 91  9450616619",""
"Praveen Kumar Malviya","+ 91  9889650950",""
"Dogs and cat pet shop","+ 91  8009099175",""
"VISHAL PET SHOP","+ 91  8960473244",""
"Pet o mania & aquatic section","+ 91  9169628885",""
"Indira Nagar Pet Clinic","+ 91  9042571016",""
"Indira Pet Shop","+ 91  7619032015",""
"Rahul Pet Shop","+ 91  8737019037",""
"PET ADDICTION","+ 91  7348030961",""
"Sonu Gernral. Store","+ 91  8115837703",""
"ALIGANJ pet shop","+ 91  8175070770",""
"PET STOP","+ 91  9956388812",""
"DEEPAK OPTICALS","+ 91  8005000045",""
"Canine care unit","+ 91  9235885409",""
"Amrish Pet Shop","+ 91  8354928810",""
"R.S. PET CARE","+ 91  9415517925",""
"Dr Nagendra Gupta Kunal Pet Ca...","+ 91  9838003789",""
"Kunal Pet Care Clinic","+ 91  9838003789",""
"TOSTY PET HOME","+ 91  9889291717",""
"Royal pet shop","+ 91  9792422419",""
"Shivanjana Pet Care & Resort","+ 91  9307878930",""
"Pet care clinic","+ 91  7525885586",""
"Guddu Pet Shop","+ 91  9838639793",""
