"Name","Phone","Address"

"I P Lex Global Services","+ 91  80 33762906",""
"P4 Management Consultants","+ 91  80 33057970",""
"Saai Tqm Solutions","+ 91  80 33059921",""
"N R Naidu And Co","+ 91  80 33762726",""
"Simha And Co","+ 91  80 33762170",""
"Synergy Projects And Busine...","+ 91  9242161638",""
"DreamCity Management India ...","+ 91  80 33674505",""
"Progressive Consulting & Bu...","+ 91  22 24940131",""
"Ttoys Bazar Pvt Ltd","+ 91  141 3304949",""
"Shri Ss Global Ventures","+ 91  422 4359777",""
"Eskay Advisors & Consultants","+ 91  9630045305",""
"Cognizant Technology Solutions...","+ 91  80 66808000",""
"Dell International Services Li...","+ 91  80 28419115",""
"Jones Lang Lasalle","+ 91  80 41182900",""
"HP Globalsoft Ltd","",""
"Adishwar Marketing Ltd.","+ 91  80 25734181",""
"Indianmoney.Com","+ 91  80 67974000",""
"Indus Entrepreneurs","+ 91  80 41474567",""
"Time Analytic & Shared Service...","+ 91  80 71057100",""
"Crossdomain Solutions Private ...","+ 91  80 22122774",""
"Headstrong Services India Pvt Ltd","+ 91  80 41981000",""
"Yaccess Inc","+ 91  80 40923028",""
"Indo Japan Chamber Of Commerce...","+ 91  80 26580466",""
"Frost & Sullivan","+ 91  80 61606666",""
"Ascendas Services India Pvt Ltd","+ 91  80 41880000",""
"Franchise India Brands Ltd","+ 91  80 65691423",""
"Enzen Global Solutions Pvt Ltd","+ 91  80 67123002",""
"Source Technologi","+ 91  9880116457",""
"Bni Advantage Network","+ 91  80 41425024",""
"Radiant Infosystems Pvt Ltd","+ 91  80 26767702",""
"Levtech Consulting Services In...","+ 91  80 41104242",""
"Medverve Health Care Pvt Ltd","",""
"Holiday Village","+ 91  80 26635263",""
"The Associates","+ 91  80 22250217",""
"Realbridge Consulting PVT.LTD","+ 91  80 41217608",""
"Facilities & Building Solution...","",""
"Mott Macdonald","+ 91  80 39973548",""
"RR Investor Capital Services P...","+ 91  80 42477177",""
