"Name","Phone","Address"

"N V REPAIR AND SERVICES CENTER","+ 91  183 5059888","Shop no 58 FF, Lawrence road, Amritsar - 143001, Near Kanika computers"
"Sify I Way","+ 91  183 5008689","Scf-22, Amritsar - 143001, Kabir Park, Opp Gndu Park"
"Studio One","+ 91  183 2546902","Near Subhash Juice Bar, Gaggarmal Road, Katra Sher Singh, Amritsar - 143001"
"V Goyal Finance Service","+ 91  183 2506881","Amritsar - 143001, Nehru Cpmlx, Lawrence Road"
"RAHUL RO SERVICE","+ 91  9876097206","kot khalsa, Amritsar - 143001, Near 22 no phatak"
"A ONE ELECTRONIS","+ 91  9464021746","Main bazar, Pawan nagar, Amritsar - 143001, Chowk Krishna square 2"
"King Group Security Services(R...","+ 91  183 2277108","Shop No-12-13, Above Sikka Gas Agency, Near Celebration Mall, Batala Road, AMRITSAR - 143001"
"Skyway Mangement Services","+ 91  9824523372","Lawrence Road, Amritsar - 143001"
"Horizon Computer Services","+ 91  183 2277441","60, New Pawan Nagar, Amritsar - 143001, Gagan Colony, Backside Celebration Mall"
"B. R. MOBILE SERVICES","+ 91  9815170526","Shop no. 2, New Market, Lawrence Road, Lawrence Road, Amritsar - 143001, Opposite Ritu Wears"
"Saini computer service","+ 91  9814273855","1 st floor, 17/4, Kennedy avenue, Amritsar - 143001"
"Arora pest damp seal service","+ 91  183 5062677","SHOP NO 2, LAWRENCE ROAD, Lawrence Road, Amritsar - 143001, OPPOSITE SBI BANK"
"Bittu Catering Services","+ 91  9646008209","H.No:- 2445/16, Gali Phatwali, Mahant Bharthari Das, Sultant Wind Gate, Amritsar - 143006"
"Bhalla Service Station","+ 91  9814523492","95, Near Durgiani Temle, Amritsar - 143006, City Amritsar"
"A one dye cleaner","+ 91  7837361710","shop no.8, Amritsar - 143006, near Hindu Sabha post office"
"A P Art Service","+ 91  9814211313","H No-A3284/14, Street Number-7/8, Main Road, Haripura, Amritsar - 143006, Near Sharma Flour Mills"
"get energy services","+ 91  9815366430","273/H, 100 Ft. Road, East Mohan Nagar, Amritsar - 143006"
"Saini Computer Services","+ 91  183 5009034","17/4 Kennedy Avenue, Amritsar - 143001"
"Ascend Global Travel & Oversea...","+ 91  183 5098372","4th Floor Eminent Mall,Kennedy Avenue, Mall Road, Amritsar - 143001, Near New Passport Office"
"Dtdc domestic and internationa...","+ 91  9781921454","MAIN BATALA ROAD, opposite 4S Complex, Amritsar - 143001, near Randhawa International Hotel"
"Ganpati refrigerator services","+ 91  9417171972","1, Amritsar - 143001, Batala road ,tip top dry cleaners"
"SUMIT ELECTRIC SERVICE","+ 91  9041725265","haripura, Amritsar - 143002, near shani mandir"
