"Name","Phone","Address"

"I Mart","+ 91  80 39629225",""
"SAFFAL FRANCHISE STORE GURU...","+ 91  80 33530273",""
"Kavana Stores","+ 91  80 33091027",""
"Sri Ayyappa Traders","+ 91  80 33644031",""
"Maataji Privision Store","+ 91  80 33530298",""
"Krishna Super Bazaar","+ 91  80 33083057",""
"Boonies The Grocers","+ 91  80 33561269",""
"Yemkay Supermarket","+ 91  80 33518340",""
"Shariff Stores","+ 91  80 33052762",""
"Vinayaka Provision Store","+ 91  80 33566948",""
"Mathaji Provesion Store","+ 91  80 33566920",""
"New Kapali Traders","+ 91  80 33762396",""
"Sri Lakshmi Venkateshwara R...","+ 91  80 30119085",""
"Rajeshwari Traders","+ 91  80 33644890",""
"Sri Siddalingeshwara Traders","+ 91  80 33566136",""
"Lakshmi Venkateshwara Traders","+ 91  80 33083606",""
"Buy Right Super Store","+ 91  80 33059773",""
"Faizan Provision Store","+ 91  80 39629017",""
"Madeena Supermarket","+ 91  80 33619929",""
"Value Retail","+ 91  80 33762342",""
"HOME NEEDS SUPER MARKET","+ 91  80 33618025",""
"Village Hypermarket","+ 91  80 41156444",""
"Amex Supermarket","+ 91  80 41260888",""
"S G Provision Store","+ 91  80 33673283",""
"farms2cons","+ 91  80 33642230",""
"SVBS Group","+ 91  80 33792389",""
"Chowdeshwari Rice Traders","+ 91  80 33292554",""
"Twilight Store","+ 91  80 33644982",""
"Metro Cash & Carry India Pvt Ltd","18602662010",""
"Big Bazaar","+ 91  80 40993737",""
"D Mart","+ 91  80 23505620",""
"Big Bazaar","+ 91  80 40981414",""
"Star Bazaar","+ 91  80 25535222",""
"Shivananda General Stores","+ 91  80 22287519",""
"Godrej Natures Basket","+ 91  80 41317401",""
"Star Bazaar","+ 91  80 28606700",""
"Godrej Natures Basket","+ 91  80 25207401",""
"Spar Hypermarket","+ 91  80 39378500",""
"Hypercity Retail India Pvt Ltd","18002097172",""
"Godrej Natures Basket","+ 91  80 23623401",""
"Hypercity Retail India Pvt Ltd","18002097172",""
"Godrej Natures Basket","+ 91  80 22487401",""
"Namdharis Fresh","+ 91  80 22441893",""
"Godrej Natures Basket","+ 91  80 25459401",""
"Godrej Natures Basket","+ 91  80 28544401",""
"Spar Hypermarket","+ 91  80 25507040",""
"Balaji Departmental Stores","+ 91  80 26547206",""
"Spar Hypermarket","",""
"Family Supermarket","+ 91  80 42161680",""
"More For You","+ 91  8033141777",""
"M K Ahmed Supermarket","+ 91  80 23300541",""
"Namdharis Fresh","+ 91  80 41152909",""
"Reliance Fresh","+ 91  80 22965252",""
"Nilgiris supermarket","+ 91  7022875279",""
"Namdharis Fresh","+ 91  80 42059323",""
"Namdharis Agro Fresh pvt ltd","+ 91  80 25474932",""
"Shop Rite Supermarket","+ 91  80 26790531",""
"Nilgiris Supermarket- Sri Deep...","+ 91  80 40966712",""
"Ample Mart","+ 91  80 26539619",""
"Nilgiris Supermarket","",""
"City Super Bazaar","+ 91  80 41485991",""
"Namdharis Fresh","+ 91  80 26794033",""
"Namdharis Fresh","+ 91  80 41648899",""
"Top In Town Hyper Bazaar","+ 91  80 42352244",""
"Anand Brothers","+ 91  80 25588106",""
"Sana Super Mart And Ruba Traders","+ 91  80 26782766",""
"LOYAL CITY HYPER MARKET","+ 91  80 65611159",""
"Sangam direct supermarket","+ 91  80 23300303",""
"Med Plus","+ 91  80 25632017",""
"Food basket","+ 91  9886051022",""
"Top In Town","+ 91  80 25216363",""
"Green Mart Supermarket","+ 91  80 26711717",""
"Namdharis Fresh","+ 91  80 28602168",""
"De Needs Hyper Bazzar","+ 91  80 23455884",""
"Freshco Hypermarket","+ 91  80 22576555",""
"CITY PEARL","+ 91  8123232312",""
"PNP Mahek Hyper Store","+ 91  80 42140184",""
"GOOD FOOD STORE","+ 91  80 42148666",""
"Mamtha Stores","+ 91  80 25512602",""
"SMS BIG BASKET","+ 91  9591225052",""
"Good Food Store","+ 91  80 41407444",""
"Lamcy Home Shoppee","+ 91  80 25348500",""
"Food Basket","+ 91  9731179999",""
"Punjab Store","+ 91  80 25328686",""
"Shopping Day","+ 91  80 23515000",""
"Good Food Store","+ 91  80 41712666",""
"New City Supermarket","+ 91  80 25343755",""
"Burma Super Market","+ 91  80 25344777",""
"Uma Shankar T T Traders","+ 91  80 23371032",""
"Sunrise Super Market","+ 91  80 42126644",""
"Sri Sai departmental store","+ 91  80 69999717",""
"Annapoorna Traders","+ 91  80 41100299",""
"Heritage Fresh","+ 91  9343544174",""
"more super market","+ 91  9916376757",""
"Haldiram Savouries & Sweets Pv...","+ 91  80 51154467",""
"Golden Food Hospitality","+ 91  80 25490006",""
"City flowers","+ 91  8970407085",""
"Sri Bhagyalakshmi Trading Corp...","+ 91  80 26708492",""
"Foodworld","+ 91  80 32466375",""
"We Mart Super Market","+ 91  8088747542",""
"E.K MART","+ 91  80 26483003",""
"Vittals The House Of Rice","+ 91  80 23313033",""
"Ample Mart","+ 91  9686047299",""
"EK Retail","+ 91  80 26487271",""
"T S Gopalaiah Stores","+ 91  80 23464187",""
"Annachi Restaurant","+ 91  80 51261182",""
"New Mangalore Stores","+ 91  8861290221",""
"Orange Supermarket","+ 91  80 23415794",""
"Ideal Mart","+ 91  80 23500064",""
"Namdharis Fresh","",""
"7 DAYS SuperMarket","+ 91  80 40900647",""
"Carrefour department store","+ 91  9844397906",""
"Regal Stores Russel Market","+ 91  80 25592228",""
"Fairway Shoppe","+ 91  9686195986",""
"Happyland Supermarket","+ 91  80 42091009",""
"LANDMARK","+ 91  9902956153",""
"Hypercity Grocery Store","+ 91  8002097172",""
"Live in hastimal Gheewalas","+ 91  80 41101620",""
"Nilgiris","+ 91  80 65959525",""
"Sapna Stores","+ 91  9845436557",""
"ITC Ltd (Factory)","",""
"Bangalore Hoticulture Fruit & ...","+ 91  80 26783831",""
"Namdharis Fresh","+ 91  80 25395201",""
"Shanthi Traders","+ 91  80 22441695",""
"Safal Daily Fresh","+ 91  9740014728",""
"Safal Daily Fresh","+ 91  80 28458360",""
"Himalaya Provision Stores","+ 91  9060700234",""
"TAJ STORES","+ 91  80 25469434",""
"All Seasons Super Market","+ 91  80 25343843",""
"P K Departmental Stores","+ 91  80 28457301",""
"Bharath Traders","+ 91  80 26910852",""
"Capital hyper market","+ 91  9035412244",""
"Nilgiris","+ 91  8064532210",""
"J K Traders","+ 91  80 26727863",""
"Nilgiris","+ 91  80 25503511",""
"Fresh And More Supermarket","+ 91  80 26485551",""
"Parameshwari Traders","+ 91  8453321874",""
"Bangalore Rice Traders","+ 91  80 22227744",""
"Multiplex Supermarket","+ 91  80 41159877",""
"M K Ahmed Super Shoppe","",""
"Food Maxx Super Market","+ 91  80 25349660",""
"Nagashree Buy N Save","+ 91  80 41683414",""
"Athulya Departmental Store","+ 91  80 23592437",""
"Allday Supermarket","+ 91  80 42332422",""
"Bangalore Rice Traders","+ 91  80 25503299",""
"R B Super Market","+ 91  9448430826",""
"Neulife Store","+ 91  80 41539952",""
"Ace Iyengar Home Products","+ 91  80 26531625",""
"Ooty Provision Stores","+ 91  9845779125",""
"Shakthi Traders","+ 91  80 32216655",""
"Just Organics","+ 91  80 42282133",""
"Royal Super Market","+ 91  80 25979078",""
"Bellandur Departmental Provisi...","+ 91  80 60504363",""
"Fine Foods","+ 91  7204506720",""
"Namdharis Fresh","+ 91  80 26726160",""
"G Fresh Organic","+ 91  80 33762496",""
"geetha stores","+ 91  9845619333",""
"Mahalakshmi General Stores","+ 91  80 25703116",""
"Home Shopping Center","+ 91  80 22903212",""
"Farm Fresh","+ 91  80 26395361",""
"Value Vision Optical Store","+ 91  8064358888",""
