"Name","Phone","Address"

"Parijat Tour And Travel","+ 91  522 3227036",""
"S R Tours & Travels","+ 91  522 4600000",""
"King Cabs Travels Pvt Ltd","+ 91  522 2424588",""
"Gayatri Travels","+ 91  522 4021621",""
"Narayan Travels","+ 91  7607003242",""
"Comet Commercial Travels","+ 91  522 4955541",""
"Woodpecker Travel & Tours P...","+ 91  522 4063377",""
"Unique Travels","+ 91  522 4046787",""
"Shri Shri Maa Shubh Yatra","+ 91  522 3207912",""
"Mishra Car Rental","+ 91  7275920510",""
"Ummy Travels","+ 91  522 6529999",""
"VAISHNO TRAVELS","+ 91  522 2231936",""
"Reliable Travels","+ 91  522 2465102",""
"Rayhan Travel House Pvt.Ltd.","+ 91  522 4040091",""
"Ascent Travels","+ 91  522 4081810",""
"Gst Holidays & Tours","+ 91  522 4109500",""
"24X7 Tour & Travels","+ 91  9795406146",""
"SAURABH TRAVEL AGENCY","+ 91  8853101010",""
"SANSKAR TOURS & TRAVEL","+ 91  522 4027737",""
"Reliabletrip Pvt Ltd","+ 91  522 4068438",""
"Shailu Tours & Travels","+ 91  522 2326694",""
"Limra Tour & Travel","+ 91  522 2987890",""
"Ibrahim Tours & Travel","+ 91  522 4105687",""
"Rinku Transport Services","+ 91  9839009648",""
"space express","+ 91  522 4000320",""
"LIMRA VACATIONS TRAVEL SERV...","+ 91  522 6059844",""
"Celebration Tour & Travels","+ 91  522 2735985",""
"Xpress Tour & Travels","+ 91  522 4077786",""
"A K Tour & Travel","+ 91  7505898548",""
"Xpress Tour & Travels","+ 91  522 4954786",""
"Maa Vaishno Tour & Travels","+ 91  522 4028185",""
"Your Holiday Planner","+ 91  522 4103510",""
"Hilsl Tours And Travels","+ 91  522 4028099",""
"Space Tours And Travels","+ 91  522 4000320",""
"Manoram Tours","+ 91  522 4075636",""
"Hitech Holidays","+ 91  522 4025715",""
"Bishakha Services","+ 91  522 4069555",""
"Neelam Tour & Travels","+ 91  7860869143",""
"JOURNEY TRAVEL AND TOURISM","+ 91  522 4044166",""
"Dev Deep Tour & Travel","+ 91  522 4043273",""
"Kkm Travels","+ 91  522 2200513",""
"Hotel Amar Prem","+ 91  9889085000",""
"Best Flights Centre Pvt Ltd","+ 91  522 4047392",""
"Sanjay tours and travels","+ 91  522 4045360",""
"SUNRISE TOUR & TRAVELS","+ 91  522 4037861",""
"Jmb Tours & Travels","+ 91  9005920007",""
"Prime Travel Solution","+ 91  522 4071114",""
"Safar India Travel Desk","+ 91  522 4951200",""
"Simply India Holidays Pvt.Ltd","+ 91  522 4072275",""
"Delight Travelinks","+ 91  522 4041597",""
"Trip Musafir","+ 91  522 4077404",""
"Jmb Tour & Travel","+ 91  9005920007",""
"Lucknow Travels","+ 91  522 3012756",""
"D Bass Enterprises","+ 91  522 2213176",""
"Sun travels","+ 91  9026991372",""
"Brahmaand Holidays Pvt Ltd","+ 91  522 6540777",""
"Traveloventures","+ 91  9559080777",""
"Makemytrip.com","+ 91  522 4078687",""
"Akbari Tours & Travels","+ 91  9621776263",""
"Desire Destination Tours & Tra...","+ 91  522 4929999",""
"Yatra.com","+ 91  9555800800",""
"Shatabdi Travels & Tours","+ 91  522 2720045",""
"Akbartravels.com","+ 91  522 2630888",""
"M D Travels","+ 91  8726657979",""
"Akbar Travels Of India","+ 91  522 3010642",""
"Riya Travel & Tours India Pvt Ltd","+ 91  9935147492",""
"Shatabdi Travel & Cargo","+ 91  522 2218135",""
"COX And Kings LTD.","+ 91  9305931902",""
"Hollywood Indian travel","+ 91  522 4006782",""
"Mayfair Airtravel Services PVT...","+ 91  522 3018600",""
"Sheeraz Tours Pvt. Ltd.","+ 91  522 2200678",""
"Pearl International Tours & Tr...","+ 91  522 4034513",""
"Balmer Lawrie & Co Ltd","+ 91  522 4931700",""
"Thomas Cook India Ltd (Travel ...","+ 91  522 6459045",""
"Sahil travel service","+ 91  9621521999",""
"New Awadh Tour & Travels","+ 91  9651434680",""
"State Travels","",""
"Mirza Tours & Travels","+ 91  9889374944",""
"UAE EXCHANGE AND FINANCIAL RVICES","+ 91  9935513230",""
"Mvt Travels","+ 91  522 4005927",""
"Vineeta E Tickets","+ 91  522 4006005",""
"Thomas Cook India Limited","+ 91  522 4114011",""
"Rajdhani Travels","+ 91  522 4081476",""
"Singh Tour & Travels","+ 91  8188997111",""
"Gulf Tours & Travels Pvt Ltd","+ 91  522 3249186",""
"Delhi Travel House","+ 91  522 4113567",""
"City Link Travels","+ 91  522 4016019",""
"TRAVELS KART","+ 91  522 2759156",""
"Awadh Travel","+ 91  9235605019",""
"Gati Travel & Tours","+ 91  9889381588",""
"Zaireen Travels Pvt Ltd","+ 91  522 2286545",""
"The Solution Maker","+ 91  9919101876",""
"Magic Holidays","+ 91  522 6714900",""
"Mirza Travels","+ 91  522 4049177",""
"R. S. Travels","+ 91  9919540017",""
"Uttar Pradesh Tourism","+ 91  522 2612659",""
"Dudhwa Tours & Travels","+ 91  9335555492",""
"EASY BREAK TRAVELS","+ 91  522 4025152",""
"Raj International Tours & Travels","+ 91  522 6573736",""
"J B TRAVEL & TOURS","+ 91  522 4024499",""
"Safiya Travels","+ 91  522 4103541",""
"Aliza Tours Pvt Ltd","+ 91  522 6458325",""
"AL AKBAR TRAVELS","+ 91  8081527513",""
"Pay World","+ 91  522 3292121",""
