"Name","Phone","Address"

"Arora tyre works","+ 91  9878681261","Shop no : 19, Krishna Square, Amritsar - 143001, Opp Vidya Bhawan school"
"Suresh Tyre Wala","+ 91  9888238594","Shop Number 71, G T Road, Amritsar - 143001, Ram Lalai Mandir, Jhahgarh, Kabari Market"
"Kashmir tyre","+ 91  7837699413","Baba phulla singh market, Amritsar Bus Stand, Amritsar - 143001, Opp.shera wala gate"
"RAGHU TYRE HOUSE","+ 91  9417014957","SHOP NO c-6,c-7, opposite IDH market, Amritsar Bus Stand, Amritsar - 143001"
"SHAM TYRE HOUSE","+ 91  9914369701","SHOP NO 31-32, OLD TYRE MARKET, Amritsar Bus Stand, Amritsar - 143001, MAHAN SINGH GATE"
"Bhullar rim style","+ 91  8557840471","Bypass, Mjitha Verka highway, Amritsar - 143001, Near dharam kanda"
"K S TYRE","+ 91  9780779984","Shop no 19-20, Tyre market, Amritsar - 143001, Mahan singh gate"
"Jasbir tyre house","+ 91  9988083985","Shop no 21, Tyre market, Amritsar Bus Stand, Amritsar - 143001, Opp.idh market"
"Gurbachan Tyre Works","+ 91  9988678251","Shop No 24-25-26, Mahan singh gate, Amritsar Bus Stand, Amritsar - 143001, Opp.idh market"
"Yamha Sharma Brother","+ 91  9888548736","Oustside Hall Gate, Amritsar - 143001, Opposite Hotel Revoli"
"naresh cycle service","+ 91  9888227102","shop no : 4, Amritsar - 143001, near canal bank"
"NATIONAL AUTOS","+ 91  9779880002","Hall Bazaar, Hall Bazar, Amritsar - 143001, Opp. Giani Dhaba"
"hardiyal singh & sons","+ 91  9463185936","coyrt road, Amritsar - 143001, near railway station"
"G S Cycle Store","+ 91  9643225436","Shop no:, Railway Station, Amritsar - 143001, Cycle Market"
"G D MOTORS","+ 91  9646429125","Kabir park market, Amritsar - 143001, Opp.sandhu colony"
"Prakash Tyre World","+ 91  9814682929","Amritsar Road, Ajnala, Amritsar - 143102, Opposite Bus Stand"
"Guru Nanak Tyres","+ 91  9876644394","Shop No 10,12, OUTSIDE HALL GATE, Amritsar - 143001, Opp. Sagar Hotel"
"Chahal Tyre World Pvt Ltd","+ 91  183 2702081","G T Road, Amritsar - 143001, Taranwala Bridge, Opposite New Amritsar"
"BUNTY AUTO WORKS","+ 91  7837009841","canal office majitha house, Rani Ka Bagh, Amritsar - 143001, Near Rani ka bagh"
"VINOD TYRES WORK","+ 91  9988552001","Court road, Amritsar - 143002, Near Rialto cinema"
"SATKARTAR ENRERPRISES","+ 91  183 3093766","9-B, O/s Hall gate, Amritsar - 143001, Near Bhandari Bridge"
"K D Tyre Shopee","+ 91  7508811313","Shop Number 3-10, Batala Road, Krishna Square, Amritsar - 143001, Near Celebration Mall"
"Saini auto dealer","+ 91  9592091066","Majitha road, Amritsar - 143001, Near canara bank"
