"Name","Phone","Address"

"Pal Tour & Travels","+ 91  9888271240","Amritsar - 143001"
"Arjun Tour & Travels","+ 91  9915817004","191/8, Amritsar - 143001, Bazar Bajrang, In Side Lohri Gate"
"Linkan Tour Travels","+ 91  8437979013","G T Raod, Amritsar - 143001, Opposite Ocm Mills"
"Gurdev Singh Tour & Travel","+ 91  8528704813","Pind Udhoke Kalan, Amritsar - 143001"
"Amar Tour & Travels","+ 91  183 2234341","Amritsar - 143001, Nr. Bus Stand"
"Katyal Taxi Stand","+ 91  183 2235038","Railway Road, Amritsar - 143001, Opp. Darshan Auto House"
"Bablu Taxi Stand","+ 91  9872167442","Amritsar - 143001, Opposite Ram DAS Sarai,Golden Temple"
"Harpal Tour & Travel","+ 91  9872316751","Amritsar - 143001, Village Chado Wali, Jatipur"
"Baba Deep Singhji Tour & Travels","+ 91  9855300518","Shop No 16 Baba Deep Singh Market, Amritsar - 143001"
"Baba Deep Singh Tour & Travels","+ 91  9814244156","Amritsar - 143001, Village Naushera, P O Pull Tibri Gurdaspur"
"Vicky Bhal Tour & Travels","+ 91  9988471455","Shivala Bagh Bhaiyan, Batala Road, Petti Wala Bazar, Amritsar - 143001, Parking Of Tieloki Nath Mandir"
"S K Tour & Travels","+ 91  183 2532255","Shop Number 36, Amritsar - 143001, Opposite Railway Station, Goal Bagh Taxi Stand"
"Arman Tour & Travels","+ 91  9779863933","Shop No: 21, Baba Bedhi Chand Market, Amritsar - 143001"
"Vijay Tour & Travel","+ 91  9914888476","Goal bagh, Amritsar - 143001, Opp.railway station"
"Manish Tour & Travels","+ 91  183 2563055","118, Amritsar - 143001, Joshi Colony, Near Market , The Mall"
"Chahal Taxi stand","+ 91  9914266215","Golden temple, Amritsar - 143001, Near baba attar sahib gurdwara"
"behal tours& travels","+ 91  9878044034","17 /1st floor kapoor plaza, quenz road, Amritsar - 143001, near popular bakery"
"Harjass Tour & Travels","+ 91  183 5061609","Shop No-7, Fateh Garh Churian Road, Amritsar - 143001, Near Bajwa Hospital"
"New Sourav Tour & Travels","+ 91  9779813898","Shop No- 45, Amritsar - 143001, Goal Bagh Opposite Railway Station"
"bon voyage tours & travel","+ 91  9592355055","30, Mall Road, Amritsar Kutchery, Amritsar - 143001, Opposite Eminent Mall"
"bon voyage tours & travel","+ 91  9592355055","30, Mall Road, Amritsar Kutchery, Amritsar - 143001, Opposite Eminent Mall"
"Sachdeva Tour & Travel","+ 91  9814716302","3120/9, Bazar Hargobindpura, Near Gate Hakima, Amritsar - 143006, gate hakiman"
"Happy Tour & Travels","+ 91  8196060389","Shop Number 2, Fathegarh Churian Road, Amritsar - 143002, Opposite St Jude School"
"Kuber Tour & Travels","+ 91  9316256742","Shop No 30, Hathi Gate, Amritsar - 143001"
"North King Tour & Travels","+ 91  9988956763","Hotel Ishita Residency Batala Road, Amritsar - 143001, Near Vijay Nagar Police Station"
"Bawa Tour & Travels","+ 91  9914101777","Naraingarh Chowk, Amritsar - 143001"
"Mohini Tour & Travel","+ 91  183 2258071","Deshmesh Avenue, Amritsar - 143001, Near Guru Nanak Dev University"
"CITY TRAVEL AMRITSAR","+ 91  183 5059007","shop no 69, 2nd floor, nehru shopping complex, Lawrence Road, Amritsar - 143001, Nr chaupati restaurant"
"Shri Krishna Tour & Travels","+ 91  183 2534444","Shop Number- 9, Katra Sher Singh, Amritsar - 143006, Super Market, Furniture Bazar, Near Hotel S S Residency, Near Regent Cinema"
"Aarav Tour & Travels","+ 91  8968829475",""
"Amritsar Commerce Education","+ 91  9815193154","2 old jail road, Care of Arora gift and greet, Amritsar - 143001, Ranjit avenue"
"Bhole Bhandari Tour & Travel","+ 91  9217527570","Shop No 22, O/S Hathi Gate, Amritsar - 143001, Opp.Shiv Puri"
"AMRITSAR OVERSEAS EDUCATION CO...","+ 91  183 9814797331","156 PRITAM NAGAR, 100FEET ROAD, Amritsar - 143001, NEAR DEEP BAKERY"
"HARPAL TOUR & TRAVELS (AMRITSAR)","+ 91  183 6059355","157/1 JAI INDER SINGH TRANSPORT NAGAR, Gt Road, Amritsar - 143001, backside bunrah petrol pump"
"Janta Tour & Travels","+ 91  183 2400432","Gt Road, Amritsar - 143001, Rly Station"
"Pawan Tour & Travels","+ 91  9872280873","Railway Rd, Beas, Amritsar - 143201"
"Amritsar Time Centre","+ 91  9872595935","Hall Bazar, Amritsar - 143001"
"Purewell Tour & Travels","+ 91  9814364212","Bhalla Colony, Chheharta, Amritsar - 143105, Near Radha Swami Dera"
"Dhan Dhan Baba Jalan JI Taxi S...","+ 91  9465477743",""
"Amritsar fertilizer agency","+ 91  9815191493",""
"Amritsar Engg Works East Mohan...","+ 91  183 2230524","21, Mohan Nagar, Amritsar - 143006, Goka Ka Bagh,East"
"Sahota Tour & Travels","+ 91  9815024010","Taxi Stand Sandhu Colony, G T Road, Chheharta, Amritsar - 143105, Near Indo Pipe factory"
"Gill Tour & Travels","+ 91  9779457333","Asr, Amritsar - 143001"
"Amritsar Marketing","+ 91  183 2545832",""
"Amritsar Woollen Mills","+ 91  183 2554973","1, Katra Sher Singh, Telephone Exchange Road, Amiritsar, AMRITSAR - 143001, Amritsar"
"MAA Arti Tour & Travel & Taxi ...","+ 91  183 2450671","G T Raod, Chheharta, Amritsar - 143105, Sandhu Colony"
"Bajwa Tour & Travels","+ 91  9814486549","Bhinder Colony, Amritsar - 143001, Tarn Taran Road,"
"Amritsar pet shop","+ 91  9888294318",""
"Amritsar Pulp & Board Mills PV...","+ 91  183 2503666","Jagdev Kalan Road, Gumtala,, Amristar, Amritsar - 143001"
"shri sai travels amritsar","+ 91  9780377601","wahga border road, gt, Naraingarh, Amritsar - 143105, near india gate"
"Pannu Tour & Travels","+ 91  9779982627","Amritsar - 143001, Guru Ram Dass Taxi Stand, Near Golden Temple"
"Amritsar Mobile Centre","+ 91  9872177770",""
"Amritsar Police Gas","+ 91  183 2402780","Azad Nagar, Amritsar - 143001, Police Lines"
"Nishan Hundal Tour & Travels","+ 91  9872262159","Patti Dhod Ki, Bundala, Amritsar - 143413, Vill Badala"
"Hunder Tour & Travel","+ 91  9465086236","Amritsar - 143001, Pind Chite Kla Near Khu Kache Wala"
"Amritsar Central Coop Bank LTD","+ 91  183 2508765","D-68, Amritsar - 143001, Ranjeet Avenue"
"Amritsar Electro Care","+ 91  9217895693","30 A Ff A Block Mkt, Ranjit Avenue, Amritsar - 143001"
"Kaler tour & travel","+ 91  9815517514","gulzar sahb di kothi, canrra bank, Majitha, Amritsar - 143601, near guru nanak hospital"
"Lucky Tour & Travels","+ 91  7837881830",""
"AMRITSAR AUTO DEALER","+ 91  9815722305","shop no 59, hukam singh road, Amritsar - 143001, opposite Company Bagh, Near Petrol Pump"
"Amritsar Computer Hut","+ 91  183 5053909","Showroom 4 5 Lawrance Plaza, Lawrence Road, Amritsar - 143001, Nr Pizza Hut"
"Sukha Tour & Travels","+ 91  9878297683","Jhandiala Guru,, Jandiala Guru, AMRITSAR - 143115, Opp. Patwarkhana"
"The Amritsar Electric Co (Clos...","",""
"Sunavar Tour & Travels","+ 91  9915083681","Bye Pass,Gt Road, Amritsar - 143001, Daburji"
"Amritsar Escorts co","+ 91  9872495586","Amritsar - 143001"
"Amritsar - Isw","+ 91  9888282155",""
"Jaswant Singh Gill Taxi Stand","+ 91  9814814327","Alho Kothi, Amritsar - 143001"
"amritsar hydraulics","+ 91  9193561329","Amritsar - 143001"
"Amritsar Battery House","+ 91  183 2524447",""
"Chanbir Tour & Travels","+ 91  9888071516",""
"SKYWAY TOUR & TRAVELS","+ 91  183 5030845","BABA NAMDEV ROAD,NEAR VALMIKI CHOWNK, Jandiala Guru, Amritsar - 143115, OPP ADVT.RAJ KUMAR MALHOTRA OFFICE"
"Amritsar Fruit Agency","+ 91  9815034032","Stall No - 20, 21, 22, Mewa Mandi, Amritsar - 143001"
"Amritsar digital color lab","+ 91  9780119123",""
"Wadwal Tour & Travels","+ 91  9914824924","Pind Boote Diyan Channa, Kaimwala, Amritsar - 143001"
"Amritsar Pagri House","+ 91  183 2541826","Chowk phawara, Golden Temple, Amritsar - 143006, Opp.post office"
"Sohal Tour & Travels","+ 91  9915616307",""
"Amritsar Marble House","+ 91  183 2220446",""
"HARMAN TOUR & TRAVEL","+ 91  9988625585","G.T ROAD JANDIALA GURU, Jandiala Guru, Amritsar - 143115, NEAR BIJLI GHAR"
"Amritsar School of Internet Ma...","+ 91  9592664555","SCO 88 III Floor, B Block Distt Shopping Complex, Ranjit Avenue, Amritsar - 143001, NR Hotel PR Residency"
"S I Tour & Travels","+ 91  9814960482",""
"Amritsar interiors","+ 91  9988829737",""
"Johal Tour & Travels","+ 91  8427268028","Thablke Road, Jandiala Guru, Amritsar - 143115"
"Amritsar Boot House","+ 91  183 2588249","Bazar MAI Sewan, AMRITSAR - 143006, Near Guru Bazar"
"Sharma Taxi Stand","+ 91  9872609194",""
"Amritsar Jewellers","+ 91  183 2558605",""
"M K Tour & Travels","+ 91  183 2258659","G T Road, Naraingarh Amritsar, Amritsar - 143106, O/S Krishna Mandir, Chheharta"
"Amritsar Woollen Mills","+ 91  183 2554881","1, Katra Sher Singh, Telephone Exchange Road,, Gandhi Bazar, Amritsar - 143006, Telephone Exchange Road,"
