"Name","Phone","Address"

"Gizmo Tech","+ 91  80 33518092",""
"Kundan Telecom","+ 91  80 33535857",""
"Vodafone Store","+ 91  8095561082",""
"Vodafone mine store","+ 91  7353823555",""
"Vodafone mine store","+ 91  9739822010",""
"Vodafone mini store","+ 91  9916199596",""
"Idea store MR ENTERPRISES","+ 91  9164591643",""
"Orange store","+ 91  9844012344",""
"SRI GANESH ELECTRONICS","+ 91  80 23602556",""
"Star mobiles","+ 91  9164004786",""
"Taj Telecom","+ 91  9886951332",""
"Reliance digital Rdx mini","+ 91  80 41557188",""
"Vardhman Jewellers","+ 91  80 26634781",""
"Balaji Enterprises","+ 91  9036308761",""
"RASHMI COMMUNICATIONS","+ 91  9844363361",""
"TRIVENI MOBILES","+ 91  80 41611221",""
"Sri Srinivasa enterprises","+ 91  9341259699",""
"M S V Enterprises","+ 91  9880095678",""
"Nanda recharge shop","+ 91  9886851547",""
"Mobile souls","+ 91  9742108476",""
"Ramesh Infotech","+ 91  9844764324",""
"VigneshwAra enterprises","+ 91  7847829066",""
"Sri Devi Mobiles","+ 91  9535551759",""
"Purkaj Shop","+ 91  9972420677",""
"Mobile Bazaar","+ 91  80 41644222",""
"S.K Mobiles","+ 91  9741896930",""
"Payal telecom","+ 91  80 40991213",""
"Syed mobile centre","+ 91  9886980068",""
"Royal Travels and Telecom","+ 91  9739786707",""
"Hayath Telelink","+ 91  9901220668",""
"N.S Enterprises","+ 91  9738386667",""
"S.S. Cell Point","+ 91  9686434363",""
"Mobile zone","+ 91  9845138887",""
"Sri balaji electronics","+ 91  8861747559",""
"Anagha graphics","+ 91  80 40997415",""
"KMS Mobile Shop","+ 91  9980846337",""
"SANTH ENTERPRISES","+ 91  7676690082",""
"Prakash Tele Links","+ 91  9880095779",""
"Raghu telecom","+ 91  9900935863",""
"G.K Mobile","+ 91  9880212137",""
"Mahalakshmi Telecommunications","+ 91  9972739215",""
"Bangalore tele link","+ 91  9901293323",""
"Jet speed recharge shop","+ 91  8970880778",""
"Balu recharge","+ 91  7204129841",""
"SMS ENTERPRISES","+ 91  9980589301",""
"Preethi currency","+ 91  9844416024",""
"Talk Time Communications","",""
"Yellamma Store","+ 91  7899968122",""
"Wireless access","+ 91  9743012506",""
"GIFT ARC","+ 91  9886002513",""
"Sri Vijayalakshmi Enterprises","+ 91  9880707934",""
"SRINIVASA ENTERPRISES","+ 91  9900194219",""
"Mobile recharge shop","+ 91  9916531655",""
"Sabir electronics","+ 91  9066501786",""
"Tribhuwan Enterprises","+ 91  9482161561",""
"Hemanth audio point","+ 91  8970878020",""
"Log in Internet cafe","+ 91  80 41722777",""
"Divya enterprises","+ 91  9611142511",""
"Sri Ramachandra shop","+ 91  8050400823",""
"Marudhar tele communication","+ 91  80 23361171",""
"Sri Mahalakshmi mobile and DTH...","+ 91  9980844936",""
"Mandara fashion","+ 91  9900798830",""
"Shivaya namah om mobiles","+ 91  9886969343",""
"Pk tell communication","+ 91  9972024617",""
"Sai Ram Mobiles","+ 91  9620524534",""
"S D P Stores","+ 91  8553312553",""
"Sajan techno links","+ 91  9844916809",""
"Cell Paradise","+ 91  9900799607",""
"Shruti Mstore","+ 91  9902441111",""
"Sri Sai Telecommunication","+ 91  9986464355",""
"Gruraj Enterprises","+ 91  9743000671",""
"SDS Enterprises","+ 91  9341310739",""
"SRI LAKSHMI MOBILES AND COMPUTERS","",""
"Gizmo mobile center","+ 91  9035188838",""
"Canara Electronics","+ 91  80 22902002",""
"M S MOBILE SOLUTION","+ 91  8147667796",""
"A.R. Mobile Centre","+ 91  8050600507",""
"NET JOINT","+ 91  80 25273324",""
"Cell Zone","+ 91  9945555156",""
"Cell Connection","+ 91  9741781259",""
"Shine Telecom","+ 91  9886818201",""
"Cool Zoom","+ 91  8722005464",""
"S M Enterprises","+ 91  80 26911587",""
"LAXMI TELECOM","+ 91  8892001147",""
"Sri Krishna enterprises","+ 91  9739409965",""
"A To Z Communication","",""
"VIJAYALAKSHMI COMMUNICATION","+ 91  9964977324",""
"Star Business Point","+ 91  9945750050",""
"Sri vinayaka novelties","+ 91  9972854654",""
"Sara telecom","+ 91  9902922603",""
"Manjunatha CD Point","+ 91  9886695776",""
"ANSHUMAN ENTERPRISES","+ 91  8123929145",""
"Sri sai mobiles","+ 91  8747904993",""
"Sai ram real estate","+ 91  7353130331",""
"Shivajyothi Enterprises","+ 91  9844539791",""
"Afifa connect","+ 91  9886688472",""
"Santosh telecom","+ 91  9738190020",""
"vera badra communications","+ 91  8748840873",""
"Sri Hari Enterprises","+ 91  8970569214",""
"Ameen mobile world","+ 91  9900146955",""
"G recharger","+ 91  7204388796",""
"SK RECHARGE ZONE","+ 91  8553377880",""
"A1 Mobile Communication","+ 91  9900751313",""
"ramdev electronics","+ 91  8722299703",""
"Aishwarya enterprises","+ 91  9738428997",""
"Meghana Enterprises","+ 91  9886916031",""
"Lakshmi telecom","+ 91  7353334367",""
"ASARE ENTERPRISES","+ 91  9916258627",""
"A-1 MOBILES Centre","+ 91  9341802245",""
"S.S.H. Mobiles","+ 91  9620459442",""
"Manjunath automobiles","+ 91  9844765104",""
"Krithik Communication","+ 91  9886394097",""
"JES ENTERPRISES","+ 91  9480633993",""
"Sell Tell","+ 91  9880837354",""
"Mathaji Mobiles","+ 91  9003222910",""
"Suraksha Enterprises","+ 91  7204444191",""
"Sri Chowdeshwari Telecom","+ 91  9036134442",""
"TITANIC MOBILE CITY","+ 91  9035556256",""
"SAFA COMMUNICATION","+ 91  9590931800",""
"Sri sai communicatio","+ 91  9980267123",""
"Roshan Enterprises","+ 91  9060096523",""
"Shri Manjunatha enterprises","+ 91  9535003060",""
"Vimal Electronics","+ 91  8088221688",""
"Sree Annapoorneshwari Mobile S...","+ 91  80 32442861",""
"Shantha Durga Telecom","+ 91  8147017600",""
"HRS","+ 91  7026463111",""
"Mokshit Cell Care","+ 91  7353413167",""
"Mobile Zone","+ 91  9036524700",""
"Om Sai Ram Communication","+ 91  9916442132",""
"Patel music centre","+ 91  8553794077",""
"LAKSHMI VANKETESHWARA MOBILE","+ 91  9886033038",""
"MAHA LAKSHMI ENTERPRISES","+ 91  8880001112",""
"Sri Muneshwara Telecom","+ 91  9740062006",""
"B R ENTERPRISES","+ 91  9880264966",""
"Mukabika enterprises","+ 91  9901999731",""
"Ganavi Telecom","+ 91  9731196899",""
"Mobile Centre","+ 91  7676389294",""
"HMK enterprises","+ 91  8553260611",""
"A.M Mobile Centre","+ 91  9743335509",""
"Samrudhi telecoms","+ 91  8880058900",""
"SLV Mobile Zone","+ 91  8970132000",""
"V B S Enterprises","+ 91  9035533909",""
"GN Mobiles","+ 91  8050403073",""
"Ashwini city taxi tours and tr...","+ 91  7204515219",""
"Bismilla K Telecom","+ 91  9742106438",""
"G M enterprises","+ 91  8553330488",""
"Abhi communication","+ 91  8152824660",""
"Murali Enterprises","+ 91  9964590164",""
"Raj stationaries","+ 91  8722705178",""
"PADMAVATHI TELECOM","+ 91  8722919381",""
"Vijay enterprises","+ 91  9663195966",""
"Navarang Telecom","",""
"Smitha telecom","+ 91  7204294868",""
"OM Mobile Service Center","+ 91  9972861191",""
"Vibhava Enterprise","+ 91  9036305806",""
"S N Telecom","+ 91  9632030609",""
"BHERUNATH MOBILE ACCESSORIES","+ 91  8050155435",""
"Harsha Enterprices","+ 91  9035271590",""
"JAI JAGATH ENTERPRISES","+ 91  9880960337",""
"CHANDHU MOBILE CENTER","+ 91  9845130346",""
"KVS Enterprises","+ 91  9036334102",""
"Nirmala Mobiles","+ 91  9980664207",""
"Sri Manjunatha Enterprises","+ 91  9035599555",""
"SHREE RAM ENTERPRISES","+ 91  7353059586",""
"M N the Message Store","+ 91  9663653786",""
"Tejus Enter Prises","+ 91  9036305352",""
"Sri Laxmi Venkateshwara Mobile...","+ 91  9880777102",""
"Vijay Recharge cell","+ 91  8095489311",""
"Sri Lakshminarsiha swami Prasa...","+ 91  8904849991",""
"Connet Zone","+ 91  9036319033",""
"Nisarga enterprises","+ 91  9740963383",""
"St Marys telecomunication","+ 91  8050071319",""
