"Name","Phone","Address"

"Doaba Agriculture Impalements ...","+ 91  9463379600","Chandigarh Rd, Mahilpur, Hoshiarpur - 146105, Opp Doaba Public School"
"Doaba Auto Electronics","+ 91  9815292953","Horhiarpur Road, Mahilpur, Hoshiarpur - 146105, Near New Bus Stand"
"Doaba Solar Energy System","+ 91  9815145813","Jaijon Road, Mahilpur, Hoshiarpur - 146105, Near Purani Workshop"
"Doaba Public SR Sec School","+ 91  1884 282205","Parowal Teh, Garhshankar, Garhshankar Punjab, Hoshiarpur - 144527, Distt Hoshiarpur Punjab"
"Doaba Public School","+ 91  1882 245496","Vill Dolhron, Po Mahilpur, Hoshiarpur Punjab, Hoshiarpur - 146001, Hoshiarpur Punjab"
"Doaba Homeopathic Store","+ 91  1882 520317","B-5-45/1, Hoshiarpur - 146001, Kotwali Bzr, Nr Clock Tower"
"Doaba Homoeopathic Store","+ 91  9914201420","Kotwali Bazar, Hoshiarpur - 146001"
"Doaba Traders","+ 91  1882 248733","56, New Grain Market,, Hoshiarpur - 146001"
"Doaba Car Point","+ 91  9417409420","Bus Stand Road, Hoshiarpur - 146001, Opp. Presidency Hotel"
"Doaba Financial Services","+ 91  7837331032","Bus Stand Road, Hoshiarpur - 146001"
