"Name","Phone","Address"

"Soni India Jobs Ltd Job Fac...","+ 91  265 3011500",""
"Anha Consultancy","+ 91  8460443093",""
"Human Life Consultancy","+ 91  265 6557117",""
"A.B.Consultants","+ 91  7567404632",""
"G S Management Consultants","+ 91  265 2644708",""
"Jerry Varghese International LTD","+ 91  265 6540330",""
"Naukri.com","+ 91  265 2311200",""
"Asia power Overseas Employment...","+ 91  265 6900310",""
"Bright Consultancy","+ 91  265 6453444",""
"International Overseas Services","+ 91  265 2781038",""
"S K Personnel","",""
"Dynamic Staffing Services Pvt Ltd","+ 91  265 2290034",""
"Wonder Placement","+ 91  8128993171",""
"Smith Clinton Recruitment Cons...","",""
"Sinclus Marketing Services Pvt...","+ 91  265 2788608",""
"Naman Placements","+ 91  265 3249855",""
"Pacific Consultant","+ 91  9724766345",""
"Crown HR Services","+ 91  9913662233",""
"Dreamzglobe Ltd","",""
"Om Immigration","",""
"Akash Enterprise","+ 91  9727357475",""
"United HR Solutions Pvt Ltd","",""
"A S Recruitment Services","",""
"Intraword Placement Services","+ 91  9727835168",""
"Crystal Placement","+ 91  265 2330189",""
"angel career craft","+ 91  265 6642777",""
"khan placement consultancy","+ 91  7096652693",""
"Samrajya Overseas","",""
"Harsh Consultant","+ 91  265 2268551",""
"S A Overseas","+ 91  9898662558",""
"Comfort Jobs","+ 91  265 6640555",""
"Has Corporation","+ 91  9974013433",""
"Krishna Overseas","+ 91  265 6640444",""
"Savvy Travels & Consultancy","+ 91  265 3087474",""
"Career Paradise Jobs Consultancy","+ 91  265 6582343",""
"Mercancus","+ 91  8866766399",""
"Aryan infotech Pvt Ltd","+ 91  8800820229",""
"Ganpathy Manpower Enterprises","+ 91  265 2350309",""
"Om Talent Mine","+ 91  9227656604",""
"Hi Rise Placement Consultants","+ 91  9998009018",""
"job options","+ 91  9898535477",""
"Air Ways Holiday","+ 91  265 6560325",""
"data entrey","+ 91  9879575380",""
"OM SAI Bala Oversees","+ 91  9898819459",""
"Star Career Group","+ 91  22 40127867",""
"Business Infotech","+ 91  9589044555",""
"Wish Groups","+ 91  9073378215",""
"D.V Consultancy","+ 91  712 6960267",""
"Crest technology","+ 91  8237185135",""
"Work At Home Sales Business...","+ 91  7798390290",""
"gCO of Agriculture departme...","+ 91  7379021104",""
"GRR Consultancy","+ 91  4142 254875",""
"Chougule Marine And Aviatio...","+ 91  233 2305113",""
"Asia Pacific","+ 91  484 4064431",""
"ORISSA DOOT CONSULTANTS","+ 91  674 6557773",""
"Sks Consultancy","+ 91  471 3199100",""
