"Name","Phone","Address"

"Haryana Jewellery","+ 91  183 2543858","88/4 1st Floor, Guru Bazar, AMRITSAR - 143006"
"Haryana South Packers & Movers","+ 91  8146096846","Transport Nagar,, Amritsar - 143002, Jahaj Nagar Bus Stand"
"Umesh Malliram Designer Jew...","+ 91  183 6579777","Number 2 Upper Ground Floor J K Tower, Mall Road, Amritsar - 143001, Next To Kapsons"
"Khurana Jewellery House","+ 91  183 2560400","Central Mall 32, Mall Road, Amritsar - 143001, Inside Ebony"
"Kangan Designer Jewellery Store","+ 91  183 5099700","Lawrence Road, Amritsar - 143001, Opposite Bansal Sweets"
"Pooja Jewellery Center","+ 91  183 2551226","Amritsar - 143001, Bazar Darshani Deori,Near Golden Temple,"
"Malli Ram Jewellery House","+ 91  183 6544999","32 A Cee Tee Mall, Amritsar - 143001, Ebony, Mall Road, Opposite Ritz Hotel"
"Aabhushan Art Jewellery","+ 91  183 2560602","8 A, Lawrence Road, Amritsar - 143001, Opp pizza hut"
"Prince Jewellery","+ 91  183 2572239","Main Majitha Road, Amritsar - 143001, Opposite Bengali Mandir"
"Satyam Jewellery House","+ 91  183 2558284","Amritsar - 143001, Guru Bzr"
"Jagdambay artificial jewellery","+ 91  9780064955","Katra bhai sant singh, Amritsar - 143001, Near post office"
"B S Gems n Jewellery","+ 91  183 5070573","Shop Number 1, B S Chain Market, Sarwarpura , Gali Number 7, Sultanwind Road, Sultanwind, Amritsar - 143006"
"Kashish Jewellery House","+ 91  9356037788","2162/F,1st Floor, Amritsar - 143001, New Idh Market"
"Khalsa Jewellery House","+ 91  183 2582508","4416/2 - Outside St No 7 - Kot Baba Deep Singh, Amritsar - 143001"
"Laxmi Narayan Jewellery","+ 91  9815571474","Shop No: 13, New Idh Market, Amritsar - 143001, Near China Market"
"Rajan Immitations Jewellery","+ 91  183 2550162","19, Idh Market, Amritsar - 143001"
"Dima Jewellery Corner","+ 91  9216735381","Darshani Deori, Partap Bazar, Amritsar - 143001"
"Karan Jewellery & General Store","+ 91  9872624142","Shop No 14 15, Amritsar - 143001, New I D H Market Opp Bus Stop"
"Balaji Kalire & Imitation Jewe...","+ 91  9888701186","Gali Kucha Faqir Khana, Amritsar - 143001, Bazar Kathiyaan, Bhaji Market"
"Sukhman Jewellery","+ 91  183 2226362","8 Kairon Colony ,, Mall Road, Amritsar,, Amritsar - 143001, Near Nirmal Swami Satsang"
"Shingar Jewellery","+ 91  183 5081733","Amritsar - 143001, Karmod Deory"
"Art Jewellery","+ 91  183 2548850","Plot No 6, Amritsar - 143001, Patel Chowk"
"Angel Blessed Gem & Jewellery ...","+ 91  183 2255673","177-G,, Post Office Street,, Amritsar - 143001"
"Khalsa Jewellery House","+ 91  183 5068608","4335 Street No-7,, Kot Baba Deep Singh ,, Amritsar - 143001, Near Post Office"
"Raja Jewellery House","+ 91  9316684016","Shop No 20e, New Idh Market, Amritsar - 143001"
"JAI Jwala Ji Jewellery & Casti...","+ 91  9814120099","Sarafa Bazar ,, Sunam,, Amritsar - 143001, Near Big Bazar"
"Sharma Jewellery House","+ 91  183 2293651","Amritsar - 143001, Opposite Doonga Hanuman Mandir, Bazar Kaseria"
"Gold Antik Jewellery","+ 91  8283090433","151, 4th Floor, Gali Panditan, Amritsar - 143001, Panj Peer Market, Backside Jasmal Saree House"
"Pooja Jewellery","+ 91  9915363425","6/8, Darshni Daudi ,Amritsar, A, Amritsar - 143001, Opp Punjab Sindh Bank"
"ORRA Fine Jewellery","+ 91  9316788555","10,Ground Floor,, Eminent Mall Mall Road,, Amritsar - 143001, Near Complex"
"Naqsh Jewellery","+ 91  183 2566565","5,Jewels Plaza,111, Lawrence Road, Amritsar - 143001"
"Laxmi Narayan Jewellery","+ 91  9316068972","Lawrence Road, Amritsar, Lawrence Road, Amritsar - 143001"
"GEHNA AMRITSAR - A House Of Fa...","+ 91  9988221148","C/O Fancy Tent House, Lawrence Road, Lawrence Road, Amritsar - 143001, Opposite Ritu Wears"
"Mahajan jewellery store","+ 91  9877198121","Ram bagh, Amritsar - 143001"
"Rosys Artificial Jewellery","+ 91  8556099811","Gali Aroian, Hall Bazar, Amritsar - 143001, Chowk farid"
"Vicky Artificial Jewellery","+ 91  9888589744","Street Number 2, Lawrence Road, Amritsar - 143001, Opposite Bijli pehalwan Mandir"
