"Name","Phone","Address"

"Hari Om Store","+ 91  183 2221687","Lawrence Road, Amritsar - 143001, Near Arya Smaj Mandir"
"Lotto Shoe Store","+ 91  183 5064481","Shop no 27 A, Lawrence Rd, Amritsar - 143001, Near ccd"
"bajaj store","+ 91  9876746600","Main bazar, Lawrence road, Lawrence Road, Amritsar - 143001, opp.dominos"
"CHAWLA KARYANA STORE","+ 91  7837066193","shop no 2709, main bazar, Amritsar - 143001, Near krishna nagar"
"Radha Soami Medical Store","+ 91  9988695102","main chowk, Main bazaar bharat nagar, Vijay Nagar, Amritsar - 143001"
"Anil Krisna store","+ 91  9256957132","1, Amritsar - 143001, Kashmir avenue"
"MAHAJAN HARDWARE &SANITARY STORE","+ 91  9888309281","MAIN ROAD, BATALA ROAD, Amritsar - 143001, OPPOSITE VIJAY NAGAR"
"Sukhmani Medical Store","+ 91  9417146395","Amritsar - 143001, Main Bazar Krishana Nagar Joura Phatak"
"Style In Dream Store","+ 91  9216371227","3a, 1st Floor, Opp Punjab & Sind Bank, Amritsar - 143001, opp. pizza hut"
"capital Store","+ 91  9814099127","Main road, Amritsar - 143001, Katra jaimal"
"Sawan General Store","+ 91  183 2213145","shop no 1514, putlighar new mkt, Amritsar - 143001, Near Dulhan Baeuty Barlour, Main Bazar Putlighar, New Market"
"Om Prakash Iron Store","+ 91  183 2521361","Amritsar - 143001, Old Mewa Mandi"
"Rinku general store","+ 91  9876855376","Shop no :11, Goal masit, Amritsar Bus Stand, Amritsar - 143001, Sharifpura"
"Simran Karyana And General Store","+ 91  9914932416","Gate No 5,Khasa Road, Amritsar - 143001, Opposite Army"
"Shri krishna general store and...","+ 91  9914648832","fairland colony, Fgc road, Amritsar - 143001, NEAR BANK"
"lucky general store","+ 91  9988817088","shop no. 9, bharat nagar, Amritsar - 143001, opp. mahajan factory"
"Amar Khad Store","+ 91  9815709636","chittra market, hall gate, Amritsar - 143001, nr. sabji mandi"
"Gora Sanitary And Paint Store","+ 91  8146366953","Tarn Taran Road, Amritsar Bus Stand, Amritsar - 143001, Near Bhai Manj Singh Gurudwara, Kot Mitt Singh"
"Suresh Kumar Ashok Kumar Gener...","+ 91  183 2224269","Putligarh, AMRITSAR - 143001, Near Railway Crossing Number 23, Islamabad"
"kapil dev sham sundar store","+ 91  183 2541063","shop no. 7, Ram Bagh chownk, Amritsar - 143001, near sbi bank"
"Laddi CD Store","+ 91  9878992397","shop.,,., Ram Bagh, Amritsar - 143001, Katra Baghian, Main Bus Stand,near kotwali..,"
"suresh general store","+ 91  9815516006","shop no. 23, IDH Market, Amritsar - 143001, near bus stand"
"luxmi Sainatry Store","+ 91  9888227530","Opp car garaj, Amritsar - 143001, near railway fatak"
"Walia paint store","+ 91  9815168500","Shop no 22, Near Gagan cinema, Amritsar - 143001, BATALA road"
"Puri Medical Store","+ 91  9417491500","Shop Number 7, Bank Of India Road, Batala Road, Amritsar - 143001, Sandhu Colony"
"mahinderpal karyana store","+ 91  9464939282","shop no. 32, gali ni. 2,majitha road, Amritsar - 143001, gopal nagar"
"Kumar Hardware Mill Store","+ 91  183 2543330","113, Hall Bazar, Near Kairon Market,, Hall Bazar, Near Kairon Market, ,, Medical College, Amritsar - 143001"
"Laxmi General Store","+ 91  9780342843","#113, Green field,majitha road, Amritsar - 143001, Near Gurudwara Sahib"
"Preet Medicos store","+ 91  9815283177","Shop no 3, Joura phatak, Amritsar - 143001, OPP joura PHATAK"
"Bharat General Store","+ 91  183 5059807","Darshni Deori, Amritsar - 143001"
"S S General Store","+ 91  183 2535656","Shop no. 6, Shakti Nagar, Amritsar - 143001, Maha Kali Market"
"GANT READY MADE STORE","+ 91  183 6600505","shop no 17,18, Amritsar - 143001, inside trillium mall"
"Jockey Exclusive Store","+ 91  183 5008531","Shop No- 21, First Floor, 91 - 9814714056, Amritsar - 143001, B Wing, Trilium Mall , Medical Enclave"
"Bata store","+ 91  8054718365","Sh no 15,16,17, Trillium mall, Amritsar - 143001"
"Clarks store","+ 91  183 6600353","Shop No 7, 8, A Wing, Trilium mall, Amritsar - 143001, Near rattan singh chowk"
"Arrow exclusive store","+ 91  183 5064511","Amritsar - 143104"
"Rado switzerland store","+ 91  8054030200","Sh no 24 a wing, Trillium mall, Amritsar - 143001"
"Allen solly store","+ 91  9988784462","Sh no 5,6 a wing first floor, Trilium mall, Amritsar - 143001"
"Puma store","+ 91  9779548903","Sh no 13 a wing first floor, Trilium mall, Amritsar - 143001"
"Inch 5 store","+ 91  8872051105","Sh no 9 first floor b wing, Trilium mall, Amritsar - 143001"
"Woodland store","+ 91  9888715075","Sh no 20, 21 1st floor B wing, A wing trillium mall , circullar road, Amritsar - 143001, Trillium mall"
"only store","+ 91  183 6600513","sh no 20 21, near trillium, Amritsar - 143001, near circular road"
"Tata Indicom Exclusive Store","+ 91  183 6531605","Majitha Road, Medical Enclave, Amritsar - 143001"
"Carlton store","+ 91  9814528743","Sh no 18 b wing, Trilium mall, Amritsar - 143001"
"Woodland store","+ 91  183 5064515","Sh no 21, 22 a wing first floor, Trilium mall, Amritsar - 143001"
"Tresmode store","+ 91  183 6600359","Sh no 28 A WING, I/s trilium mall, Amritsar - 143001, Near rattan singh chowk"
"GAURAV MARBLE Store","+ 91  9876746642","NA, Batala Road, Amritsar - 143001, OPP PUNJAB & SIND BANK"
"Bata Shoe Store","18004192282","Shop No.15,16,17, 1st Floor, A Wing, Circular Road, Basant Avenue, Amritsar - 143001"
"DANISH DEPARTMENTAL & KARYANA ...","+ 91  183 2279877","Gali No-4, Batala Road, Vijay Nagar, Amritsar - 143001, Vijay Nagar"
"Indian Paint Store","+ 91  9653243549","Sh. No. 1, Vijay Nagar, Amritsar - 143001, Batala road"
"Indian Paint Store Modern Coat...","+ 91  183 2270840","Gali No-4-A, Vijay Nagar,, Batala Road, Amritsar - 143001, Opp. Honda Agency,"
"MAHAJAN GENERAL STORE","+ 91  9815687007","Shop no.5,basant nagar, KASHMIR AVENUE CHOWNK, Gopal Nagar, Amritsar - 143001, NEAR GOPAL MANDIR"
"Modern store","+ 91  9465477270","majitha road galla maalaa chownk, Amritsar - 143001, opp ENT Hospital"
"Ambika Sanitary Store","+ 91  9780137085","Main Bazaar, Jagdambay Colony, Amritsar - 143001, Near Meer Shah Dargaah"
